I0000,"[-2.767524, 3.090552, -5.008008, -0.612208, 4.312517, -0.373009, -0.829666, -1.538272, 0.300709, 1.105899, 3.44006, -0.2173, -2.981081, 3.208066, -4.003502, 2.023573]",c2
I0001,"[3.879911, 3.694497, -1.3684, 2.463651, -2.994855, -6.026311, -2.236102, 1.506863, 1.670306, 2.08642, -4.392414, 1.255417, 3.140423, 1.293237, 1.059838, 0.202025]",c5
I0002,"[-0.24749, -1.435169, 5.635464, 0.962477, 2.166058, 0.85861, -3.874061, -3.004459, 2.725846, -1.292879, -2.794348, -0.638112, -0.391046, -1.424245, 2.25354, 0.196163]",c1
I0003,"[-0.504023, -1.605111, 5.417415, 0.319499, 3.185444, 2.109568, -2.451415, -3.196521, 1.606171, -1.732815, -3.494624, -1.611297, 0.050227, -1.104347, 1.897603, 0.06304]",c1
I0004,"[4.194499, 3.945288, -1.367444, 1.698139, -1.995943, -5.236286, -1.672063, 2.553346, 1.27676, 0.382324, -4.980337, 0.841814, 3.11286, 1.601077, 0.77223, 1.161374]",c5
I0005,"[-0.383612, -1.006701, 6.239251, -0.372143, 2.36652, 1.579548, -3.976424, -2.169371, 2.62876, -2.588403, -2.247623, -1.241628, -1.234092, -1.270737, 2.321123, -0.320519]",c1
I0006,"[2.383244, -2.710672, 1.537944, 1.632133, -5.206825, -3.573388, 1.346566, -1.679565, 1.171606, 3.624289, 3.568551, 1.016428, -2.037191, -5.564552, -1.943048, -0.61738]",c3
I0007,"[-0.128145, -0.820338, 5.783911, -0.15238, 2.48538, 1.551052, -2.118536, -1.883834, 2.05431, -3.386279, -2.54049, -0.828427, -2.065695, -1.202029, 2.062095, 0.348415]",c1
I0008,"[0.547145, -1.118695, 6.572361, -0.031997, 2.091835, 2.211657, -3.677962, -2.145522, 2.304024, -3.265281, -2.834825, -1.291301, -2.352344, -1.553845, 1.792559, -0.754287]",c1
I0009,"[3.716314, 3.4071, -1.442525, 2.00561, -2.120659, -5.495488, -2.978222, 1.812751, 1.103409, 1.689322, -3.855047, 2.079351, 1.494725, 2.172242, 0.86739, 1.489485]",c5
