account_id,event_time,health_score
A0000,1767227428000,48.59
A0000,1773630354000,94.03
A0001,1767250947000,47.4
A0001,1773646917000,5.13
A0002,1767393478000,50.46
A0002,1772499367000,11.53
A0003,1767303258000,53.18
A0003,1772820644000,92.73
A0004,1767306287000,57.63
A0004,1773115867000,86.38
A0005,1767364172000,44.53
A0005,1773372074000,11.16
A0006,1767317995000,49.56
A0006,1773025235000,92.1
A0007,1767391969000,52.32
A0007,1774165786000,7.22
A0008,1767374765000,48.1
A0008,1774363882000,86.69
A0009,1767312026000,57.54
A0009,1772756907000,93.61
A0010,1767271676000,47.11
A0010,1772462842000,9.86
A0011,1767315954000,53.68
A0011,1772788233000,5.13
A0012,1767347324000,52.59
A0012,1774373121000,10.94
A0013,1767394627000,51.83
A0013,1773668148000,14.61
A0014,1767324914000,60.81
A0014,1773570920000,7.85
A0015,1767239438000,35.98
A0015,1773616911000,12.61
A0016,1767299337000,44.67
A0016,1774025826000,93.39
A0017,1767293526000,47.44
A0017,1773089812000,91.69
A0018,1767310210000,54.71
A0018,1774190502000,5.08
A0019,1767320456000,50.39
A0019,1773971798000,9.01
A0020,1767366080000,47.71
A0020,1773521558000,5.19
A0021,1767372598000,51.54
A0021,1773759566000,9.64
A0022,1767309807000,50.15
A0022,1772343931000,87.82
A0023,1767309865000,47.36
A0023,1772509850000,86.71
A0024,1767314187000,43.04
A0024,1773919704000,92.49
A0025,1767330346000,47.5
A0025,1773420741000,6.09
A0026,1767299284000,52.76
A0026,1772325373000,13.16
A0027,1767326710000,55.72
A0027,1773935081000,8.74
A0028,1767350083000,48.86
A0028,1773122049000,94.22
A0029,1767326059000,44.25
A0029,1774102410000,14.95
A0030,1767275062000,48.33
A0030,1772580484000,85.6
A0031,1767382027000,55.88
A0031,1772873170000,6.41
A0032,1767329896000,47.22
A0032,1772634191000,91.93
A0033,1767330486000,38.77
A0033,1773929488000,6.91
A0034,1767312232000,47.78
A0034,1774448786000,11.61
A0035,1767255887000,44.93
A0035,1773982614000,87.62
A0036,1767247195000,41.76
A0036,1773269121000,86.89
A0037,1767335596000,53.52
A0037,1773207571000,14.27
A0038,1767252611000,56.58
A0038,1773208928000,11.05
A0039,1767232357000,46.47
A0039,1773239619000,87.94
A0040,1767350619000,48.85
A0040,1772328428000,94.31
A0041,1767241954000,49.01
A0041,1772823362000,6.62
A0042,1767240185000,57.57
A0042,1774252899000,89.4
A0043,1767370845000,47.15
A0043,1773458918000,90.96
A0044,1767291559000,46.44
A0044,1773586854000,92.49
A0045,1767393638000,57.31
A0045,1773625593000,85.69
A0046,1767355991000,49.83
