item_id,embedding,label
I0000,"[-0.85911, 1.697268, 3.872726, 4.016795, 4.88541, -4.873946, 0.719285, -2.691041, 6.770674, 2.39918, 0.727798, -0.210307, -1.503627, -2.764358, 0.729288, -1.181788]",c4
I0001,"[0.796317, -5.588167, -0.913851, -2.078833, -3.239054, -0.721163, 1.418028, -2.00903, -6.006597, -2.384537, -2.311112, -3.201435, 0.786969, 2.449924, 2.082684, -3.638735]",c1
I0002,"[-1.515052, 3.63516, -1.216217, 5.697729, 1.048159, -4.898648, -0.212971, -1.511382, 2.34693, 3.723316, 2.60537, 0.309114, 2.722284, -2.079069, -4.332296, 2.279905]",c5
I0003,"[1.257965, -6.078078, 1.253954, -2.02788, -3.786351, 0.584232, 0.435211, -1.856754, -4.795855, -3.259013, -2.100126, -2.445721, -0.142771, 3.147338, 3.198521, -3.563527]",c1
I0004,"[1.723973, -2.96077, 0.143211, 2.989352, -6.108814, -1.76514, -0.481391, -1.931473, -4.208105, -0.315115, 1.138903, 3.434454, -2.802545, -1.617844, -5.684659, -2.918452]",c0
I0005,"[-2.323413, 3.970242, -2.046465, 6.945652, 1.073148, -5.7946, -0.592107, 0.430275, 2.130666, 1.951689, 3.261379, -0.830228, 2.31636, -1.993781, -3.471903, 3.849078]",c5
I0006,"[3.159829, -3.501058, -0.317872, 2.41641, -6.355957, -1.841986, -1.571975, -0.180269, -3.174988, 0.554345, -0.376081, 4.238668, -2.822385, -2.252282, -5.789162, -2.418589]",c0
I0007,"[-1.837533, 4.092255, -2.221999, 6.345265, 1.190549, -5.481038, -0.450559, 0.129737, 1.113422, 2.842828, 2.032111, 0.955565, 2.645737, -0.889197, -3.170779, 3.3797]",c5
I0008,"[2.047537, -2.501066, -0.98382, 2.896068, -5.600696, -2.80018, -1.695598, -0.276637, -4.054627, -0.002884, 2.161064, 3.298848, -2.440779, -0.909755, -5.15316, -3.923165]",c0
I0009,"[1.31028, 0.598301, 1.719436, 3.217461, 3.22164, -0.383975, -0.084249, 1.160205, 2.519157, -0.719303, -1.958137, -3.962621, -0.056846, 3.158298, 0.794627, -2.161429]",c2
I0010,"[2.051888, -3.409427, -0.941114, 1.80199, -6.399504, -2.052774, -0.076158, -1.468207, -2.855709, 0.295671, -0.153133, 4.489764, -2.738212, 0.047017, -5.907225, -2.720175]",c0
I0011,"[0.648651, -5.018252, -0.027443, -1.979308, -3.826889, 0.641587, 1.240196, -2.976292, -5.45304, -2.130896, -3.283639, -3.471211, 0.765543, 1.746806, 2.609095, -4.132757]",c1
I0012,"[3.309481, -2.600537, 3.262842, -3.839624, -1.147817, 3.434426, 5.267712, 3.592622, -2.108545, -3.59876, 0.261142, -2.852408, -6.185928, 2.479044, 2.034711, 1.110704]",c3
I0013,"[-1.760331, 5.132448, -1.751129, 5.561544, 1.57963, -5.376873, -1.380113, -0.075571, 2.094952, 2.887467, 2.80915, 0.078374, 2.085296, -1.586136, -3.867182, 2.134068]",c5
I0014,"[0.550911, -0.454991, 1.257389, 2.949187, 2.294531, -1.695557, 0.381128, 0.778481, 2.584512, -0.030402, -2.934446, -3.590851, -0.037236, 3.010117, 0.612757, -2.076624]",c2
I0015,"[1.075785, 0.729494, 0.807331, 3.560197, 2.286946, -1.130386, 0.3087, 0.238943, 3.157306, 0.336812, -2.232458, -4.116169, 1.161738, 2.401074, 0.802053, -2.082948]",c2
I0016,"[0.587027, 0.510511, 4.914336, 3.959328, 4.583708, -4.793207, 1.77916, -0.585637, 4.657912, 3.184365, 0.623903, -2.192202, -1.864834, -3.637721, -0.193084, -1.763946]",c4
I0017,"[1.600434, -5.512125, -0.437546, -1.952425, -4.300725, 0.707227, 1.446797, -2.54887, -5.019934, -1.810924, -3.686179, -3.060563, 1.390844, 2.346041, 2.452879, -4.175236]",c1
I0018,"[1.912095, 0.873521, 1.171409, 3.324739, 2.41933, -2.42041, -0.922125, -0.9898, 2.4928, -0.510872, -1.194224, -4.102119, 0.018214, 2.934055, -0.116505, -3.821993]",c2
I0019,"[-3.263826, 5.273409, -2.963581, 6.600807, 0.329511, -4.56997, -0.721579, -0.284699, 2.423484, 2.520732, 1.848167, 1.201946, 2.121848, -0.787808, -4.194283, 2.492768]",c5
I0020,"[-2.234862, 3.753671, -1.791136, 5.679523, 2.307861, -5.805, -0.936526, 0.031656, 1.912252, 2.854955, 2.234073, 1.028413, 1.3217, -0.626833, -4.492298, 3.852097]",c5
I0021,"[-2.552739, 3.067773, -2.273527, 6.208727, 0.608507, -6.018049, -0.485113, 0.582112, 2.265526, 2.737793, 1.94994, 0.352252, 1.208922, -1.790656, -3.188869, 4.780011]",c5
I0022,"[-2.440246, 4.596382, -1.581082, 5.907078, 1.349429, -5.481064, -0.334344, -0.643424, 2.563643, 2.863515, 3.02745, 0.589717, 1.188964, -1.950448, -3.468091, 1.597319]",c5
I0023,"[0.653195, -6.632527, 0.560069, -1.999903, -3.820678, 0.826944, 1.203812, -1.765192, -5.268917, -1.68963, -2.683171, -3.014067, 2.088151, 3.866866, 2.656023, -3.724904]",c1
I0024,"[0.748817, -4.765263, -0.193764, -2.024611, -3.157162, 0.739062, 1.460908, -2.234421, -5.808872, -2.098833, -2.404505, -2.980762, 1.249227, 3.019588, 2.47034, -3.498546]",c1
I0025,"[-2.287705, 4.745438, -2.227286, 4.756322, 0.885746, -5.18065, -1.358478, -0.190703, 1.854288, 2.945107, 2.832478, 0.867603, 2.542748, -1.748267, -2.854303, 2.658906]",c5
I0026,"[-3.550176, 3.544682, -1.817469, 5.125678, -0.003939, -4.828894, -1.059423, -0.217266, 1.116795, 3.316665, 3.876367, 0.66038, 2.678988, -1.896512, -3.685146, 2.929187]",c5
I0027,"[1.914497, -4.971406, -0.003399, -2.75227, -2.91973, 0.155367, 1.443235, -1.770453, -4.705882, -2.877427, -2.851615, -3.539899, 1.357174, 2.335701, 2.290633, -3.502429]",c1
I0028,"[1.664179, -0.200815, 2.378236, 4.030162, 1.967719, -1.013661, -0.187243, 0.501443, 2.680156, -0.142213, -1.763497, -4.087381, 0.043896, 4.668889, -0.157135, -1.396988]",c2
I0029,"[0.812875, -0.260506, 1.197006, 2.85969, 2.430557, -1.430351, 0.359667, 0.071217, 3.416213, -0.002097, -2.548182, -3.737041, -0.565939, 3.553234, -0.345805, -2.629021]",c2
I0030,"[3.30841, -2.185526, 0.952447, 2.316168, -5.96682, -1.738411, -0.616882, -0.396827, -2.643907, -0.316437, 1.091361, 3.727557, -2.843542, -1.39916, -6.207379, -4.389605]",c0
I0031,"[4.038919, -0.976704, 2.148016, -3.018431, -1.231419, 3.70237, 5.480452, 3.552182, -1.245395, -4.388829, 0.365557, -2.544384, -3.840259, 3.739625, 2.361583, -0.077191]",c3
I0032,"[0.636564, 1.151341, 3.551037, 4.881124, 5.293821, -4.602869, 1.989264, -2.337641, 5.295523, 3.556872, 1.103847, -0.655108, -1.318875, -2.020077, 0.494463, -0.334516]",c4
I0033,"[1.651862, -5.488446, 0.652549, -0.909547, -4.223683, -0.243867, 1.581968, -1.379247, -5.128157, -3.485474, -4.024144, -2.929099, 1.146125, 3.484126, 2.934055, -3.892305]",c1
I0034,"[0.52975, 2.297879, 4.007456, 5.061576, 4.733287, -5.115141, 1.724978, -2.13799, 3.704723, 4.019433, 1.01162, -0.3388, -1.773787, -3.128542, 1.006203, -1.046566]",c4
I0035,"[0.70625, -5.51062, -0.7957, -1.867209, -3.613486, 0.897725, 0.759786, -1.761324, -6.455132, -0.987443, -2.296043, -2.518679, 1.367225, 2.374726, 4.094294, -2.893453]",c1
I0036,"[1.489687, -0.409279, 0.916144, 3.099917, 1.21667, -0.88316, -0.708617, 1.255079, 3.273642, -0.062159, -1.090015, -4.698995, -0.134154, 2.941133, -1.010777, -3.836312]",c2
I0037,"[2.773614, -3.373822, 2.659229, -1.645159, -0.946769, 3.025555, 5.141475, 2.415012, -1.88915, -3.85321, 0.80775, -2.646949, -5.607202, 2.816991, 2.504835, 0.027558]",c3
I0038,"[0.505387, 0.209443, 0.016688, 2.494467, 2.729228, -0.864539, 0.15863, 0.523542, 2.999609, 0.277384, -2.252272, -4.101298, -0.43072, 4.123387, -0.121359, -2.404192]",c2
I0039,"[0.314293, 0.942498, 4.212463, 4.220447, 3.503506, -5.78543, 1.621301, -1.947119, 3.25657, 3.740689, 1.291447, -0.401871, -0.653047, -4.788332, 0.053841, -1.213917]",c4
I0040,"[2.441002, -5.536348, -1.045074, -2.652621, -2.196305, 0.705185, 1.223589, -2.297063, -4.648197, -2.561487, -2.543397, -3.18729, 0.909797, 3.157739, 1.93967, -2.278513]",c1
I0041,"[2.461295, -2.585353, -0.783115, 3.332979, -5.612013, -2.41179, -1.393745, -1.628563, -2.356101, 0.823768, -0.490815, 5.033926, -2.06511, -2.779432, -6.11447, -2.716999]",c0
I0042,"[3.612683, -1.496813, 3.070829, -2.342689, -0.568992, 3.635498, 5.823047, 4.022339, -2.091372, -2.902754, -0.29163, -2.290121, -5.102111, 3.931384, 2.593318, 0.31249]",c3
I0043,"[-1.927626, 4.583848, -1.182729, 6.517754, 1.178182, -5.164401, 0.097658, -1.611988, 1.509145, 3.385178, 1.700764, -0.173571, 2.490817, -1.498528, -2.369462, 3.154647]",c5
I0044,"[2.618815, 0.880042, 2.02357, 3.317352, 2.08142, -1.242461, -0.60663, 0.875702, 2.267296, -1.090881, -1.815464, -4.339095, -0.558727, 2.245063, 0.444762, -2.029052]",c2
I0045,"[1.997724, 0.539106, 1.043561, 1.302708, 1.548059, -1.816009, 0.282276, 0.06942, 2.658497, 0.67428, -1.944227, -3.818616, -1.074023, 3.96618, 0.413617, -2.097042]",c2
I0046,"[-1.842128, 4.431254, -1.941863, 4.797515, 0.758001, -5.936235, -0.625311, -1.276193, 0.951795, 3.454789, 3.115844, -0.092161, 2.331565, -0.806061, -4.532183, 2.353114]",c5
I0047,"[2.176075, -4.134447, -0.452045, 2.954467, -5.812299, -1.704899, -1.512123, -1.540384, -2.904571, 0.223744, 1.047584, 4.066459, -2.946371, -1.133052, -5.294334, -3.631272]",c0
I0048,"[2.890902, -4.055992, 0.044127, 3.135235, -5.873594, -1.269712, -1.982304, -1.098583, -3.648487, 0.494035, 1.597439, 4.338333, -3.209069, -1.687696, -5.630554, -2.392742]",c0
I0049,"[3.842107, -1.961716, 3.089578, -1.794248, -0.422465, 3.658465, 4.629081, 2.993198, -1.550044, -3.947762, 0.752918, -2.802891, -5.184856, 3.623005, 1.429104, -0.316151]",c3
I0050,"[3.204224, -2.208641, 3.325424, -2.453963, -0.581236, 3.506604, 5.315142, 2.890213, -1.19641, -2.673209, 0.132131, -1.862573, -4.997242, 2.786973, 2.171928, 0.168091]",c3
I0051,"[3.98876, -2.017034, 3.72584, -2.915596, -0.514853, 2.814706, 4.557288, 3.418882, -1.472805, -3.516247, -0.247441, -1.574331, -5.114147, 3.689159, 2.250747, -0.578928]",c3
I0052,"[0.682303, -5.541579, -0.07387, -1.912265, -3.108496, 0.586286, 0.889874, -1.917293, -5.501704, -2.642958, -2.791778, -2.6042, -0.095558, 1.934268, 3.89998, -2.195188]",c1
I0053,"[2.247264, -5.212047, 0.636488, -1.227139, -4.469085, 0.810225, 1.71123, -1.029721, -5.717999, -2.987516, -2.692679, -3.088139, 1.001134, 3.56438, 3.209993, -3.512609]",c1
I0054,"[0.47969, -6.328507, 0.775142, -2.056101, -3.383235, -0.220418, 1.10259, -1.649784, -5.267857, -2.902545, -2.453973, -2.674441, 1.811969, 2.932252, 2.626329, -2.565168]",c1
I0055,"[1.507737, -5.35574, 0.232098, -2.633109, -3.686936, 0.174759, 0.866646, -2.57689, -5.463377, -2.091487, -2.756574, -2.028647, 0.778118, 1.946113, 3.415887, -3.744263]",c1
I0056,"[0.199746, 1.127422, 1.311432, 3.384969, 3.402645, -1.699267, -1.430663, 1.333463, 2.705131, -0.403861, -2.055089, -4.712818, 0.029048, 3.28696, 0.959465, -2.016443]",c2
