entity_id,f1,f2,f3,f4,f5,srv_entity_id,srv_f1,srv_f2,srv_f3,srv_f4,srv_f5
E0001,3.262094,13.450119,251.722397,8.515848,18.418342,E0001,25.104142,13.450119,251.722397,8.515848,18.418342
E0002,2.056625,6.310918,5.151493,9.054081,3.137021,E0002,6.819537,6.310918,5.151493,9.054081,3.137021
E0004,2.946816,7.453597,0.975287,16.600552,3.060523,E0004,18.045216,7.453597,0.975287,16.600552,3.060523
E0006,2.079794,4.309709,14.194638,21.150495,11.838014,E0006,7.002817,4.309709,14.194638,21.150495,11.838014
E0008,3.925903,14.995086,9.524153,24.989298,11.209826,E0008,49.698828,14.995086,9.524153,24.989298,11.209826
E0009,1.179037,3.960088,20.286205,2.961761,13.685833,E0009,2.251241,3.960088,20.286205,2.961761,13.685833
E0010,2.636913,4.4231,12.078039,5.454186,1.95725,E0010,12.970017,4.4231,12.078039,5.454186,1.95725
E0011,3.525968,5.97297,6.961912,8.964698,6.888868,E0011,32.98667,5.97297,6.961912,8.964698,6.888868
E0012,2.020792,10.063642,8.575,7.700795,44.702493,E0012,6.544298,10.063642,8.575,7.700795,44.702493
E0015,1.455818,10.732169,14.423412,25.909284,9.231548,E0015,3.287988,10.732169,14.423412,25.909284,9.231548
E0016,3.189228,0.977477,6.623795,15.072456,6.761894,E0016,23.269695,0.977477,6.623795,15.072456,6.761894
E0017,2.625788,12.903516,2.695231,2.033042,3.118651,E0017,12.815461,12.903516,2.695231,2.033042,3.118651
E0018,1.774318,2.123363,5.51856,8.794858,2.064202,E0018,4.896258,2.123363,5.51856,8.794858,2.064202
E0019,1.871363,7.61988,1.770566,6.331466,6.659272,E0019,5.497149,7.61988,1.770566,6.331466,6.659272
E0020,2.801266,12.408135,3.465953,1.914575,8.761167,E0020,15.465486,12.408135,3.465953,1.914575,8.761167
E0021,3.035226,4.602707,9.930541,8.291607,8.977751,E0021,19.805682,4.602707,9.930541,8.291607,8.977751
E0022,1.778661,5.176667,15.507,14.722736,4.69031,E0022,4.921925,5.176667,15.507,14.722736,4.69031
