account_id,f1,f2,f3,f4
A0000,-0.0328,1.192,-7.1601,-0.2725
A0001,-1.5635,-5.3275,-0.4872,-0.8278
A0002,0.006,-6.2383,-1.4182,-0.6589
A0003,-3.2279,-1.7936,-0.9149,0.0357
A0004,-2.9162,-1.2972,-5.3844,0.1939
A0005,-4.4818,-3.3663,-5.351,-0.2945
A0006,1.6016,-5.3724,-5.013,0.2078
A0007,1.9,-7.5242,0.3706,-0.0782
A0008,-2.1282,-7.0838,-2.0922,-0.4646
A0009,1.2816,0.8288,-2.672,-0.6245
A0010,-4.4327,2.5194,3.1827,-0.1148
A0011,0.0173,-4.6376,2.3566,-0.9613
A0012,-0.1505,-3.0382,-4.9433,0.027
A0013,0.1043,-2.4601,-1.7308,-1.6628
A0014,-1.8564,-0.3927,0.4965,-0.3952
A0015,-3.3643,-9.2,-5.7822,-1.3382
A0016,-1.4942,-2.5366,1.2512,0.0427
A0017,-4.982,-1.3001,0.9997,0.3692
A0018,-0.5241,-2.4625,2.8288,0.7655
A0019,2.7218,-4.8697,-0.0262,-0.74
A0020,-1.821,-4.0723,-4.6569,-0.5449
A0021,0.8432,-9.005,0.4681,0.9528
A0022,-1.8008,-4.6871,2.0606,-1.8495
A0023,1.2044,-4.8193,2.3753,-0.6464
A0024,-0.9154,-6.4493,-4.8051,-0.5822
A0025,0.5142,-1.7677,-4.0441,0.5267
A0026,-2.4812,-5.4615,-6.9404,-0.9776
A0027,-0.5572,-3.4195,-1.0124,0.1456
A0028,-2.5686,-7.1807,-2.6321,0.3514
A0029,0.297,-9.1979,-3.8502,0.2578
A0030,0.2657,-0.7222,-1.5077,0.1669
A0031,-4.2673,-3.9633,-0.9122,0.6447
A0032,1.2783,-4.096,-1.5804,-0.0847
A0033,0.8161,1.8211,-6.4237,0.6275
A0034,-2.5008,-6.2474,-0.8355,0.2078
A0035,-2.7159,-2.499,-1.703,-0.6525
A0036,-2.6186,-5.6671,-3.2784,-0.5557
A0037,-1.0498,-6.7554,-1.0061,0.3347
A0038,-5.9232,-4.2263,-0.1827,-0.392
A0039,1.0878,-4.9629,2.9428,-0.6321
A0040,-1.741,-5.4453,-2.8635,-0.5389
A0041,0.5422,-0.3488,-2.9432,-0.5166
A0042,-6.0137,-3.46,-2.6212,0.1532
A0043,3.4823,-6.8819,-1.5746,-0.437
A0044,-3.482,-5.9625,-1.2582,0.1614
A0045,-1.0002,-5.4296,-2.0278,-1.3584
A0046,1.4919,-4.3495,-1.8792,0.3185
A0047,-2.3203,-3.1759,-2.2548,-1.0285
A0048,-0.8681,-4.3978,-1.2697,-0.3127
A0049,-0.2098,2.0034,-7.357,0.4979
A0050,0.0224,-2.8722,-3.7651,0.0452
A0051,-3.3322,-7.021,-3.2471,0.2641
A0052,-3.061,-2.5193,-0.3217,0.0376
A0053,2.294,-2.4767,-1.3023,0.7476
A0054,0.7005,-0.5835,-2.2558,-0.0748
A0055,-0.9287,-3.9767,0.6367,-0.5789
A0056,-0.8923,-2.3662,1.2961,1.4043
A0057,-2.4481,-2.5641,0.7459,-0.0185
A0058,-1.0604,-1.0535,-2.3943,0.2147
A0059,-0.9483,-3.784,-0.2184,0.2046
A0060,-2.8368,-2.4648,0.972,-1.7625
A0061,0.1348,-6.7812,-0.6889,0.4116
A0062,0.4265,-8.47,0.73,0.7213
A0063,2.1253,0.0997,-2.4571,-0.8192
A0064,-1.3562,-7.6586,0.0808,-0.0481
A0065,-0.4833,-5.4353,2.1728,0.2388
A0066,-0.9787,-5.5638,3.2793,-1.3195
A0067,-0.6292,-5.6418,4.999,-0.4293
A0068,0.9274,-2.684,-1.8161,-0.6477
A0069,-0.8098,-3.0936,-0.3523,0.0344
