account_id,f1,f2,f3,f4
A0000,5.1993,-6.5808,3.1252,-3.0732
A0001,4.6308,-4.75,0.0716,-4.1027
A0002,4.81,-5.7867,1.0543,-4.3914
A0003,3.87,-5.8736,2.266,-1.1458
A0004,5.7239,-4.5039,-1.1497,-3.0045
A0005,3.9478,-4.2871,-0.6576,-3.6227
A0006,4.0235,-5.0613,2.6068,-3.5624
A0007,7.877,-4.3215,3.3285,0.4446
A0008,4.199,-5.09,3.6041,-0.8483
A0009,4.4338,-5.109,0.3974,-4.0352
A0010,3.3107,-4.5164,0.5673,-5.9733
A0011,2.9058,-7.5581,2.5903,-7.4753
A0012,3.9099,-5.0168,2.0811,-3.6295
A0013,4.9267,-4.6965,3.0559,-1.2514
A0014,3.7889,-5.1323,3.4963,-3.4301
A0015,4.2364,-3.5706,1.7797,-4.3637
A0016,4.1191,-3.9384,0.9116,-6.8176
A0017,4.9663,-4.0686,1.4283,-5.8817
A0018,2.5875,-5.9964,0.8657,-4.4949
A0019,3.887,-5.4939,3.2283,-3.8769
A0020,3.6721,-3.1906,1.3449,-5.6791
A0021,3.9721,-4.1144,0.987,-0.8325
A0022,5.8266,-3.9784,-0.2942,-1.5005
A0023,4.1041,-4.234,3.3713,-1.9515
A0024,4.9818,-6.1269,3.3058,-4.2381
A0025,4.2393,-4.3608,0.1131,-4.7939
A0026,4.0845,-3.977,2.5118,-1.1802
A0027,4.5704,-5.6653,0.8906,-3.621
A0028,4.34,-4.4194,0.5417,-1.9786
A0029,4.3951,-5.8421,-0.0138,-3.5728
A0030,4.715,-6.3044,2.4343,-4.4293
A0031,5.0821,-3.0627,0.7054,-5.6206
A0032,5.166,-5.7903,-0.3604,-1.0539
A0033,3.5056,-3.3629,1.0044,-2.3601
A0034,5.1379,-5.8083,0.9191,-4.2757
A0035,4.8638,-5.0465,1.7747,-3.8569
A0036,5.1402,-4.8057,-0.8164,-3.7278
A0037,3.7773,-4.056,-0.0549,-4.014
A0038,4.3853,-6.8958,2.1964,-2.4479
A0039,4.9417,-5.8465,-0.5301,-3.7832
A0040,4.3705,-6.9899,1.5497,-1.2919
A0041,4.4947,-2.7116,1.1095,-3.3794
A0042,4.4519,-3.3717,0.2226,-4.4223
A0043,4.6842,-4.6022,2.2673,-3.624
A0044,4.9373,-3.6089,-1.4568,-4.5217
A0045,4.3447,-4.6058,3.1898,-1.5859
A0046,4.3724,-7.3538,3.4907,-3.9139
A0047,5.1,-6.346,2.8743,-1.4245
A0048,4.6083,-5.4726,3.0828,1.2053
A0049,5.1063,-4.2011,1.5168,-5.0068
A0050,4.99,-3.9641,1.1141,-4.3451
A0051,3.9047,-6.4804,1.149,-4.5336
A0052,4.2543,-5.11,2.1075,-3.3691
A0053,4.1597,-4.798,0.035,-2.7967
A0054,3.7726,-5.6356,-1.5176,-4.162
A0055,4.7354,-6.7246,3.034,-4.9039
A0056,3.8887,-4.509,-0.5531,-7.0462
A0057,4.5511,-5.7412,3.3713,-3.4156
A0058,5.1955,-5.1516,2.1839,-3.7098
A0059,3.4868,-4.7459,2.3945,-6.2219
A0060,3.6128,-6.3427,4.6633,-1.6649
A0061,3.8874,-4.0655,1.1296,-1.7477
A0062,3.3581,-4.3277,2.4791,-4.6419
A0063,3.9153,-4.3646,-0.3936,-7.9157
A0064,3.4863,-2.7284,4.0692,-3.64
A0065,3.6622,-5.6909,3.2382,-3.8088
A0066,4.7999,-6.6514,1.4636,-5.0071
A0067,5.4434,-3.0884,-0.2253,-0.6847
A0068,4.6184,-6.1294,1.9363,-2.6217
A0069,6.2051,-5.7684,6.0848,-5.1303
A0070,4.3282,-2.3931,0.3023,-3.0869
A0071,4.309,-4.0132,1.8621,-4.397
A0072,6.0442,-3.4592,1.3747,-4.0621
A0073,5.2364,-2.0393,1.8647,-4.9114
A0074,6.5063,-5.7711,0.6283,-6.1206
A0075,4.5323,-4.0087,1.0034,-7.7557
