row_id,b_val
R00002,-10.136
R00003,0.4969
R00004,0.6832
R00005,-7.7146
R00006,-5.1281
R00011,-3.4182
R00012,0.0628
R00013,-2.4065
R00014,-5.8021
R00015,4.4919
R00016,-11.6533
R00017,-4.4545
R00018,-5.4585
R00019,-6.6795
R00020,-4.7378
R00022,7.1422
R00023,-3.0262
R00024,-10.383
R00025,-2.99
R00026,-11.851
R00028,-6.4064
R00030,-5.7524
R00031,-4.0156
R00032,-4.4629
R00035,-2.2885
R00036,-2.7862
R00038,2.5172
R00039,-3.332
R00040,-13.7931
R00041,-0.7793
R00042,1.0295
R00043,-2.65
R00044,-3.2259
R00046,-10.6818
R00047,-4.4429
R00049,-3.7042
R00050,-0.9997
R00051,-0.4907
R00052,-9.5849
R00053,-1.6567
R00057,-19.8251
R00060,1.785
R00061,-2.8984
R00062,11.5626
R00064,-4.683
R00065,1.5238
R00068,-8.4613
R00069,-0.4242
R00071,-7.7608
R00072,-4.0887
R00074,-4.4558
R00075,-12.3176
R00076,-1.55
R00077,0.2365
R00079,-0.5174
R00082,2.1346
R00083,4.4061
R00085,-4.2642
R00086,-1.9697
R00087,-0.0515
R00090,-1.7369
R00091,-12.848
R00092,1.8454
R00093,5.649
R00095,-1.0283
R00096,2.2878
R00097,1.3779
R00098,-6.5447
R00100,6.6386
R00101,-10.6689
R00103,-0.0233
R00104,-7.4996
R00107,-11.3189
R00108,-1.4978
R00109,-3.3515
R00111,-10.202
R00113,-4.114
R00114,0.6706
R00116,3.8221
R00117,-1.3295
R00118,0.1712
R00119,-4.9369
R00120,-0.8616
R00121,2.4343
R00122,-4.6795
R00124,1.6834
R00126,-5.4078
R00127,2.5341
R00128,-2.2989
R00131,-0.3901
R00132,1.3846
R00133,1.8837
R00134,-7.5789
R00135,13.3891
R00136,3.2756
R00137,-4.8015
R00138,-1.3799
R00139,7.3858
R00140,7.5843
R00141,3.141
R00143,-7.7362
R00144,-6.854
R00146,-7.031
R00147,-3.5042
R00148,-8.5255
R00150,-4.3249
R00151,4.584
R00152,-0.1869
R00153,-2.6744
R00154,-12.614
R00155,-9.5119
R00157,-3.7615
R00158,-6.9854
R00159,-0.9813
R00160,-1.7496
R00161,1.2902
R00162,-2.381
R00164,-0.1367
R00165,-1.1968
R00168,0.4511
R00169,-1.5785
R00170,-3.6503
R00171,-0.9053
R00172,-2.695
R00173,-1.5198
R00174,-8.711
R00175,-6.46
R00176,3.3612
R00177,-1.2946
R00178,-0.2324
R00179,-11.4162
R00180,-3.597
R00184,-4.6652
R00185,0.9277
R00186,-1.0925
R00187,-3.1231
R00189,4.0508
R00190,-11.58
R00191,-4.1957
R00192,1.9711
R00194,4.3716
R00195,-3.4697
R00197,-10.7698
R00198,1.1322
R00199,0.1898
R00200,-1.103
R00201,1.0879
R00202,-3.0025
R00203,-9.4638
R00204,-2.6414
R00205,-6.7775
R00206,-2.746
R00208,-3.597
R00209,-7.0918
R00211,-5.3064
R00212,-3.9576
R00213,2.6032
R00214,2.7772
R00215,-3.9118
R00216,3.1049
R00217,-7.7655
R00218,-1.1222
R00219,9.7463
R00220,-7.7505
R00221,-1.2316
R00223,-5.3638
R00224,-2.4624
R00225,3.4138
R00228,-5.3108
R00229,-2.5947
R00230,-5.6126
R00232,-7.1948
R00236,-7.5145
R00237,5.4461
R00240,-0.6873
R00241,4.1186
R00242,1.0714
R00243,-6.7566
R00244,-3.6271
R00245,10.7767
R00246,-9.6894
R00248,-5.2833
R00250,2.699
R00251,4.0101
R00252,-7.1354
R00253,-3.6685
R00255,0.9541
R00256,-10.5845
R00257,-1.2312
R00258,-10.3131
R00259,-7.6156
R00260,-9.038
R00262,-3.6597
R00263,3.5931
R00264,-2.8675
R00265,-3.9542
R00267,-6.6357
R00268,-2.2062
R00269,-2.939
R00270,-7.9143
R00271,-2.0225
R00272,0.3232
R00273,-6.8955
R00274,1.8211
R00276,3.3621
R00279,-12.435
R00280,-2.901
R00281,1.9896
R00282,-2.8455
R00283,-4.0828
R00284,0.0707
R00285,-3.0573
R00286,-2.4025
R00287,-7.4085
R00288,-1.5564
R00289,-4.6645
R00290,3.2639
R00292,1.3414
R00293,1.3154
R00294,-9.9824
R00296,-15.1748
R00297,0.7843
R00298,-7.039
R00299,-4.0977
R00300,-1.202
R00301,-0.8561
R00303,-6.4277
R00304,-3.6573
R00305,-0.5819
R00306,-2.7189
R00307,-1.2339
R00309,-6.3279
R00310,3.9902
R00312,-3.2761
R00313,-5.1333
R00315,-3.9203
R00316,-7.5063
R00317,5.7823
R00318,0.8032
R00319,-4.8323
