R00034,0.89031,0.031185,0.491801,1.789897,0.141106,-0.258592,0
R00035,-0.651522,0.064055,0.295393,0.756364,1.305193,1.714348,0
R00041,-0.210647,-0.011262,-0.549558,0.694342,0.724663,-0.762975,0
R00050,-1.347398,0.052835,0.300748,-1.07668,0.7755,0.593073,0
R00083,-0.246369,-0.001128,-0.812279,-0.163564,1.256649,0.526251,0
R00088,1.073897,0.145916,0.117444,-0.354055,0.169992,0.176508,0
R00099,0.128614,-0.085853,-0.070137,0.656379,-1.499094,1.606867,0
R00122,-0.704434,0.104127,-2.061363,-1.804023,2.319973,-0.585952,0
R00128,-0.822241,0.142781,-0.23222,1.517128,0.917739,1.896042,0
R00131,0.85513,-0.321582,0.820461,-0.913045,-1.052114,0.783278,0
R00134,-0.280905,0.070508,1.275243,0.770342,-0.752811,-0.476244,0
R00179,1.099918,-0.092559,-0.615725,0.940818,1.301913,-0.626008,0
R00184,1.140658,0.205306,-0.023397,1.450966,-0.376673,-1.29001,0
R00192,-0.718607,-0.087079,1.237303,-0.882414,1.916544,0.449013,0
R00208,1.344344,-0.117805,0.545381,0.217247,-2.258313,-1.294789,0
R00224,-0.052884,0.34761,1.29734,-1.524889,0.71249,-0.514858,0
R00238,1.712637,-0.084907,0.703314,1.128684,-0.889193,-0.008632,0
R00249,1.162957,-0.048556,0.300624,1.157066,0.199673,-0.707076,0
R00263,0.789303,0.145398,0.922977,1.127176,-0.165858,0.134759,0
R00271,-0.364832,0.127987,1.151611,-0.355011,1.240747,-1.18812,0
R00278,-0.322817,0.151521,-0.55959,-1.139872,-0.980704,-0.493995,0
R00282,-1.281811,-0.238643,-0.684191,0.640022,-0.47112,-2.024535,0
R00285,-2.26764,-0.153528,1.825148,0.218234,0.139785,-1.38338,0
R00286,1.815806,-0.15086,0.435264,0.643689,0.328119,-1.519031,0
R00289,-1.250266,-0.24492,1.011912,-0.531813,1.69805,0.739234,0
R00290,-0.22975,-0.061083,-0.694614,0.807996,-0.091986,1.308118,0
R00300,0.210939,-0.170936,-0.618659,-1.301358,1.064926,-3.282298,0
R00309,0.180797,-0.095738,-1.557809,-2.022948,0.96613,0.53128,0
R00331,0.3099,0.032984,0.715914,0.596808,0.114726,-1.012978,0
R00337,-0.373652,-0.088092,0.205537,0.932066,-1.211374,-0.459243,0
R00359,-0.049652,-0.090183,-0.567674,-0.26854,2.8055,1.561345,0
R00377,1.380347,-0.200716,-0.523573,-0.106031,1.5343,0.178385,0
R00398,-1.093993,0.11396,-0.336611,-0.988445,0.816437,-0.58167,0
R00411,-0.793055,0.324048,-0.45432,0.662964,-1.891177,0.880496,0
R00413,-1.448792,0.315843,0.641933,0.653928,0.224166,-0.749047,0
R00468,-0.535228,-0.141639,0.704343,0.046625,-0.936519,0.588494,0
R00550,-0.044813,0.193966,-0.738497,0.276275,-0.698557,-0.371304,0
R00567,-1.826933,-0.213521,0.469184,0.09725,0.236607,0.774897,0
R00600,-0.214352,-0.1806,0.37978,0.480423,0.640056,-0.147352,0
R00614,-0.362596,0.212623,0.795212,0.037559,2.361037,0.059411,0
R00628,-0.078226,0.027866,-0.010985,0.04511,1.035472,0.176082,0
R00634,-0.051094,0.095198,-0.325523,0.772607,0.151672,0.051239,0
R00651,0.327387,-0.326335,-1.390616,1.272123,0.685666,0.442366,0
R00655,-0.162496,-0.187235,-2.313533,0.931937,-1.626011,-0.626644,0
R00725,1.543531,0.335712,0.037247,0.466689,1.630732,0.224952,0
R00739,0.196776,-0.176655,-0.28503,1.831589,0.315093,1.494449,0
R00740,0.839721,0.175166,-0.955919,0.277099,-0.369321,-0.603215,0
R00749,-0.515564,0.01766,-0.524115,-0.27406,1.645203,-0.055803,0
R00754,-0.816796,-0.124881,-1.436397,-0.141614,0.057394,-0.798884,0
R00755,1.259506,-0.083162,-1.104988,-1.247289,-1.240497,0.174839,0
R00014,-1.343878,-0.072106,-0.316591,0.875212,2.029362,-0.935282,0
