item_id,e1,e2,e3,e4,e5,e6,e7,e8
I0000,-1.4681,1.1806,0.2934,0.9174,1.407,-0.1814,-1.0639,1.1261
I0001,1.1053,1.0165,-0.3114,0.698,-1.6557,-1.5285,-0.9453,-1.5876
I0002,1.6906,-1.8654,0.2538,1.6978,-0.5322,0.3715,-0.399,-0.3262
I0003,0.3705,1.6711,-1.1058,-0.1381,-1.0069,-0.8022,-1.5595,2.0411
I0004,0.734,-0.7983,-0.0163,0.0084,-0.3261,0.5928,0.2427,0.5708
I0005,0.8078,1.6132,-0.6804,0.6377,-0.9257,0.1156,-0.7502,-0.3526
I0006,1.3881,0.6801,-0.9315,-0.079,0.1775,-0.4607,0.5434,-1.5445
I0007,0.3297,-0.3203,0.7938,0.2236,-1.1961,-0.2118,-1.0077,0.5138
I0008,1.2836,-0.7516,0.4817,0.1679,0.2176,-0.8378,1.2611,-2.4623
I0009,0.5155,-0.338,-1.1968,-0.4574,-1.2193,-0.7802,2.8296,0.4634
I0010,-0.4177,-0.1189,1.5416,-0.168,-0.7559,1.0924,-0.8994,-3.2791
I0011,0.8781,0.4289,0.5341,0.0309,-0.5052,-0.7551,0.2876,-1.3046
I0012,-0.9894,0.0832,0.5896,-0.7224,-0.1003,0.7175,1.6577,-0.8134
I0013,-0.9738,-0.8606,-1.9289,-0.2067,-1.4526,-0.0603,-0.3727,-1.3197
I0014,-0.4863,0.4745,0.0804,-0.2137,-1.9148,0.2313,2.7662,0.5648
I0015,1.0304,0.2754,1.0996,0.6917,-0.5036,0.8199,1.7469,0.6349
I0016,0.5155,-0.338,-1.1968,-0.4574,-1.2193,-0.7802,2.8296,0.4634
I0017,-1.3824,1.0224,0.785,-1.7772,-0.635,-0.0423,0.4519,-0.3987
I0018,-1.4681,1.1806,0.2934,0.9174,1.407,-0.1814,-1.0639,1.1261
I0019,-1.2959,-0.8371,-0.7568,0.0416,-0.601,0.356,-1.5102,-0.082
I0020,0.9319,0.7525,1.1108,0.1899,0.1223,0.1885,1.1668,1.9045
I0021,-0.0157,-0.0804,0.115,-0.5639,0.1698,-1.5214,-0.1248,-0.1985
I0022,0.2335,1.1052,0.3836,0.0956,0.5211,2.0752,0.6822,0.4739
I0023,-0.4714,-2.0823,-0.4084,-0.1057,-0.2585,-0.1449,-0.756,0.0393
I0024,0.7279,0.8984,-0.6077,1.2225,0.8844,0.876,-0.0858,0.7697
I0025,-0.403,1.2088,-2.1724,-1.8628,-0.6532,1.4864,-1.5411,-0.4408
I0026,0.0406,0.3129,2.2734,-0.449,0.8499,-1.1024,-0.1119,-1.9304
I0027,-0.2629,1.0626,2.0184,0.4158,-0.1244,-0.3471,0.0648,0.6732
I0028,-1.4746,-0.9869,-1.5622,-0.2178,0.9424,-0.9383,-1.4019,0.2156
I0029,0.3297,-0.3203,0.7938,0.2236,-1.1961,-0.2118,-1.0077,0.5138
I0030,1.2729,-0.2335,-0.3,1.3438,0.3842,-0.4311,-0.4401,0.3771
I0031,1.5039,-0.7685,-0.0201,-1.6783,-1.3539,2.3091,-1.4771,0.0161
I0032,-1.1165,1.1984,-1.6188,0.2087,-0.3986,0.3611,-0.7829,-2.5608
