row_id,f1,f2,f3,f4
row_id,split,f1,f2,f3,f4
row_id,train,-0.807184,2.408836,0.021156,-0.393808
R00000,train,0.793411,0.525708,-0.575744,0.434710
R00001,train,1.442718,0.494505,0.694116,0.448596
R00002,train,-0.259308,-0.945230,-0.130680,1.873183
R00003,train,0.415484,0.016915,0.812760,0.298719
R00004,train,-1.125922,0.706044,-0.282449,0.398046
R00005,train,-0.279979,0.550558,1.041864,1.014575
R00006,train,0.389293,-0.473301,0.053717,-0.497861
R00007,train,-0.499455,0.172352,1.091221,-0.257629
R00008,train,0.454740,-0.469685,-0.746047,-1.062413
R00009,train,-1.868378,0.279631,1.337610,-0.280031
R00010,train,0.759741,0.755213,-0.410885,0.982568
R00011,train,0.584908,-0.601761,-0.868671,1.645848
R00012,train,-0.457584,-0.818005,0.043448,1.553942
R00013,train,0.580933,-0.991570,-0.893885,0.440395
R00014,train,-0.327482,0.354681,0.081746,0.773012
R00015,train,2.632565,2.178715,-0.473849,1.087151
R00016,train,-1.780024,0.440617,1.259802,-0.882811
R00017,train,0.013321,-0.764896,0.776674,1.220332
R00018,train,-0.208961,1.851554,-0.250371,1.930971
R00019,train,1.178036,1.759672,0.234897,1.236344
R00020,train,0.319140,-1.544677,-0.375538,0.474534
R00021,train,0.413784,-0.913519,-0.888074,-0.129038
R00022,train,0.627440,0.951763,0.165667,0.042870
R00023,train,1.368218,0.616975,-1.334290,-0.100880
R00024,train,0.091280,1.227670,3.018461,0.145293
R00025,train,-0.153924,0.764062,-0.400553,0.121821
R00026,train,0.429165,-0.144344,1.301163,-0.161586
R00027,train,0.451579,-0.638587,-1.398893,-0.158626
R00028,train,1.490185,-0.058371,1.159327,-0.637140
R00029,train,-0.954614,1.043009,1.387686,0.625968
R00030,train,-1.446650,-0.102686,-0.166936,1.196384
R00031,train,0.671495,0.571182,-0.475490,-0.152130
R00032,train,1.064442,-0.835132,0.579626,-1.173176
R00033,train,-1.317787,-0.996233,-1.080419,-0.413348
R00034,train,0.087992,-0.814744,2.673048,0.549875
R00035,train,0.391376,-1.519725,-0.102844,0.098056
R00036,train,-0.655846,-0.376780,1.367159,2.699878
R00037,train,-0.086854,1.816716,-0.277861,-1.400116
R00038,train,0.213796,-0.068333,0.572283,1.501442
R00039,train,-0.176827,1.285068,0.627915,-0.542882
R00040,train,-1.769113,1.910754,0.502294,0.916695
R00041,train,-1.403584,1.828682,-0.672421,1.554279
R00042,train,0.490179,-0.013557,0.708552,-0.417719
R00043,train,0.586465,0.160687,0.021379,-1.489154
R00044,train,0.080124,0.540459,-3.487776,1.087040
R00045,train,0.854562,-0.930122,-0.985579,-0.613027
R00046,train,0.259254,-0.646106,-0.602134,-1.136618
R00047,train,-0.484094,1.094275,1.511325,0.139532
R00048,train,-1.306408,0.527107,0.390028,0.317300
R00049,train,1.351030,-1.067795,-0.323934,-2.216459
R00050,train,0.692647,1.189186,0.829206,-0.077362
R00051,train,-0.873266,0.197993,-1.506623,-0.252518
R00052,train,-0.789966,3.061324,0.016931,-1.937128
R00053,train,-0.642486,-1.550659,1.883890,-0.488221
R00054,train,0.462517,0.363386,1.598522,-1.804859
R00055,train,-0.880692,-0.043033,0.856149,-0.283879
R00056,train,-1.763309,1.304445,1.245846,0.526326
R00057,train,0.639833,-0.144194,0.849115,-0.464615
R00058,train,-1.107386,0.029845,-1.074874,0.681912
R00059,train,-0.342729,1.529069,0.324612,-0.645054
R00060,train,-0.359590,0.960866,-0.078800,1.799267
R00061,train,1.276454,-0.868251,0.083053,0.199119
R00062,train,-1.501031,-1.218133,-0.387676,-0.523307
R00063,train,0.340850,0.658890,0.726619,-0.159240
R00064,train,0.018198,0.664252,-0.458895,0.930070
R00065,train,0.613821,-0.736995,2.653063,-1.429312
R00066,train,0.779344,0.346150,-0.759728,-1.008159
R00067,train,2.166078,-0.596196,-0.775324,0.621469
R00068,train,0.361791,-0.410764,-0.280454,-0.191068
R00069,train,1.089127,0.686163,-1.533052,-0.445402
R00070,train,-0.224816,1.005322,0.799695,0.206505
R00071,train,0.418277,-0.338634,-0.929979,-0.561068
R00072,train,-2.083253,-0.063928,-0.208216,-1.918852
R00073,train,-0.902844,1.086902,0.858142,-1.279864
R00074,train,-0.328066,-0.870818,-0.312945,-2.741328
R00075,train,-0.626148,-0.178350,-2.227872,-0.445804
R00076,train,0.452218,-1.749520,-2.612774,0.440714
R00077,train,-0.574198,1.972262,-1.980517,-0.218429
R00078,train,0.099895,-1.068941,-1.460741,-1.389680
R00079,train,-1.336694,-0.785559,0.753811,-0.319837
R00080,train,0.332154,0.471306,-1.347223,-0.058422
R00081,train,0.566402,0.921906,0.291935,-2.149026
R00082,train,-1.037902,0.418576,0.500515,1.059984
R00083,train,0.314385,0.536754,-0.304986,-0.876847
R00084,train,-0.265005,-1.792917,1.239456,-1.306129
R00085,train,0.238141,-2.315763,0.858092,-0.301974
R00086,train,-0.177875,0.423840,1.134468,-1.291384
R00087,train,0.123101,0.325294,-1.600688,0.346425
R00088,train,-1.114068,1.368644,1.202182,0.519990
R00089,train,-0.507660,-1.384657,-2.237188,0.044438
R00090,train,-0.692544,-0.512944,-0.027726,-0.281639
R00091,train,0.632252,-0.490480,0.336403,-0.564258
R00092,train,-0.081912,-0.590897,0.641957,-1.212077
R00093,train,0.064544,-0.109556,-0.642550,-0.019118
R00094,train,-0.532305,-0.759654,-0.325767,0.476211
R00095,train,1.288192,0.066474,0.411020,-1.050540
R00096,train,1.517452,1.428239,0.944621,1.678276
R00097,train,0.441042,0.986943,-0.739735,0.764427
R00098,train,1.409803,0.227467,0.372099,-0.744099
R00099,train,-0.432963,0.410074,0.750432,-0.286846
R00100,train,0.018406,1.246423,-0.604510,0.865342
R00101,train,0.564176,-0.026483,-0.006320,-0.329112
R00102,train,0.029382,-1.115455,-1.630826,1.758653
R00103,train,0.181544,-0.031485,-2.077168,1.612468
R00104,train,-0.222436,0.259939,0.414474,-0.910398
R00105,train,-0.348566,-1.218549,0.346215,-0.905232
R00106,train,-0.644181,0.644272,-0.477166,0.522990
R00107,train,0.027646,-0.499320,-0.163524,-0.194842
R00108,train,0.296584,-0.735229,0.162048,0.049380
R00109,train,-0.483313,1.576558,0.136470,-1.665593
R00110,train,-0.509420,0.484084,1.555136,0.103045
R00111,train,-1.673307,0.491064,-0.905134,-0.231282
R00112,train,-0.164571,1.487691,2.113226,0.059292
R00113,train,0.123757,-0.058688,-0.088172,0.291702
R00114,train,0.526189,-0.456854,1.464565,-0.297907
R00115,train,-1.394502,-1.400987,-0.118484,2.257032
R00116,train,0.855037,0.555698,0.585815,1.320447
R00117,train,-0.030422,0.754511,-1.326547,-0.649708
R00118,train,-0.179484,0.104047,0.884494,0.008360
R00119,train,-0.382011,-1.051272,-0.518633,-0.172330
R00120,train,-0.437902,-1.362164,1.613033,-1.698309
R00121,train,-0.076467,-0.563082,0.313491,0.660605
R00122,train,2.721972,0.452358,0.817683,2.103443
R00123,train,0.398032,0.281201,-0.772286,-2.010473
R00124,train,1.119377,0.267252,1.064845,0.160358
R00125,train,-0.954512,0.760055,-1.220153,2.146944
R00126,train,-0.814881,-0.441572,-1.535539,1.950979
R00127,train,-0.288995,1.034506,-0.425065,2.313842
R00128,train,-0.917353,-0.384566,-1.261188,0.301214
R00129,train,-1.377292,-0.073091,-0.287181,-1.995556
R00130,train,0.564757,-0.953787,0.660365,1.326159
R00131,train,0.197422,-1.224208,0.849786,-0.264609
R00132,train,-1.881991,0.558524,0.024339,0.150024
R00133,train,0.323154,0.406077,-0.535786,0.589060
R00134,train,-0.358198,0.341718,-1.226350,0.909854
R00135,train,-0.547608,-1.102026,-0.465440,0.007587
R00136,train,1.294795,0.159930,0.042194,-0.521836
R00137,train,0.146452,0.729058,0.720302,-1.266427
R00138,train,-0.350282,-0.304538,1.306765,-0.671402
R00139,train,0.396326,1.371683,0.674972,0.607663
R00140,train,-0.784096,-0.092212,-0.477015,-0.029466
R00141,train,0.923506,-0.369704,0.254674,-1.008937
