account_id,label_time,churned
A0000,1773055706000,1
A0001,1772958634000,0
A0002,1772570257000,0
A0003,1772184005000,0
A0004,1773085120000,1
A0005,1772346881000,0
A0006,1773292185000,1
A0007,1773616889000,1
A0008,1772439085000,1
A0009,1772463144000,1
A0010,1773663817000,0
A0011,1772822111000,0
A0012,1772983726000,0
A0013,1773190069000,0
A0014,1772630080000,0
A0015,1772314927000,0
A0016,1772060353000,1
A0017,1773230846000,1
A0018,1773285243000,0
A0019,1773411212000,1
A0020,1772360735000,0
A0021,1773514883000,0
A0022,1773686738000,1
A0023,1773609943000,1
A0024,1773006355000,1
A0025,1773209874000,0
A0026,1773192733000,1
A0027,1772898790000,0
A0028,1772020187000,0
A0029,1773198094000,0
A0030,1773113038000,0
A0031,1773122636000,0
A0032,1772358817000,0
A0033,1773648486000,1
A0034,1772636012000,1
A0035,1773274629000,0
A0036,1772291624000,0
A0037,1772598562000,0
A0038,1772929958000,0
A0039,1772916275000,0
A0040,1773199380000,0
A0041,1772290398000,0
A0042,1772300111000,1
A0043,1772567995000,1
A0044,1773188865000,0
A0045,1772873737000,1
A0046,1772908868000,1
A0047,1772610552000,0
A0048,1772465289000,0
A0049,1772556842000,1
A0050,1772859196000,0
A0051,1772594971000,1
A0052,1773317706000,0
A0053,1772815671000,1
A0054,1773661421000,1
A0055,1772229835000,0
A0056,1772443726000,0
A0057,1773014637000,0
A0058,1773574159000,0
A0059,1773474865000,1
A0060,1773192835000,0
A0061,1773510695000,1
A0062,1772983600000,1
A0063,1773549699000,1
A0064,1772048293000,0
A0065,1772460554000,1
A0066,1772316210000,1
A0067,1772579408000,0
A0068,1773408306000,1
A0069,1772439730000,0
A0070,1773033631000,1
A0071,1773511349000,1
A0072,1772820156000,1
A0073,1772952599000,0
A0074,1772338918000,1
A0075,1772930259000,1
A0076,1773579861000,0
A0077,1772739698000,0
A0078,1772840598000,0
A0079,1772041784000,1
A0080,1772150449000,0
A0081,1773305881000,1
A0082,1772810075000,0
A0083,1772980523000,0
A0084,1773650732000,1
A0085,1773480442000,0
A0086,1772925731000,0
A0087,1773486207000,1
A0088,1772485058000,0
A0089,1773205105000,0
A0090,1773189347000,0
A0091,1773651999000,0
A0092,1772324127000,0
A0093,1772417504000,0
A0094,1772555352000,0
A0095,1773289360000,1
A0096,1772181560000,0
A0097,1772994419000,0
A0098,1773255841000,1
A0099,1773618464000,0
