account_id,event_time,amount,balance
A0000,1767300007000,30.93,803.37
A0004,1772823767000,33.94,6088.24
A0007,1770676189000,56.76,5982.02
A0008,1772333139000,12.16,6957.48
A0010,1771000058000,11.7,4066.7
A0013,1768002551000,168.01,1854.57
A0015,1771805057000,6.89,5485.05
A0016,1773109496000,52.62,3992.02
A0017,1770689500000,23.07,2553.93
A0017,1772788645000,70.36,2657.91
A0019,1772644659000,25.83,7900.54
A0020,1770343282000,22.38,3987.6
A0020,1772696870000,143.85,2886.78
A0024,1769622552000,78.61,4720.53
A0025,1769637412000,193.65,6124.27
A0025,1769807018000,374.59,5719.63
A0026,1768445664000,36.85,3830.24
A0027,1768558515000,22.86,3213.44
A0034,1767236927000,17.24,8015.7
A0036,1772714577000,30.09,4963.21
A0037,1769575896000,42.49,5133.23
A0037,1770679768000,25.47,5289.13
A0039,1772611139000,10.97,7153.09
A0040,1769254846000,15.46,7827.48
A0041,1771788717000,64.38,5311.73
A0044,1771870433000,32.23,2752.32
A0046,1770009413000,128.68,4735.89
A0048,1771952532000,14.67,6301.06
A0049,1771580759000,78.51,3922.47
A0049,1772779902000,20.39,3907.37
A0050,1767240824000,8.49,6383.83
A0051,1767297605000,12.67,4540.81
A0052,1768318333000,55.46,5382.4
A0054,1767261047000,22.83,3999.94
A0056,1767240414000,21.05,6128.98
A0057,1769645739000,38.23,6472.08
A0058,1767850047000,50.06,7039.84
A0058,1770970275000,11.59,8155.16
A0059,1769137538000,18.54,5805.92
A0059,1772777133000,68.96,6373.57
A0060,1771662170000,31.87,3774.9
A0065,1768426681000,7.6,6655.09
A0067,1768724663000,25.35,3768.14
A0068,1772919620000,140.97,7834.1
A0072,1767281742000,30.94,11527.8
A0073,1770448784000,7.81,6379.88
A0074,1768582897000,32.72,5481.42
A0075,1767270649000,76.76,6381.62
A0075,1770808978000,109.45,6288.42
A0075,1770868728000,230.6,6237.48
A0076,1769754886000,7.13,7787.59
A0077,1767271335000,19.7,3021.99
A0081,1770241668000,25.31,5121.5
A0084,1768890317000,15.38,3740.71
A0085,1768688476000,52.56,-1086.91
A0085,1771776245000,161.25,-1393.05
A0089,1767269837000,46.39,2382.91
A0089,1771275025000,35.72,2856.63
A0090,1769044471000,127.01,6155.74
A0090,1770870427000,108.92,6900.39
A0091,1767292461000,14.98,1021.13
A0093,1772336491000,8.03,4213.23
A0094,1771711097000,13.42,8106.95
A0097,1768257020000,7.33,3725.17
A0097,1770313752000,193.37,3967.43
A0098,1770922020000,9.22,4899.4
A0099,1768488991000,286.06,6444.41
A0099,1770752386000,15.09,7054.2
