row_id,account_id,event_time,amount,category
R00445,A0043,1771058040000,14.29,other
R00532,A0007,1771870440000,67.23,other
R00476,A0000,1771369380000,29.87,other
R00565,A0011,1772166360000,88.89,salary
R00466,A0117,1771242900000,59.93,travel
R00356,A0063,1770169860000,137.95,other
R00555,A0000,1772053320000,8.48,travel
R00444,A0105,1771055760000,91.43,grocery
R00493,A0083,1771496460000,29.07,grocery
R00518,A0018,1771752120000,13.85,salary
R00559,A0019,1772111160000,34.42,salary
R00360,A0108,1770191400000,26.1,rent
R00364,A0058,1770229740000,11.87,rent
R00439,A0093,1770996600000,57.24,grocery
R00417,A0038,1770802260000,18.01,rent
R00461,A0050,1771195380000,45.59,salary
R00543,A0074,1771935780000,36.54,other
R00378,A0081,1770405120000,25.19,travel
R00350,A0074,1770075300000,12.91,other
R00534,A0081,1771878420000,8.32,rent
R00420,A0036,1770821820000,9.55,grocery
R00424,A0021,1770844380000,3.69,salary
R00349,A0072,1770073080000,35.26,rent
R00495,A0040,1771507740000,9.53,rent
R00485,A0071,1771450860000,6.41,grocery
R00590,A0008,1772341560000,132.73,travel
R00598,A0106,1772401680000,23.91,rent
R00406,A0005,1770656340000,17.04,travel
R00430,A0055,1770933480000,108.55,other
R00351,A0054,1770097920000,9.42,other
R00482,A0002,1771424820000,36.21,travel
R00535,A0084,1771888200000,14.27,salary
R00422,A0103,1770832260000,342.95,grocery
R00460,A0085,1771194540000,18.23,other
R00484,A0110,1771445100000,51.51,travel
R00596,A0048,1772376240000,45.22,other
R00368,A0119,1770250680000,76.7,rent
R00429,A0058,1770928560000,39.24,salary
R00544,A0111,1771937640000,5.35,rent
R00539,A0036,1771910640000,7.23,rent
R00571,A0119,1772227020000,11.54,travel
R00502,A0047,1771594380000,28.06,grocery
R00517,A0052,1771749180000,19.63,grocery
R00567,A0032,1772175660000,16.52,rent
R00363,A0117,1770223080000,27.23,salary
R00388,A0090,1770522240000,24.35,other
R00394,A0062,1770561660000,8.64,grocery
R00455,A0093,1771135560000,4.44,salary
R00474,A0037,1771358220000,4.29,salary
R00542,A0004,1771932120000,26.08,grocery
R00498,A0077,1771544280000,21.13,other
R00465,A0031,1771239300000,19.54,salary
R00434,A0019,1770958260000,41.29,travel
R00421,A0032,1770826200000,2.17,salary
R00348,A0021,1770069540000,15.31,travel
R00507,A0026,1771622880000,36.14,grocery
R00494,A0012,1771507380000,17.93,other
R00576,A0114,1772251620000,61.85,grocery
R00400,A0100,1770605880000,14.33,other
R00442,A0021,1771025520000,7.63,grocery
R00570,A0004,1772226720000,42.52,salary
R00569,A0084,1772224140000,26.45,other
R00578,A0064,1772264160000,19.46,salary
R00521,A0093,1771797840000,131.87,rent
R00372,A0016,1770322200000,13.2,salary
