query_id,embedding
Q000,"[5.059283, 2.802399, -2.09464, 2.37555, -2.393733, -6.679374, -1.39186, 3.118003, 1.475084, 2.460378, -4.511069, 1.062514, 3.391401, 1.45451, 0.951103, 0.573947]"
Q001,"[5.240628, 3.423417, -2.042061, 2.683275, -1.875143, -5.468597, -1.381209, 1.33545, 1.85519, 1.463649, -4.627132, 2.618314, 2.510195, 1.815352, 0.575549, 1.609422]"
Q002,"[0.779121, -0.67219, 0.019194, -1.512931, 1.050315, 2.254556, -1.135643, 3.712057, -2.020966, 3.427573, -1.875412, 3.434544, -6.63237, -1.031501, -6.755107, -4.948769]"
Q003,"[1.394626, -1.618142, -0.912527, -1.398956, 1.198967, 0.699902, -2.00788, 2.624232, -3.143411, 3.881703, -2.343903, 4.304994, -6.340012, -0.706888, -6.948452, -5.341265]"
Q004,"[-2.424, 4.254192, -3.948994, 0.765837, 3.97954, 0.311252, 0.562763, -1.527094, 1.391266, 0.920854, 4.089054, 1.052781, -3.116672, 1.516644, -4.539895, 1.974034]"
Q005,"[2.439571, -0.695334, -0.861096, -2.22858, 0.375408, 1.488622, -1.339756, 2.829453, -2.338355, 3.582135, -1.505994, 4.409751, -7.136109, -0.891962, -4.753108, -5.995833]"
Q006,"[-3.420021, 3.153364, -3.623636, 0.211162, 4.15919, -0.767682, -0.486578, -1.390468, 1.062107, 0.039065, 3.085663, -0.42365, -3.105271, 2.413645, -3.801849, 1.971067]"
Q007,"[1.674544, -0.259632, -0.580914, -2.331488, 0.061707, 1.154804, -1.298865, 3.420194, -3.198067, 3.240422, -2.294483, 4.785369, -7.383735, -1.259169, -5.178557, -5.314058]"
Q008,"[1.379647, -2.881559, 1.559556, 2.535865, -4.77021, -2.097429, 2.013738, -2.3595, 0.123076, 3.469862, 4.293931, 0.34811, -1.896554, -4.33966, -2.360741, -0.610498]"
Q009,"[2.955395, -0.273409, -3.837803, 1.644527, 4.226864, -1.496092, 0.844543, -3.015539, 2.355125, -6.197368, -2.158274, 1.898742, 0.934873, -3.399988, 0.212265, -1.175985]"
Q010,"[0.829196, -3.386809, 1.082077, 1.275731, -4.256615, -2.313614, 1.758343, -1.430682, 1.863979, 3.329522, 3.060427, 1.215743, -1.88527, -5.372146, -1.73657, -1.281553]"
Q011,"[1.11367, -3.793457, 1.912855, 1.484303, -5.159287, -3.331109, 2.310936, -1.440646, 1.028482, 4.867469, 2.712648, 0.188152, -0.932102, -4.423079, -1.983801, -1.120154]"
Q012,"[1.759308, -0.280253, -0.086034, -0.87065, 0.806147, 1.663992, -1.585508, 2.30409, -2.529692, 5.15853, -2.583675, 3.986165, -5.706653, -2.054367, -5.441719, -5.704869]"
Q013,"[2.600088, 0.205475, -4.932276, 2.792706, 4.077199, -2.02146, 0.130071, -2.854316, 4.143457, -4.936344, -2.566877, 1.261248, 1.460985, -3.946053, -0.094247, -1.061467]"
Q014,"[3.568997, 3.142717, -2.317339, 1.355503, -2.25366, -6.352366, -0.914382, 1.804399, 0.50782, 1.427726, -3.680494, 1.052253, 2.554481, 3.023607, 0.104882, 1.10629]"
Q015,"[2.110484, 0.880622, -3.748027, 2.305787, 4.266956, -2.576457, 0.491977, -3.527667, 3.321014, -6.529253, -0.735747, 2.028925, 2.224928, -4.143425, -0.590465, -0.034672]"
Q016,"[0.45541, -0.241756, -0.704601, -1.950824, 2.309839, 1.181891, -1.441024, 2.507202, -2.552069, 4.184158, -1.901334, 4.332835, -6.279021, -0.931694, -6.496131, -5.249103]"
Q017,"[-0.249352, -1.586592, 4.325835, 0.535315, 2.464273, 1.423235, -3.191808, -0.817439, 1.980417, -1.014056, -3.344069, -0.940586, -0.405179, -0.95495, 0.488917, -0.293829]"
Q018,"[1.790646, -0.371068, -0.13005, -1.455781, 1.239019, 1.029692, -1.629914, 3.629678, -2.866576, 4.714019, -2.301808, 4.854976, -7.197422, -2.01978, -6.523509, -5.12092]"
Q019,"[-2.716193, 3.995154, -4.409669, 0.335988, 3.812098, -0.069007, 0.23532, -1.81636, 0.93322, 1.109834, 3.571898, 0.850519, -3.2923, 1.771673, -4.469897, 3.229334]"
Q020,"[3.283914, 3.226059, -1.933885, 2.157716, -2.875939, -6.90264, -2.202799, 1.853936, 1.004955, 1.911079, -3.575646, 1.348004, 2.183214, 1.360587, 1.943628, 2.084952]"
Q021,"[0.117258, -1.466342, 6.54113, -0.041254, 3.111106, 1.154515, -2.552895, -0.676388, 2.420021, -2.859432, -3.292424, -0.679585, -1.581975, -1.918858, 2.601012, -1.458009]"
Q022,"[0.470857, -1.734729, -0.659238, -0.567769, 0.604278, 0.688579, -1.119931, 3.485598, -2.793439, 4.027151, -2.156776, 3.131697, -7.092661, -1.293682, -6.479879, -5.959113]"
Q023,"[0.964085, -0.434789, -0.607019, -0.760316, 1.602992, 1.361417, -2.321823, 3.539613, -3.040046, 3.543299, -1.715275, 4.230015, -6.217472, -1.240307, -5.747591, -6.70195]"
Q024,"[1.549987, -3.500956, 0.342552, 2.485358, -5.03634, -2.506536, 1.307082, -2.037211, 0.032096, 4.146943, 3.372566, 0.21098, -1.161431, -4.370848, -2.319533, -1.461042]"
