account_id,event_time,sessions_7d
A0000,1767247887000,31
A0000,1767918384000,16
A0000,1768465249000,26
A0000,1769102568000,36
A0000,1769713604000,4
A0000,1770263751000,8
A0000,1770886216000,7
A0000,1771480379000,8
A0000,1772085878000,1
A0000,1772690647000,0
A0000,1773352065000,17
A0000,1773962479000,20
A0000,1774498191000,37
A0001,1767324709000,16
A0001,1767965812000,11
A0001,1768532757000,35
A0001,1769197204000,21
A0001,1769790985000,13
A0001,1770370983000,26
A0001,1770995659000,12
A0001,1771553297000,37
A0001,1772198007000,10
A0001,1772792093000,12
A0001,1773378295000,36
A0001,1774043970000,23
A0001,1774579652000,3
A0002,1767268228000,31
A0002,1767949612000,19
A0002,1768519427000,34
A0002,1769147711000,24
A0002,1769756676000,35
A0002,1770285148000,18
A0002,1770969468000,21
A0002,1771539614000,30
A0002,1772118136000,24
A0002,1772719076000,32
A0002,1773319332000,37
A0002,1773957828000,3
A0002,1774516972000,10
A0003,1767270735000,23
A0003,1767917330000,7
A0003,1768500545000,6
A0003,1769068463000,10
A0003,1769686058000,17
A0003,1770307766000,3
A0003,1770908430000,27
A0003,1771506665000,32
A0003,1772100669000,21
A0003,1772760267000,12
A0003,1773373484000,15
A0003,1773905631000,36
A0003,1774579359000,10
A0004,1767317882000,0
A0004,1767921651000,12
A0004,1768495440000,14
A0004,1769095130000,34
A0004,1769670486000,17
A0004,1770300163000,30
A0004,1770935383000,0
A0004,1771478865000,14
A0004,1772139628000,4
A0004,1772760992000,11
A0004,1773311539000,20
A0004,1773893231000,5
A0004,1774512256000,26
A0005,1767279856000,21
A0005,1767958946000,35
A0005,1768518319000,23
A0005,1769120662000,7
A0005,1769728692000,30
A0005,1770298626000,11
A0005,1770915780000,33
A0005,1771580991000,32
A0005,1772110623000,20
A0005,1772789950000,26
A0005,1773352673000,36
A0005,1773924714000,8
A0005,1774559167000,34
A0006,1767268499000,30
A0006,1767934071000,16
A0006,1768541098000,15
A0006,1769131871000,38
A0006,1769747575000,38
A0006,1770356843000,11
A0006,1770967359000,28
A0006,1771518644000,33
A0006,1772145807000,36
A0006,1772752782000,24
A0006,1773379136000,31
A0006,1773954972000,7
A0006,1774563635000,9
A0007,1767276480000,32
A0007,1767944489000,39
A0007,1768475156000,15
A0007,1769117229000,25
A0007,1769698025000,15
A0007,1770353205000,32
A0007,1770959967000,36
A0007,1771536297000,28
A0007,1772105894000,0
A0007,1772781110000,21
A0007,1773333170000,19
A0007,1773928431000,13
A0007,1774597166000,34
A0008,1767302165000,13
A0008,1767886617000,36
A0008,1768479883000,7
A0008,1769128538000,2
A0008,1769708470000,27
A0008,1770295117000,36
A0008,1770941524000,28
A0008,1771487322000,22
A0008,1772151971000,33
A0008,1772681060000,20
A0008,1773359161000,2
A0008,1773898163000,14
A0008,1774564402000,12
A0009,1767363997000,21
A0009,1767992243000,15
A0009,1768569809000,17
A0009,1769206702000,12
A0009,1769783456000,33
A0009,1770367614000,25
A0009,1770997792000,27
A0009,1771573769000,10
A0009,1772162033000,22
A0009,1772779322000,11
A0009,1773393230000,2
A0009,1774038496000,38
A0009,1774643394000,4
A0010,1767276688000,26
A0010,1767910372000,25
A0010,1768533748000,8
A0010,1769113217000,6
A0010,1769673843000,15
A0010,1770283377000,36
A0010,1770901881000,2
A0010,1771554975000,21
A0010,1772171551000,20
A0010,1772725350000,26
A0010,1773367580000,3
A0010,1773965109000,20
A0010,1774558199000,10
A0011,1767304806000,15
A0011,1767882714000,17
A0011,1768494850000,19
A0011,1769102542000,36
A0011,1769712717000,39
A0011,1770332675000,36
A0011,1770932677000,6
A0011,1771497134000,30
A0011,1772086676000,20
A0011,1772714671000,7
A0011,1773368644000,22
A0011,1773959393000,5
A0011,1774560463000,39
A0012,1767343878000,34
A0012,1767918571000,29
A0012,1768593282000,18
A0012,1769156996000,38
A0012,1769781938000,11
A0012,1770404063000,33
A0012,1770999845000,34
A0012,1771605821000,16
A0012,1772175097000,13
A0012,1772773638000,2
A0012,1773380067000,31
A0012,1774026851000,35
A0012,1774582640000,37
A0013,1767357572000,6
A0013,1767942196000,20
A0013,1768551712000,22
A0013,1769115844000,11
A0013,1769747138000,18
A0013,1770310950000,30
A0013,1770947295000,27
A0013,1771568031000,24
A0013,1772188835000,5
A0013,1772774564000,29
A0013,1773353996000,9
A0013,1773940052000,37
A0013,1774555499000,16
A0014,1767387325000,37
A0014,1767983867000,22
A0014,1768579210000,12
A0014,1769172377000,17
A0014,1769722076000,34
A0014,1770400611000,11
A0014,1770952830000,15
A0014,1771618263000,30
A0014,1772207036000,38
A0014,1772798114000,30
A0014,1773392764000,27
A0014,1774003036000,7
A0014,1774617414000,39
A0015,1767336256000,12
A0015,1767891489000,8
A0015,1768580209000,22
A0015,1769175259000,3
A0015,1769716118000,33
A0015,1770363094000,16
A0015,1770936807000,24
A0015,1771602668000,2
A0015,1772125540000,22
A0015,1772801706000,34
A0015,1773347461000,34
A0015,1773973238000,26
A0015,1774588871000,20
A0016,1767349092000,4
A0016,1767990740000,21
A0016,1768528654000,13
A0016,1769169600000,37
A0016,1769756354000,1
A0016,1770360298000,20
A0016,1770943787000,26
A0016,1771587009000,14
A0016,1772145775000,33
A0016,1772773052000,1
A0016,1773377502000,13
A0016,1773961774000,37
A0016,1774579049000,18
A0017,1767283577000,4
A0017,1767836292000,28
A0017,1768445025000,33
A0017,1769125027000,4
A0017,1769676740000,2
A0017,1770314277000,18
A0017,1770910454000,32
A0017,1771510225000,37
A0017,1772102919000,11
A0017,1772679083000,25
A0017,1773306001000,27
A0017,1773883231000,4
A0017,1774500536000,29
A0018,1767353189000,14
A0018,1767960961000,16
A0018,1768560191000,23
A0018,1769164811000,38
A0018,1769720420000,37
A0018,1770342275000,11
A0018,1770962632000,35
A0018,1771532696000,19
A0018,1772192229000,5
A0018,1772808722000,36
A0018,1773380140000,2
A0018,1773961713000,17
A0018,1774590836000,19
A0019,1767342712000,19
A0019,1767919602000,36
A0019,1768575144000,37
A0019,1769171505000,9
A0019,1769782439000,28
A0019,1770337835000,35
A0019,1770953592000,28
A0019,1771550569000,21
A0019,1772130021000,5
A0019,1772734532000,33
A0019,1773367453000,24
A0019,1773949623000,3
A0019,1774557667000,15
A0020,1767363907000,10
A0020,1767946928000,12
A0020,1768532633000,37
A0020,1769179305000,26
A0020,1769771418000,29
A0020,1770361401000,3
A0020,1770941609000,9
A0020,1771530646000,3
A0020,1772193958000,34
A0020,1772759590000,18
A0020,1773421125000,33
A0020,1773969676000,1
A0020,1774615624000,38
A0021,1767336233000,14
A0021,1767878070000,30
A0021,1768507677000,36
A0021,1769095285000,38
A0021,1769737213000,36
A0021,1770333165000,3
A0021,1770908874000,10
A0021,1771503748000,17
A0021,1772172554000,15
A0021,1772712913000,19
A0021,1773359757000,38
A0021,1773913447000,33
A0021,1774523873000,0
A0022,1767326388000,18
A0022,1767933068000,14
A0022,1768516718000,21
A0022,1769149487000,26
A0022,1769688514000,8
A0022,1770353096000,11
A0022,1770923208000,30
A0022,1771501691000,34
A0022,1772107648000,4
A0022,1772775746000,22
A0022,1773337347000,34
A0022,1773983952000,5
A0022,1774544269000,6
A0023,1767307813000,8
A0023,1767900723000,19
A0023,1768458494000,36
A0023,1769126105000,1
A0023,1769731840000,19
A0023,1770349572000,23
A0023,1770879697000,33
A0023,1771489439000,33
A0023,1772128941000,8
A0023,1772713182000,19
A0023,1773358390000,6
A0023,1773962481000,24
A0023,1774548827000,16
A0024,1767306583000,22
A0024,1767857687000,17
A0024,1768494607000,36
A0024,1769088632000,19
A0024,1769673735000,6
A0024,1770310454000,14
A0024,1770925547000,5
A0024,1771504906000,3
A0024,1772112992000,21
A0024,1772752058000,20
A0024,1773310234000,12
A0024,1773969670000,21
A0024,1774556704000,22
A0025,1767306726000,23
A0025,1767865562000,17
A0025,1768550373000,25
A0025,1769088740000,38
A0025,1769719909000,27
A0025,1770316774000,10
A0025,1770899505000,2
A0025,1771532490000,2
A0025,1772104508000,39
A0025,1772772221000,17
A0025,1773325100000,13
A0025,1773988932000,37
A0025,1774576291000,33
A0026,1767336269000,1
A0026,1767881503000,26
A0026,1768485637000,32
A0026,1769106803000,21
A0026,1769763846000,26
A0026,1770365491000,26
A0026,1770932774000,3
A0026,1771542577000,26
A0026,1772141691000,13
A0026,1772725901000,4
A0026,1773363014000,23
