query_id,embedding
Q000,"[-1.909669, -0.378117, 4.070475, -0.183409, 3.60467, 0.613841, -2.403251, 0.518462, 5.315306, 1.071503, -4.665114, 0.777405, -5.959329, -0.360868, -4.767066, -0.552873]"
Q001,"[4.738259, 3.296931, -0.490408, 0.974242, 5.144867, 1.149871, -2.824625, -0.609683, 2.80878, 0.611936, -2.957155, 0.418237, 0.059831, 0.956247, -0.945778, 0.390326]"
Q002,"[-2.393196, 1.575591, 1.82182, 2.93832, -9.948829, 1.515897, -3.454483, -0.199274, -0.534509, -2.008262, -0.410825, 2.640824, -1.792806, 6.231898, 6.35646, 0.931155]"
Q003,"[4.711688, 2.635796, 0.345467, 2.219346, 5.18025, 2.266845, -1.332615, -0.008758, 2.067924, 0.93224, -3.330959, 0.641693, 1.040069, 0.825628, -0.620858, -0.705575]"
Q004,"[6.703231, -1.132665, -4.787334, -2.096507, -2.521643, 2.550794, -0.653612, 2.075838, -1.597785, 0.697076, -0.556993, 0.109623, -2.517153, -2.709527, 2.627192, -2.098249]"
Q005,"[-0.874418, -0.162068, 4.189147, -0.565604, 3.936097, -0.718307, -3.428138, 0.706862, 3.781437, 1.309752, -4.805571, 0.776249, -6.801817, -0.37813, -4.949776, 0.35152]"
Q006,"[-4.412072, -4.11176, 2.625647, -4.906474, -4.230958, -10.004527, 2.50124, 1.65096, -2.5163, 0.127863, -0.952555, -1.038433, 0.014566, 2.715745, 3.827586, -1.846418]"
Q007,"[7.070035, -2.606628, -3.235173, -1.727088, -3.056346, 1.988174, 0.290658, 2.29498, -1.845929, 1.02764, -0.086606, 0.723307, -2.675194, 0.605137, 3.755637, -2.741444]"
Q008,"[2.755197, -1.404828, -2.77881, 5.089488, 6.166531, -5.909381, -2.042606, -3.826033, -3.570345, 1.006045, -4.330252, 2.070831, 0.009162, -4.662492, 1.059655, 1.341366]"
Q009,"[5.101281, 1.021667, -0.953288, 1.049068, 4.252415, 2.590039, -2.29195, -0.842229, 2.775363, -0.114637, -3.345366, -0.456395, -0.009752, 0.785439, -0.799907, 0.325422]"
Q010,"[3.73723, -3.141371, -1.928441, 5.253135, 6.597244, -4.978299, -2.822068, -3.74474, -2.54507, 0.935286, -3.459572, 1.500659, -1.116714, -5.165725, 1.508423, 1.100892]"
Q011,"[-2.169954, 1.806173, -0.341915, 3.805645, -8.70681, 1.711573, -5.377135, -0.108305, -1.422883, -1.574147, -0.472312, 2.431287, -0.0831, 6.036216, 5.786457, -0.752179]"
Q012,"[4.332813, 3.14549, -1.50775, 0.199775, 6.110388, 2.102674, -1.66914, -1.001789, 3.058311, 0.971994, -3.168264, -1.015189, -0.395047, 0.290125, -2.110492, 1.024238]"
Q013,"[-2.069841, 0.664362, 1.628645, 1.138139, -8.658484, 2.189866, -3.37673, 0.049686, -0.035522, -1.932674, -0.083781, 1.831253, -1.336079, 6.359998, 5.65151, 0.450377]"
Q014,"[2.837263, -2.671196, -1.930615, 4.757325, 6.739721, -5.805523, -3.156323, -2.899307, -1.795381, 1.222378, -3.88676, 1.752767, -0.355066, -4.352748, 0.897635, 1.221748]"
Q015,"[3.041101, -2.486928, -2.39997, 4.738797, 7.075008, -6.476614, -2.368034, -4.067373, -1.849751, 0.509469, -4.655675, 2.255724, -0.733355, -4.292983, 1.438432, 2.767698]"
Q016,"[5.263304, 2.384458, -0.178674, 1.111196, 3.762917, 1.476876, -1.44492, -0.258593, 2.424036, 0.856321, -2.421004, -1.282948, 1.71142, 1.369952, -1.034063, 0.108247]"
Q017,"[7.67235, -1.929302, -4.176284, -1.91877, -2.725897, 1.690553, -0.075896, 2.245267, -1.602617, 2.141102, 0.739213, 0.502328, -3.225641, -1.391425, 3.106559, -2.479825]"
Q018,"[-2.932546, 0.796419, 1.527471, 3.374108, -8.315988, 2.695944, -4.939329, 0.659133, -0.872809, -1.10457, -0.675897, 2.55931, -0.538032, 5.947375, 6.022075, 0.247598]"
Q019,"[7.201044, -1.673056, -3.893247, -1.87575, -3.492616, 2.683567, 0.114529, 1.894544, -2.626889, 2.050091, 0.159903, 0.732394, -2.410848, -0.801954, 4.625682, -2.557502]"
Q020,"[-3.0149, 1.520594, 1.34169, 2.482899, -8.286274, 2.063582, -4.357084, -0.418447, -0.517693, -1.603492, -0.854806, 2.923791, -0.557349, 6.748692, 7.441807, 0.714594]"
Q021,"[-3.708884, -4.996019, 0.809507, -4.097717, -3.959281, -9.566169, 0.922623, 0.843365, -2.906668, -1.420051, 0.040429, 0.336927, -1.669186, 4.312611, 2.910543, -2.784443]"
Q022,"[-3.200017, -4.510557, 1.001208, -3.866889, -4.187413, -9.578889, 2.655295, 0.481212, -3.541078, -0.371045, -0.036058, -0.809841, -1.553335, 2.724287, 3.111954, -3.116591]"
Q023,"[4.56579, 2.566941, -0.038571, 1.883972, 4.64767, 1.381232, -0.30058, -0.643773, 2.072852, 0.21163, -2.495265, 0.049859, 0.155555, 1.235862, -1.728821, 0.895492]"
Q024,"[-3.873775, -4.345046, 0.608271, -3.866145, -3.899064, -9.272723, 2.365024, 0.828428, -2.992364, -1.689298, -0.173059, 0.382234, -1.622013, 2.714753, 3.456669, -2.479656]"
