row_id,account_id,event_time,amount,category
R00585,A0088,1772277420000,14.17,other
R00394,A0069,1770657720000,32.9,salary
R00517,A0013,1771740480000,11.07,rent
R00575,A0076,1772165340000,13.22,grocery
R00398,A0047,1770707040000,18.29,salary
R00421,A0091,1770921240000,103.45,rent
R00510,A0028,1771674180000,12.09,rent
R00484,A0091,1771449000000,16.59,travel
R00439,A0061,1771107360000,9.68,rent
R00378,A0004,1770530700000,43.19,salary
R00373,A0089,1770483360000,14.67,salary
R00535,A0031,1771872660000,6.97,grocery
R00512,A0028,1771684560000,41.51,rent
R00523,A0084,1771781460000,167.82,rent
R00591,A0101,1772324220000,32.72,travel
R00423,A0118,1770935520000,20.92,travel
R00477,A0080,1771406700000,42.43,salary
R00411,A0097,1770816540000,56.8,grocery
R00433,A0066,1771058580000,23.25,grocery
R00551,A0023,1772016660000,12.26,grocery
R00391,A0027,1770638040000,48.55,rent
R00587,A0119,1772298480000,17.17,salary
R00515,A0057,1771730040000,2.45,salary
R00461,A0113,1771316700000,2.89,travel
R00379,A0067,1770536880000,124.35,travel
R00438,A0017,1771107300000,30.82,other
R00462,A0106,1771318320000,11.16,grocery
R00480,A0069,1771434960000,74.56,salary
R00548,A0030,1771985820000,41.77,travel
R00539,A0027,1771917960000,46.08,rent
R00468,A0063,1771333440000,101.65,other
R00393,A0021,1770646800000,38.78,rent
R00408,A0058,1770809220000,15.69,travel
R00377,A0092,1770505260000,102.46,grocery
R00582,A0033,1772217240000,25.73,rent
R00430,A0020,1771009980000,4.46,other
R00485,A0025,1771450440000,69.83,salary
R00557,A0047,1772050080000,5.48,rent
R00380,A0066,1770542940000,103.9,rent
R00493,A0065,1771483380000,110.08,other
R00576,A0017,1772170860000,10.48,grocery
R00592,A0045,1772329320000,71.17,travel
R00498,A0098,1771547220000,101.52,salary
R00383,A0079,1770585000000,21.12,rent
R00456,A0048,1771284060000,18.8,travel
R00561,A0118,1772093280000,18.01,salary
R00528,A0062,1771808040000,7.68,grocery
R00546,A0089,1771967400000,22.68,other
R00525,A0104,1771790400000,86.05,travel
R00505,A0071,1771632900000,8.28,salary
R00418,A0095,1770859860000,19.75,grocery
R00483,A0107,1771445460000,9.78,salary
R00594,A0112,1772360340000,4.45,travel
R00558,A0010,1772067660000,16.94,rent
R00464,A0085,1771323660000,8.74,rent
R00499,A0075,1771563300000,15.41,salary
R00486,A0085,1771455000000,74.96,rent
R00472,A0009,1771353120000,4.38,other
R00407,A0043,1770795600000,2.07,rent
R00465,A0078,1771326480000,7.84,grocery
