account_id,event_time,health_score
A0000,1767290532000,53.14
A0000,1774079332000,6.82
A0001,1767240639000,49.35
A0001,1772695481000,88.29
A0002,1767231846000,49.91
A0002,1774328242000,9.06
A0003,1767300030000,57.58
A0003,1773730214000,10.79
A0004,1767384972000,44.7
A0004,1773132111000,89.68
A0005,1767299930000,48.21
A0005,1774490941000,10.14
A0006,1767392370000,49.88
A0006,1773521945000,12.26
A0007,1767322274000,43.26
A0007,1774251691000,13.75
A0008,1767316266000,54.7
A0008,1773622857000,94.69
A0009,1767398379000,52.01
A0009,1773628443000,10.86
A0010,1767335728000,44.03
A0010,1773443038000,92.15
A0011,1767314309000,48.04
A0011,1773422060000,89.19
A0012,1767370865000,48.87
A0012,1773956364000,94.88
A0013,1767290233000,46.03
A0013,1772704548000,93.28
A0014,1767300411000,54.75
A0014,1773475986000,5.46
A0015,1767347934000,57.15
A0015,1774006780000,9.17
A0016,1767366831000,46.68
A0016,1773366175000,5.38
A0017,1767342554000,50.75
A0017,1772937230000,8.37
A0018,1767370434000,53.08
A0018,1772601961000,91.14
A0019,1767369752000,54.95
A0019,1774307285000,8.08
A0020,1767270418000,48.78
A0020,1773046867000,86.24
A0021,1767335180000,47.67
A0021,1773357592000,86.25
A0022,1767378795000,52.61
A0022,1772872602000,94.13
A0023,1767241076000,52.9
A0023,1773361891000,91.92
A0024,1767388191000,52.49
A0024,1773070520000,9.37
A0025,1767254496000,47.08
A0025,1773009881000,90.66
A0026,1767364030000,49.08
A0026,1773090973000,90.85
A0027,1767319553000,50.09
A0027,1773699485000,10.44
A0028,1767249945000,44.74
A0028,1773318123000,85.26
A0029,1767289722000,50.67
A0029,1774108749000,88.49
A0030,1767270952000,53.2
A0030,1773353755000,90.57
A0031,1767397021000,54.36
A0031,1773166136000,86.32
A0032,1767335924000,50.67
A0032,1773700985000,11.56
A0033,1767362611000,45.11
A0033,1773422713000,6.37
A0034,1767249316000,51.74
A0034,1773877700000,88.71
A0035,1767298067000,49.39
A0035,1774030192000,9.32
A0036,1767288987000,55.1
A0036,1772840312000,88.99
A0037,1767363728000,47.85
A0037,1774439016000,93.29
A0038,1767345695000,53.57
A0038,1774510979000,90.03
A0039,1767392813000,54.03
A0039,1773110296000,85.35
A0040,1767325566000,55.5
A0040,1773347182000,90.11
A0041,1767364927000,53.27
A0041,1772975409000,91.53
A0042,1767262171000,44.59
A0042,1774342579000,92.11
A0043,1767287169000,52.04
A0043,1772913084000,89.82
A0044,1767264689000,54.55
A0044,1774323689000,86.1
A0045,1767363030000,46.88
A0045,1773328291000,89.48
A0046,1767395921000,54.09
A0046,1774350683000,10.32
A0047,1767327738000,43.78
A0047,1772888928000,6.76
A0048,1767363330000,50.2
A0048,1773093262000,14.24
A0049,1767323712000,49.17
A0049,1772408273000,14.95
A0050,1767325438000,62.72
A0050,1774076236000,88.61
A0051,1767350953000,51.14
A0051,1772616780000,93.81
A0052,1767367580000,45.54
A0052,1772646390000,93.14
A0053,1767251499000,53.44
A0053,1773185289000,10.47
A0054,1767247269000,49.88
A0054,1773978333000,87.16
A0055,1767296849000,44.87
A0055,1773611788000,89.91
A0056,1767276869000,45.92
A0056,1772976748000,11.72
A0057,1767284812000,60.45
A0057,1774101185000,11.5
A0058,1767361639000,47.37
A0058,1773322165000,87.07
A0059,1767368591000,47.38
A0059,1774407293000,88.25
A0060,1767240299000,51.25
A0060,1774451848000,9.36
A0061,1767393288000,53.85
A0061,1774036537000,6.71
A0062,1767367880000,58.34
A0062,1772703854000,90.49
A0063,1767327981000,44.26
A0063,1772784533000,94.07
A0064,1767273452000,50.83
A0064,1773678308000,10.44
A0065,1767366434000,52.76
A0065,1773188176000,87.59
A0066,1767384122000,50.37
A0066,1773438603000,6.96
A0067,1767389296000,50.21
A0067,1772645523000,92.0
A0068,1767352087000,51.21
A0068,1773876429000,85.59
A0069,1767377809000,47.0
A0069,1774026616000,14.35
A0070,1767239721000,54.55
A0070,1773267288000,85.84
A0071,1767387522000,62.54
A0071,1773357152000,13.54
A0072,1767290576000,52.95
A0072,1772411621000,7.85
A0073,1767243079000,49.42
A0073,1773048504000,14.86
A0074,1767234282000,43.42
A0074,1773808292000,12.86
A0075,1767266725000,46.08
A0075,1772493584000,10.72
A0076,1767365525000,46.58
A0076,1773256065000,89.16
A0077,1767356749000,44.95
A0077,1773631022000,12.4
A0078,1767278235000,58.33
A0078,1774020180000,7.26
A0079,1767335221000,57.31
A0079,1773899985000,9.98
A0080,1767337301000,52.58
A0080,1772727244000,90.79
A0081,1767338251000,58.7
A0081,1773628746000,8.17
A0082,1767296073000,53.46
A0082,1773270620000,10.37
A0083,1767258944000,52.52
A0083,1773932434000,13.78
A0084,1767241252000,54.57
A0084,1774081467000,6.57
A0085,1767360310000,51.45
