account_id,f1,f2,f3
A0003,0.2667,-2.7137,0.2213
A0004,-2.9615,-0.0325,1.422
A0012,2.8927,0.6532,-2.1268
A0040,-3.9567,0.6619,-2.6832
A0057,2.8457,6.3287,-0.1903
A0068,2.2492,-2.3265,-0.3642
A0009,-1.4273,1.4915,-1.3617
A0010,0.5479,1.2261,2.8219
A0018,-0.1103,-2.1107,3.8755
A0022,0.6973,1.1125,0.454
A0041,0.0163,2.4209,1.8378
A0062,2.9006,-1.1791,1.8349
A0016,0.9879,3.3385,0.0502
A0030,1.6833,0.939,1.7411
A0042,3.9875,0.7747,0.0006
A0043,0.1899,-1.3318,-0.9631
A0044,3.2178,0.3371,4.7661
A0054,-0.5464,0.3407,-4.8511
A0056,-0.2782,4.7306,-1.19
A0007,0.9693,-2.4826,1.0739
A0019,5.2175,-1.1256,-0.4904
A0024,-1.3103,2.3643,0.9047
A0033,0.6897,1.482,-3.8736
A0051,1.6388,0.9315,1.6666
A0001,0.0656,-3.6971,-1.9584
A0039,2.4559,2.5754,-0.4652
A0049,-0.5158,1.8933,0.8069
A0000,2.8775,-1.752,-0.194
A0006,-3.4361,-0.0332,2.8616
A0015,0.1899,-1.0855,-0.9359
A0021,-0.6096,0.5269,-0.5275
A0037,1.2013,-0.6538,1.9811
A0050,1.0724,-1.8203,1.566
A0064,-2.2399,-0.3406,2.1421
A0069,-0.9985,-2.3935,1.1185
A0014,-0.3888,-0.4802,1.7543
A0020,-0.196,0.8765,1.348
A0052,2.7649,-2.0584,0.1141
A0059,-0.1879,1.9314,-1.9607
A0065,0.301,1.2624,-0.8451
A0077,0.1306,-2.4714,3.7301
A0027,0.0887,-0.4265,2.6482
A0038,0.0145,-3.9099,-0.4942
A0060,0.0329,0.1395,1.5206
A0066,1.6979,-1.0173,1.251
A0071,1.2978,-1.3484,-0.9889
A0075,1.7899,-1.6602,-2.2404
A0079,1.8101,4.1163,2.522
A0002,-1.2277,-3.2567,1.2501
A0078,-1.3501,3.2625,0.9415
A0008,3.0043,-2.3314,0.0343
A0029,2.5464,2.6605,-0.8869
A0072,-2.0122,-0.727,0.7431
A0005,1.0185,1.7207,-0.9713
A0025,1.1903,-2.4354,-0.2053
A0035,-0.2023,-4.6952,-1.0144
A0045,-0.0118,0.6597,-0.4997
A0046,0.1045,0.0121,5.6737
A0017,-0.8255,0.4775,-2.1405
A0026,-0.5508,-0.0873,-1.228
A0031,0.6439,0.2696,-0.9805
A0034,-0.77,-3.514,0.1508
A0047,-0.4829,-3.5896,-0.2019
A0053,-1.0709,0.5555,1.5706
A0067,1.6271,-2.261,-0.5986
A0013,-0.5638,-0.9624,0.636
A0036,0.5927,3.2315,-2.0761
A0063,0.5075,0.255,-1.0993
A0070,-0.1122,-1.3634,-1.6136
A0073,-0.5425,-0.8358,2.2891
A0074,-2.9053,0.1559,-5.0206
A0032,1.0344,1.3983,3.0579
A0048,0.0006,0.4583,-0.8926
A0076,0.9519,0.2138,3.0009
A0023,2.0846,0.1425,0.6163
A0028,4.0243,-1.6678,-3.7224
A0058,2.2398,0.0108,2.6196
A0011,-1.7386,-1.4982,2.7224
A0055,-1.0382,-2.4938,1.0835
A0061,-2.5725,2.797,1.5929
