row_id,f1,f2,f3,f4,f5,f6
R00000,-0.613379,2.463538,-1.766642,-0.493969,0.719783,1.296801
R00008,-1.59303,2.315914,0.444542,-0.048929,1.126264,-1.142794
R00022,-0.315144,2.664921,-0.363089,1.142536,0.129044,-0.134421
R00034,0.89031,0.031185,0.491801,1.789897,0.141106,-0.258592
R00035,-0.651522,0.064055,0.295393,0.756364,1.305193,1.714348
R00041,-0.210647,-0.011262,-0.549558,0.694342,0.724663,-0.762975
R00050,-1.347398,0.052835,0.300748,-1.07668,0.7755,0.593073
R00083,-0.246369,-0.001128,-0.812279,-0.163564,1.256649,0.526251
R00088,1.073897,0.145916,0.117444,-0.354055,0.169992,0.176508
R00099,0.128614,-0.085853,-0.070137,0.656379,-1.499094,1.606867
R00122,-0.704434,0.104127,-2.061363,-1.804023,2.319973,-0.585952
R00124,0.813271,3.002373,-0.22733,-0.121211,-0.299744,-0.639541
R00128,-0.822241,0.142781,-0.23222,1.517128,0.917739,1.896042
R00131,0.85513,-0.321582,0.820461,-0.913045,-1.052114,0.783278
R00134,-0.280905,0.070508,1.275243,0.770342,-0.752811,-0.476244
R00151,0.173099,2.557408,0.728691,0.757577,0.973711,-1.793693
R00173,-1.024045,2.31646,0.39845,0.957668,-0.282677,-0.207808
R00179,1.099918,-0.092559,-0.615725,0.940818,1.301913,-0.626008
R00181,1.668236,2.945235,-0.62445,-0.740012,-0.678081,1.893959
R00184,1.140658,0.205306,-0.023397,1.450966,-0.376673,-1.29001
R00192,-0.718607,-0.087079,1.237303,-0.882414,1.916544,0.449013
R00208,1.344344,-0.117805,0.545381,0.217247,-2.258313,-1.294789
R00224,-0.052884,0.34761,1.29734,-1.524889,0.71249,-0.514858
R00231,-1.543181,2.21806,2.351295,3.120689,0.505886,0.285117
R00238,1.712637,-0.084907,0.703314,1.128684,-0.889193,-0.008632
R00249,1.162957,-0.048556,0.300624,1.157066,0.199673,-0.707076
R00263,0.789303,0.145398,0.922977,1.127176,-0.165858,0.134759
R00271,-0.364832,0.127987,1.151611,-0.355011,1.240747,-1.18812
R00278,-0.322817,0.151521,-0.55959,-1.139872,-0.980704,-0.493995
R00282,-1.281811,-0.238643,-0.684191,0.640022,-0.47112,-2.024535
R00285,-2.26764,-0.153528,1.825148,0.218234,0.139785,-1.38338
R00286,1.815806,-0.15086,0.435264,0.643689,0.328119,-1.519031
R00289,-1.250266,-0.24492,1.011912,-0.531813,1.69805,0.739234
R00290,-0.22975,-0.061083,-0.694614,0.807996,-0.091986,1.308118
R00300,0.210939,-0.170936,-0.618659,-1.301358,1.064926,-3.282298
R00309,0.180797,-0.095738,-1.557809,-2.022948,0.96613,0.53128
R00320,-0.651318,2.46679,-0.759646,-0.30044,-0.127055,0.266447
R00322,0.072712,2.486919,-1.250893,0.321382,-0.195066,0.501176
R00331,0.3099,0.032984,0.715914,0.596808,0.114726,-1.012978
R00337,-0.373652,-0.088092,0.205537,0.932066,-1.211374,-0.459243
R00359,-0.049652,-0.090183,-0.567674,-0.26854,2.8055,1.561345
R00368,-0.401008,2.223372,1.201107,0.222111,0.247284,0.901296
R00374,0.805478,2.465305,0.388459,0.853169,-2.191571,1.739525
R00377,1.380347,-0.200716,-0.523573,-0.106031,1.5343,0.178385
R00381,-0.180788,2.353463,1.135859,-0.179925,0.423944,-0.328254
R00387,-0.431726,2.55517,-1.299452,0.280995,1.138074,1.302697
R00390,-1.243791,2.483208,0.42184,0.312473,2.092216,-0.629028
R00398,-1.093993,0.11396,-0.336611,-0.988445,0.816437,-0.58167
R00411,-0.793055,0.324048,-0.45432,0.662964,-1.891177,0.880496
R00412,0.35211,2.433725,0.730951,-0.782945,-1.336843,-0.927356
R00413,-1.448792,0.315843,0.641933,0.653928,0.224166,-0.749047
R00434,-1.220007,2.520516,-0.509542,0.410103,-0.993165,-0.396614
R00468,-0.535228,-0.141639,0.704343,0.046625,-0.936519,0.588494
R00521,-0.7169,2.714202,-0.655113,-0.17746,2.236039,0.659062
R00533,0.496142,2.631958,-0.022799,1.649099,-0.529225,-0.638228
R00550,-0.044813,0.193966,-0.738497,0.276275,-0.698557,-0.371304
R00555,-0.646094,2.295702,1.224929,1.06467,-0.455528,-0.220226
R00567,-1.826933,-0.213521,0.469184,0.09725,0.236607,0.774897
R00582,-0.401201,2.391046,0.776227,1.55845,-0.703078,-0.611206
