row_id,split,f1,f2,f3,f4
R00000,train,0.822111,-4.229047,-5.020792,4.193436
R00001,train,2.330219,-3.087908,-2.42317,0.659007
R00002,train,1.720811,-5.369116,-4.231581,3.172143
R00003,train,1.587875,-4.675046,-0.774854,4.04371
R00004,train,1.555194,-4.379219,-1.84297,3.181491
R00005,train,1.280273,-3.77889,-4.638271,1.914489
R00006,train,1.228208,-3.339467,-3.118378,1.901761
R00007,train,3.703534,-3.793793,-2.681305,0.770619
R00008,train,1.865172,-3.91167,-3.41262,3.656424
R00009,train,0.784968,-3.594026,-2.849035,-0.468586
R00010,train,1.134943,-3.344302,-5.30304,1.211256
R00011,train,2.800997,-3.954644,-3.089619,0.715257
R00012,train,2.430929,-2.974064,1.846852,2.368566
R00013,train,2.271031,-3.776311,-4.465381,2.904033
R00014,train,0.284354,-2.491599,-4.994098,3.957785
R00015,train,2.830143,-3.515297,-5.872567,4.432018
R00016,train,0.711931,-3.067267,-4.57786,2.104058
R00017,train,2.199906,-4.341981,-2.172619,1.275564
R00018,train,0.424952,-4.378894,-3.598461,4.809586
R00019,train,1.675297,-3.085672,-6.459887,5.582017
R00020,train,3.089877,-2.593561,-4.732352,0.112264
R00021,train,2.864403,-4.921587,-3.701369,3.898184
R00022,train,2.037303,-4.163028,-2.127432,3.064064
R00023,train,2.327904,-4.330549,-4.478016,3.287176
R00024,train,3.12592,-3.79072,-1.93257,1.464592
R00025,train,0.96513,-4.223471,-0.837665,1.712623
R00026,train,3.380665,-4.460745,-4.806752,3.850967
R00027,train,1.265147,-3.016449,-5.84484,2.003063
R00028,train,4.395637,-3.862523,-3.410501,2.194157
R00029,train,2.083544,-4.849226,-7.605107,0.562899
R00030,train,3.28376,-3.972745,-2.593068,4.60766
R00031,train,1.752456,-4.006806,-2.8465,4.357185
R00032,train,3.001355,-3.615263,-7.310069,3.030146
R00033,train,3.003232,-4.244993,-0.010695,2.412763
R00034,train,1.099851,-3.405853,-3.288829,4.491308
R00035,train,-1.106049,-4.483906,-3.722672,1.029715
R00036,train,2.449536,-4.725675,-4.216586,3.382309
R00037,train,2.616014,-3.482963,-4.698677,1.225683
R00038,train,0.898797,-3.009663,-2.696594,3.011322
R00039,train,1.173679,-5.216024,-1.036179,4.090415
R00040,train,0.006204,-2.591635,-3.027342,1.942378
R00041,train,2.750156,-3.89173,-4.10168,-0.714693
R00042,train,0.854191,-4.562563,0.422516,1.874162
R00043,train,3.94549,-4.901175,-3.764255,3.197416
R00044,train,1.339304,-4.479438,-5.196832,4.304103
R00045,train,3.421028,-3.744317,1.077414,3.463952
R00046,train,2.710221,-3.823973,-2.769332,3.454893
R00047,train,3.027798,-3.7507,0.98657,3.475304
R00048,train,1.264018,-3.659585,-0.815877,3.443396
R00049,train,3.441199,-3.71166,-2.386771,0.796805
R00050,train,3.222668,-3.795351,-2.31328,6.952818
R00051,train,3.248736,-3.608201,-2.514898,1.122037
R00052,train,0.542085,-4.738988,1.344647,2.761437
R00053,train,3.741343,-3.92462,-2.626883,3.235972
R00054,train,2.980839,-3.5319,0.036782,0.468461
R00055,train,3.227351,-3.732488,-2.138591,5.650007
R00056,train,0.06976,-4.009627,-5.138103,1.486103
R00057,train,0.471282,-3.881381,-7.31183,2.6931
R00058,train,5.397137,-3.801704,-7.713927,-1.773329
R00059,train,3.571119,-4.736069,-3.676577,4.441179
R00060,train,1.176805,-4.11509,-3.342411,3.319416
R00061,train,2.243457,-3.039851,-10.629194,1.358274
R00062,train,2.182304,-3.257162,-1.992046,0.496772
R00063,train,1.397228,-4.542912,-7.294354,1.331104
R00064,train,4.687817,-4.142954,-5.994711,2.883175
R00065,train,3.413991,-4.456008,2.433022,2.21003
R00066,train,0.806202,-4.282638,-5.396758,1.452246
R00067,train,2.12111,-4.163576,-2.349373,1.262492
R00068,train,1.599888,-1.094226,-2.633352,1.285002
R00069,train,2.582752,-3.22027,1.784292,4.743054
R00070,train,4.983015,-3.635122,-3.186033,5.14252
R00071,train,0.625045,-3.789765,-2.615637,1.345075
R00072,train,3.36586,-4.096245,-2.543569,3.053465
R00073,train,3.313238,-4.145876,-2.115024,3.979373
R00074,train,1.702523,-3.098626,-1.670713,-1.695759
R00075,train,3.234806,-3.506139,-4.058285,3.006968
R00076,train,1.916401,-3.02231,-3.812548,3.399613
R00077,train,1.833966,-3.687362,-5.947205,1.384501
R00078,train,1.716611,-3.62848,-9.091639,4.162479
R00079,train,2.975215,-3.650151,-3.507154,2.094709
R00080,train,2.281002,-3.767398,-1.277435,4.063873
R00081,train,-0.886338,-4.226309,-3.981101,1.085482
R00082,train,3.009815,-3.413504,-2.200875,2.529053
R00083,train,2.254112,-4.231704,-4.114135,0.894164
R00084,train,2.164264,-3.683599,-0.653717,-0.110623
R00085,train,3.110022,-3.22699,-1.797446,0.217296
R00086,train,2.051754,-4.431283,-0.69871,1.003596
R00087,train,0.678129,-3.973711,1.186655,1.27293
R00088,train,2.278221,-4.187818,3.064223,3.198547
R00089,train,3.18947,-3.797501,-5.69964,5.046219
R00090,train,2.926336,-3.355561,-4.393557,2.006356
R00091,train,1.24273,-3.84763,-3.936518,4.137216
