account_id,event_time,health_score
A0000,1767309269000,58.61
A0000,1773371894000,88.86
A0001,1767248646000,56.4
A0001,1772803900000,93.99
A0002,1767235374000,47.72
A0002,1774578792000,13.43
A0003,1767265143000,47.65
A0003,1772984412000,8.12
A0004,1767356669000,50.9
A0004,1773656911000,13.11
A0005,1767352090000,48.05
A0005,1774194409000,88.39
A0006,1767354066000,49.73
A0006,1773218685000,5.8
A0007,1767232156000,49.96
A0007,1774247413000,90.18
A0008,1767347723000,50.41
A0008,1773800720000,90.83
A0009,1767370616000,60.13
A0009,1772289705000,10.54
A0010,1767391383000,48.15
A0010,1774212273000,89.6
A0011,1767337229000,46.31
A0011,1774520529000,85.62
A0012,1767233501000,48.77
A0012,1773013500000,89.74
A0013,1767317867000,47.63
A0013,1773086147000,11.29
A0014,1767298035000,45.6
A0014,1772467434000,88.62
A0015,1767341533000,48.34
A0015,1772788942000,86.37
A0016,1767342512000,48.53
A0016,1773099387000,93.44
A0017,1767261898000,52.03
A0017,1772665366000,8.28
A0018,1767395481000,54.06
A0018,1773120502000,11.12
A0019,1767309625000,47.32
A0019,1773462593000,88.44
A0020,1767320550000,41.31
A0020,1774200585000,11.11
A0021,1767253720000,45.33
A0021,1773241423000,94.51
A0022,1767335013000,58.02
A0022,1772883741000,9.04
A0023,1767259851000,57.82
A0023,1773640310000,9.16
A0024,1767342537000,52.14
A0024,1773950442000,8.91
A0025,1767326696000,48.12
A0025,1772913120000,89.56
A0026,1767368415000,48.51
A0026,1773691374000,11.13
A0027,1767279741000,53.1
A0027,1773547695000,87.41
A0028,1767387141000,52.65
A0028,1774024948000,10.11
A0029,1767357441000,47.68
A0029,1774100522000,92.27
A0030,1767323888000,47.76
A0030,1773727299000,5.28
A0031,1767372251000,46.31
A0031,1773475926000,13.56
A0032,1767377493000,51.87
A0032,1774451091000,93.96
A0033,1767348820000,55.07
A0033,1773282469000,7.69
A0034,1767334223000,55.87
A0034,1773354482000,90.7
A0035,1767396616000,46.41
A0035,1773960990000,10.59
A0036,1767382647000,47.44
A0036,1773058149000,6.12
A0037,1767255961000,55.51
A0037,1773842814000,10.19
A0038,1767314598000,50.28
A0038,1773545432000,89.98
A0039,1767347328000,45.9
A0039,1773760609000,6.73
A0040,1767330347000,49.06
A0040,1772942561000,87.5
A0041,1767283063000,44.49
A0041,1772938947000,89.1
A0042,1767388216000,48.3
A0042,1773107800000,93.8
A0043,1767243629000,39.23
A0043,1773741574000,92.96
A0044,1767311262000,54.15
A0044,1773321405000,85.59
A0045,1767242998000,47.61
A0045,1773972946000,8.49
A0046,1767227411000,48.42
A0046,1772695633000,13.7
A0047,1767240783000,52.11
A0047,1773987249000,7.04
A0048,1767359800000,59.41
A0048,1773151716000,90.27
A0049,1767297133000,56.37
A0049,1772575122000,5.05
A0050,1767320131000,43.6
A0050,1772719598000,90.1
A0051,1767377321000,49.6
A0051,1773509165000,89.03
A0052,1767309854000,61.16
A0052,1773155035000,11.41
A0053,1767324642000,44.18
A0053,1773816144000,91.4
A0054,1767232599000,48.18
A0054,1773408332000,13.22
A0055,1767372613000,48.81
A0055,1774202512000,11.12
A0056,1767315659000,45.41
A0056,1773905347000,88.27
A0057,1767359223000,47.58
A0057,1774139781000,13.32
A0058,1767257193000,49.65
A0058,1773488017000,8.91
A0059,1767291763000,48.51
A0059,1773524874000,12.56
A0060,1767344215000,39.76
A0060,1773888660000,88.89
A0061,1767365536000,49.02
A0061,1773157250000,92.96
A0062,1767342632000,58.06
A0062,1774104109000,87.29
A0063,1767371594000,51.59
A0063,1774636925000,9.36
A0064,1767298828000,45.17
A0064,1773578811000,7.62
A0065,1767234790000,42.23
A0065,1773318354000,9.81
A0066,1767238023000,48.09
A0066,1773206676000,91.65
A0067,1767390044000,53.49
A0067,1773522174000,87.65
