row_id,split,f1,f2,f3,f4
R00000,train,1.434494,1.260053,0.585843,0.085503
R00001,train,-0.588921,-0.960131,-1.007663,0.217334
R00002,train,0.905512,-1.322456,0.26414,-1.298842
R00003,train,0.994359,0.364901,1.086388,-0.746787
R00004,train,-0.733812,-0.78358,0.745685,1.041159
R00005,train,-0.183566,-0.053005,1.732601,-0.932883
R00006,train,1.378602,-0.90894,1.143493,-0.15509
R00007,train,0.536485,-0.886224,0.724843,-0.325424
R00008,train,-1.152551,1.301687,-0.106392,1.677163
R00009,train,-0.874128,-0.422251,1.674996,0.42505
R00010,train,1.874049,-0.157185,-0.935958,-0.792995
R00011,train,-0.09555,-0.161754,0.818728,1.374531
R00012,train,-0.264503,0.379173,0.635915,0.362808
R00013,train,-1.309867,0.204943,-0.520335,-0.790509
R00014,train,-0.157369,2.005365,-0.561544,0.183287
R00015,train,-0.290151,2.724099,-0.499979,-0.299552
R00016,train,0.568982,0.698206,-0.763735,-0.260151
R00017,train,-0.393075,2.993159,1.849003,-0.987007
R00018,train,0.290638,1.524016,0.237946,-0.869382
R00019,train,-0.925673,-1.809981,-1.149252,0.238371
R00020,train,-1.674166,0.771549,-0.751564,0.972448
R00021,train,-0.089899,1.497735,0.113353,0.45418
R00022,train,-0.369658,-1.048059,0.29651,-1.295166
R00023,train,1.397943,1.285765,2.018495,-0.661213
R00024,train,0.175554,-1.045884,-0.975022,2.021083
R00025,train,0.95114,0.056198,0.25675,-0.292856
R00026,train,0.504499,0.73511,-2.401417,2.110503
R00027,train,0.889431,0.775678,0.15268,1.139619
R00028,train,1.822999,-0.857902,0.811965,-0.395746
R00029,train,1.202386,0.6424,-0.694474,-0.428642
R00030,train,0.498599,0.338141,-0.023984,0.024922
R00031,train,1.923306,0.314548,0.453813,-1.555531
R00032,train,-1.299464,-1.194769,1.34746,-1.979774
R00033,train,-1.792006,-0.356336,1.201764,1.55087
R00034,train,-0.307817,0.067622,0.840306,0.072786
R00035,train,-0.352508,0.223926,0.417817,-0.054931
R00036,train,1.897544,-0.978977,-0.051103,0.828184
R00037,train,-0.363694,0.042456,1.44568,0.466401
R00038,train,0.162795,0.886584,0.485766,-0.181683
R00039,train,-0.938927,-0.730929,-0.775501,-1.271608
R00040,train,-0.748269,0.718807,-0.655179,-0.642956
R00041,train,0.298407,-1.861809,-1.891081,-0.257674
R00042,train,-0.565458,-0.916627,-0.365536,-0.75376
R00043,train,-1.358136,0.333515,1.247217,0.927651
R00044,train,-1.529603,0.855028,-0.154689,0.59914
R00045,train,-0.587636,-0.399171,-1.073435,-0.918704
R00046,train,-0.282961,-1.686018,-0.547991,0.840256
R00047,train,-1.518267,0.695762,0.038342,-0.665999
R00048,train,-1.310898,1.005051,0.461271,1.286633
R00049,train,0.643726,-0.95275,0.075909,0.155511
R00050,train,-1.099004,-1.248726,0.348993,-0.359217
R00051,train,-0.339634,0.29129,-1.593045,-1.205698
R00052,train,-1.489407,-0.540138,0.137389,0.682942
R00053,train,0.391802,0.934369,-0.774609,-0.117232
R00054,train,0.741242,-1.137649,-1.631691,0.290913
R00055,train,0.069582,-0.780473,0.358245,0.536189
R00056,train,-0.851509,-2.035201,1.767886,-1.774891
R00057,train,0.973019,1.109453,-1.31877,-0.545006
R00058,train,-2.175394,0.093003,0.224522,0.511898
R00059,train,-0.326762,-1.702876,-0.580206,-0.950246
R00060,train,-0.257935,-0.63792,0.165923,-0.201142
R00061,train,-0.623915,1.291762,-1.284082,1.235099
R00062,train,-0.3583,-0.468279,-2.394815,1.305118
R00063,train,-1.014265,1.04862,1.242676,-1.877663
R00064,train,0.032176,0.322368,-0.845711,0.559766
R00065,train,-0.034094,-0.476254,-1.796414,0.210868
R00066,train,-0.901709,-0.230751,-0.368217,-2.076205
R00067,train,0.175608,-0.166267,-1.16907,-1.063233
R00068,train,0.743575,1.801849,-0.761806,0.722396
R00069,train,-0.393411,0.20151,-0.40189,1.032458
R00070,train,-0.811224,-0.279983,0.107032,-0.151187
R00071,train,0.83681,0.681162,-0.989591,-0.252628
R00072,train,-1.671359,0.579815,-0.5085,1.223327
R00073,train,-0.864246,0.177443,1.943204,-1.011465
R00074,train,-1.685859,1.016882,1.361433,-0.82561
R00075,train,0.242705,0.512959,-0.027162,-0.850642
R00076,train,-0.763995,0.412582,-0.52411,2.010289
R00077,train,-1.164957,-1.274635,1.247594,-0.456176
R00078,train,1.201338,-0.358308,0.274943,-0.794396
R00079,train,-0.541267,0.270924,-0.272507,0.047275
R00080,train,0.007638,2.245815,0.647689,-0.326622
R00081,train,0.318504,0.53171,0.439501,0.377625
R00082,train,1.088444,1.416018,0.199317,0.156836
R00083,train,-1.208498,-0.991442,-0.24848,-0.787117
R00084,train,0.214481,0.785634,2.000361,-1.554896
R00085,train,0.68908,-1.067701,-2.983616,-1.723056
R00086,train,0.703583,-0.532305,0.427881,0.220649
R00087,train,-1.054065,0.379502,0.46479,-0.613943
R00088,train,-0.78379,0.352435,-1.070386,0.123058
R00089,train,1.345054,0.15418,0.532111,-0.815936
R00090,train,0.519511,0.402431,-0.909416,0.574613
R00091,train,-0.191102,0.234592,0.332866,0.85376
R00092,train,1.153955,0.409997,0.009352,0.163062
R00093,train,-0.876541,-0.425153,-2.455086,0.893861
R00094,train,0.088714,0.481446,-0.03434,1.70335
R00095,train,0.210024,-0.671659,-0.656489,0.674036
R00096,train,0.849882,-0.995199,-0.558132,0.923832
R00097,train,-0.620522,-0.549816,0.248366,0.004391
R00098,train,0.554157,0.290068,-0.110797,0.713166
R00099,train,0.661899,-1.792921,-0.23227,-0.835864
R00100,train,-1.146697,-1.066384,-1.455492,-2.370516
R00101,train,1.067979,0.103833,-0.196527,-0.516631
R00102,train,-0.051278,0.196616,-1.521075,0.4064
R00103,train,-0.758448,-0.800483,-0.184962,-2.383134
R00104,train,-0.193827,0.438192,-0.845039,1.16735
R00105,train,1.08677,0.478696,1.280212,-0.31076
R00106,train,-1.349007,-0.347575,0.001059,-1.38086
R00107,train,1.031879,0.473466,0.069289,-0.45854
R00108,train,0.003104,-0.025434,-0.553979,-0.154124
R00109,train,0.624489,-0.288402,-0.58542,-0.803626
R00110,train,-1.041197,-0.088913,0.704253,-2.73931
R00111,train,0.613721,-0.340662,-0.123894,-1.175532
R00112,train,-0.067717,0.489474,-1.147279,0.393908
R00113,train,0.089711,0.138133,-0.112395,-0.016428
R00114,train,0.418162,1.704266,1.66087,-0.861369
R00115,train,-1.122376,-0.341511,-1.157068,-1.243796
R00116,train,1.327337,-0.757099,0.739204,-0.743304
R00117,train,-0.498062,-2.349098,1.412434,-1.780206
R00118,train,0.683292,-1.010647,-0.594078,-0.448231
R00119,train,-0.464072,0.456354,-0.216686,0.951963
R00120,train,1.296531,-0.424291,-1.323286,0.335117
R00121,train,0.321017,-0.207064,-1.014549,1.246191
R00122,train,0.740645,-1.329431,0.458061,0.545086
R00123,train,1.17284,-0.817057,-0.393011,0.012644
R00124,train,0.120289,0.870394,1.343467,-0.553607
R00125,train,-1.504375,2.205888,-1.074658,0.724072
R00126,train,0.247372,2.905302,-0.50942,0.810144
R00127,train,-0.964209,-1.006076,-0.412911,-1.956566
R00128,train,0.531274,-1.523733,0.992467,0.944853
R00129,train,1.177483,-0.80913,-1.274413,-1.235512
R00130,train,0.370002,1.230183,0.450035,-1.06463
R00131,train,0.757014,-0.381802,-0.014293,0.882084
R00132,train,0.687176,0.717426,1.309314,-1.499196
R00133,train,-0.121652,-0.455356,0.575766,-0.299976
R00134,train,1.715571,-0.218777,1.22468,-0.245751
R00135,train,-1.516397,0.538712,-0.544964,-0.252896
R00136,train,-0.447612,0.665037,0.437693,0.075523
R00137,train,0.774225,1.882302,-0.378041,1.218342
R00138,train,-1.123023,0.60004,-1.469856,-0.745233
R00139,train,-0.398376,0.424893,0.349386,-0.512621
R00140,train,-0.157195,0.611048,0.405986,-0.064038
R00141,train,-0.10614,-1.332119,-0.092538,0.356182
R00142,train,-0.936757,0.262928,-0.810226,-0.175604
R00143,train,1.616454,1.920138,-1.084579,1.146753
R00144,train,0.524908,0.398729,-0.008145,0.995875
R00145,train,-0.203975,1.270893,2.480983,1.080902
R00146,train,-0.555295,0.96782,0.063583,0.791104
R00147,train,0.187425,-0.523252,-1.874411,0.515824
R00148,train,0.545793,1.390816,-1.093948,-0.372076
R00149,train,0.899191,-0.560613,1.499515,-0.404597
R00150,train,1.810021,-1.052587,-0.162485,0.715644
R00151,train,-0.593604,0.003581,-1.110936,-0.556926
R00152,train,0.49359,0.814749,1.069156,-2.300559
R00153,train,1.856438,0.152679,-0.046262,0.374783
R00154,train,0.182555,-1.699424,2.558303,1.289511
R00155,train,-0.067691,0.839623,-0.779319,1.234215
R00156,train,-0.171641,2.11175,-0.730733,-0.461846
R00157,train,-0.227527,0.828613,0.888443,-1.720029
R00158,train,0.150128,1.497922,0.648265,0.338461
R00159,train,-0.08434,-1.036134,-0.29551,-0.721931
R00160,train,0.555647,-1.362123,0.00716,0.957799
R00161,train,0.066114,0.507547,0.759689,-0.246018
R00162,train,1.550683,1.711169,1.300725,0.985115
R00163,train,-0.515982,-0.106233,-0.122789,1.029359
R00164,train,-1.509361,-1.044234,-0.156917,-1.904083
R00165,train,-2.138111,-0.287419,0.222561,-0.784373
R00166,train,0.986232,-0.879949,-0.925771,0.123216
R00167,train,2.177782,-0.030603,0.370717,-1.944259
R00168,train,0.585037,0.257167,0.099388,-0.68838
R00169,train,0.911095,0.623514,0.783536,0.949395
R00170,train,-0.453775,1.568741,-0.382315,1.549101
R00171,train,1.697171,0.462519,-1.318311,0.711458
R00172,train,1.447425,1.315689,1.878023,0.218831
R00173,train,-0.752964,-0.991481,0.182457,-0.180667
R00174,train,1.395026,0.220199,0.442671,-0.050914
R00175,train,0.681017,1.604646,2.373675,-0.947332
R00176,train,0.874939,1.422761,-1.317577,-0.750031
R00177,train,1.526182,-0.374179,0.520041,-0.158988
R00178,train,0.198106,0.262048,-2.798965,-0.441082
R00179,train,2.588454,-0.268464,-0.560655,-1.174209
R00180,train,-0.29605,-1.046355,0.3511,-1.080738
R00181,train,1.851705,0.398809,-0.522497,-1.04854
R00182,train,-1.520814,0.092887,-0.344195,-0.186054
R00183,train,-1.217308,-0.388818,0.076639,2.014673
R00184,train,-0.095526,0.555171,-0.086978,-1.592653
R00185,train,1.693049,-1.923095,0.18785,-0.499024
R00186,train,0.071791,-2.187407,0.697033,-1.935533
R00187,train,-0.0997,-0.248273,0.774667,1.071715
R00188,train,-0.575929,1.713412,0.592035,1.551574
R00189,train,0.29486,-0.204775,0.764891,1.254338
R00190,train,1.253375,-0.544357,-0.294708,2.334949
R00191,train,-0.910107,-1.49284,-0.854027,-0.557572
R00192,train,-0.95885,0.494593,-0.42414,1.23716
R00193,train,-0.907318,0.275903,-0.303932,-0.166781
R00194,train,-1.682783,-0.758661,0.340388,-0.755172
R00195,train,0.036303,0.165534,-0.100164,0.203348
R00196,train,-0.687196,0.386365,-0.095902,0.247112
R00197,train,-2.011459,0.534753,-0.882397,0.874326
R00198,train,-1.024915,0.160755,-0.752668,0.378295
R00199,train,-0.42577,0.773946,0.310512,-0.707298
R00200,train,0.905626,-1.627801,-0.411278,1.403999
R00201,train,2.045306,-0.632449,-0.017551,-0.266803
R00202,train,-0.084992,-0.384023,-1.304714,0.595636
R00203,train,-0.229762,0.979323,-1.338051,0.264791
R00204,train,-0.613684,-0.70266,-0.208853,1.100545
R00205,train,-1.302842,2.406774,1.013787,-0.325197
R00206,train,-0.438076,1.026347,-0.133549,2.948254
R00207,train,1.64199,0.349069,-0.382335,-1.082729
R00208,train,0.888125,-0.355784,-0.446941,2.403596
R00209,train,-2.188053,0.786737,1.494965,-0.171369
R00210,train,-1.342005,0.454305,-1.450256,-1.224625
R00211,train,0.697979,-0.150568,0.997807,1.245747
R00212,train,1.153531,-1.012221,2.443511,-0.786249
R00213,train,-0.744201,0.701084,0.906672,-0.789019
R00214,train,-1.9786,1.08867,-0.751749,1.367334
R00215,train,0.349295,0.102973,1.251969,-0.104553
R00216,train,-0.316575,-1.181816,-0.092782,1.076853
R00217,train,-0.085362,0.3184,-0.124226,0.199073
R00218,train,-1.262533,-1.01802,-0.78946,0.517199
R00219,train,1.32675,-0.670168,2.083553,1.442663
R00220,train,1.80438,0.023366,-1.72743,1.124633
R00221,train,1.090543,0.619458,-2.12367,0.522436
R00222,train,-0.643559,0.865149,-0.660019,0.75813
R00223,train,0.117618,1.016977,1.44574,1.972477
R00224,train,0.989117,-0.159702,0.192443,0.623273
R00225,train,0.216937,-0.06297,0.809523,1.433335
R00226,train,0.917145,0.337337,2.045838,0.569669
R00227,train,0.873084,-1.684149,1.003904,0.417581
R00228,train,1.672258,0.020365,-0.65983,-0.85735
R00229,train,-0.356526,-0.670501,1.713515,1.122604
R00230,train,-0.842797,-1.189781,0.409296,0.364224
R00231,train,-1.249029,0.083307,-0.386053,1.128667
R00232,train,0.958252,-1.378693,-1.002512,-1.154062
R00233,train,-1.319677,0.090958,1.036084,0.099013
R00234,train,0.925391,0.324823,-0.162584,-0.962431
R00235,train,-0.659684,-0.887521,-1.53066,-1.700988
R00236,train,1.67811,0.273524,1.16948,0.877245
R00237,train,-0.540142,0.638833,1.480893,0.243776
R00238,train,0.944034,-0.104323,-0.237592,-2.503837
R00239,train,1.548666,1.363158,-0.315564,-0.059174
R00240,train,0.155747,-1.032824,0.449516,1.839591
R00241,train,2.031076,0.987982,0.298831,-0.8466
R00242,train,-1.387167,-0.857044,-0.377721,0.05109
R00243,train,0.302326,-0.348122,0.136614,1.034557
R00244,train,-0.915228,-0.600986,-1.006165,-1.377042
R00245,train,-0.630746,-0.147886,-0.760185,-0.84274
R00246,train,0.446058,-0.572244,0.511276,0.273497
R00247,train,-0.571753,0.622157,-0.840567,0.521407
R00248,train,0.172551,1.671746,0.41289,-0.970014
R00249,train,0.032382,-0.184793,-0.878108,-0.155965
R00250,train,-0.29426,0.80246,0.695775,-1.133235
R00251,train,-1.204595,-1.141011,-1.297459,0.791683
R00252,train,0.417689,0.437245,-0.396337,-1.114217
R00253,train,-0.952438,-0.478672,0.361407,0.627856
R00254,train,1.352826,0.233153,-0.261452,1.136092
R00255,train,1.078056,1.093427,-1.615301,-0.303215
R00256,train,-0.799391,0.162361,1.215415,0.813919
R00257,train,0.161904,-0.151979,0.951929,1.093119
R00258,train,0.223336,-1.136161,-1.870581,1.325794
R00259,train,1.242548,-0.108171,-1.787258,-1.631014
R00260,train,-0.278513,2.246541,0.135318,-0.024244
R00261,train,0.087842,-0.591636,1.274935,0.953517
R00262,train,0.180018,-0.00847,-0.445471,1.087281
R00263,train,-0.083423,1.096264,-1.071071,-0.600753
R00264,train,0.383815,-0.907139,0.407502,-0.704196
R00265,train,2.691116,-0.446768,0.761717,0.912786
R00266,train,-0.248057,-1.313105,-0.330475,0.987833
R00267,train,0.555508,-1.08088,-0.431866,0.433481
R00268,train,-0.073344,-0.529334,0.70982,0.969544
R00269,train,-0.135967,0.333903,-0.859332,0.305844
R00270,train,-0.072335,-1.811524,-1.203203,-0.691096
R00271,train,0.24428,-0.795558,0.461179,-0.974332
R00272,train,-0.46553,-2.228828,0.965263,2.343694
R00273,train,-0.360508,0.256173,0.739627,-0.765254
R00274,train,0.833957,-1.022879,0.240999,0.088047
R00275,train,0.136903,0.618332,0.033111,-1.136589
R00276,train,0.469575,-0.264983,2.013578,0.365814
R00277,train,2.054755,-0.767504,-2.219371,-0.451379
R00278,train,0.095597,-0.06176,-0.164641,-2.129469
R00279,train,1.445561,0.542469,0.064868,0.522499
R00280,train,1.138998,2.412683,0.325772,-0.53498
R00281,train,-1.96614,0.302449,0.779199,-0.597367
R00282,train,-0.420395,-0.350561,0.973191,1.598552
R00283,train,0.285215,-1.302675,-0.39695,-0.131255
R00284,train,0.718517,1.016629,-0.3605,-0.891139
R00285,train,1.677382,0.509098,-1.473439,-1.03047
R00286,train,0.971924,0.392461,0.441545,1.185029
R00287,train,-0.18884,1.270837,-0.454318,0.267908
R00288,train,-2.351692,-0.605708,0.173543,0.083776
R00289,train,-1.000457,0.252972,0.368951,0.13894
R00290,train,-0.171153,-0.436118,-0.90518,1.176419
R00291,train,-0.456628,-0.313907,-0.712676,-0.676029
R00292,train,-1.004903,-0.298157,-0.02539,1.246957
R00293,train,-0.309887,2.695403,-1.054084,1.417708
R00294,train,1.687289,-0.502715,1.723816,1.179141
R00295,train,-0.402197,2.013696,-0.28076,-0.658694
R00296,train,-0.644592,1.015603,-0.829958,1.783714
R00297,train,0.017999,-0.649075,-0.440644,-0.054208
R00298,train,0.133382,-0.721162,-0.289868,0.405873
R00299,train,0.478929,-0.004,0.756277,-0.335432
R00300,train,-0.419178,-0.271569,1.071837,-0.824665
R00301,train,-1.741663,-1.115053,0.096165,0.441862
R00302,train,-0.506606,0.488357,-1.788136,-1.135991
R00303,train,-1.173445,0.405857,-0.021332,1.883687
R00304,train,0.179736,-2.346305,-0.826688,0.425834
R00305,train,1.79339,-2.313024,0.107459,0.486049
R00306,train,0.316857,0.263349,-0.04704,1.181867
R00307,train,1.618577,-0.626987,0.074687,0.116774
R00308,train,-0.344142,-0.721129,-0.480298,1.003534
R00309,train,-0.014115,-1.50711,-0.842515,0.860282
R00310,train,-0.63687,-0.146231,-0.531177,0.654006
R00311,train,0.34225,0.780861,0.376791,1.248471
R00312,train,-0.059493,-0.356285,-0.851003,0.459774
R00313,train,2.303054,-1.164774,0.177503,-1.513525
R00314,train,-1.272199,0.077455,0.335392,2.25552
R00315,train,0.791014,1.016145,1.699668,-0.406556
R00316,train,-0.640174,0.550924,1.487093,1.217091
R00317,train,-0.297606,-0.595975,-0.55269,-0.276984
R00318,train,-2.001376,-0.452021,0.322743,-2.159925
R00319,train,0.200273,-0.281147,-0.005665,-2.110374
R00320,train,1.761423,-0.67976,1.481575,-0.283836
R00321,train,0.827914,-0.361208,-1.497722,-0.756983
R00322,train,0.15299,-2.203101,-1.684621,0.301479
R00323,train,0.295692,-2.655671,-1.312411,-0.430423
R00324,train,-1.840932,-0.862022,-0.537848,1.336747
R00325,train,0.244624,0.688293,-2.101838,0.663611
R00326,train,0.577136,1.016564,0.07448,0.218069
R00327,train,0.513437,-1.458428,0.968114,-0.558248
R00328,train,-0.644456,-0.260127,1.759308,-0.744239
R00329,train,-0.08546,-1.385213,-0.149176,-0.622397
R00330,train,1.269455,-0.75639,-0.463705,-0.333825
R00331,train,0.334825,0.08882,-0.443531,-0.044001
R00332,train,-0.755656,1.219581,-0.125677,-1.058207
R00333,train,0.216329,-0.170679,0.392475,-0.718747
R00334,train,-0.551559,-0.856444,-1.169639,1.321538
R00335,train,-1.238618,0.179039,-0.777983,-0.711808
R00336,train,0.117141,0.133032,1.929571,-0.402845
R00337,train,0.098182,-0.371716,-1.793228,-0.153971
R00338,train,1.714943,-2.086331,-0.271773,0.026682
