query_id,embedding
Q000,"[-0.461634, 3.470351, 4.447513, -7.699543, 2.94897, -4.916748, 1.467029, -1.537619, -0.619959, 3.92122, 3.381176, 1.894545, -6.389421, 0.062786, 3.519444, 1.211601]"
Q001,"[0.751812, -1.366057, 4.250899, 2.753058, 4.575318, 0.182322, 2.5564, 2.493103, -2.878244, -1.382134, -2.872589, -0.747549, 3.854118, -3.081734, 7.253373, -3.954061]"
Q002,"[-0.749577, 2.413439, 4.574849, -8.177468, 4.903096, -4.233493, 1.885099, -0.526923, -0.75421, 4.496399, 3.736784, 3.218609, -5.731205, 0.545871, 3.567079, 0.665136]"
Q003,"[-2.519647, 1.793068, -2.349774, -0.017892, -2.114474, -0.756047, 0.92486, -1.85347, -0.091692, 0.162634, -0.948689, 4.961292, -2.181491, 1.353992, -3.236939, 0.931286]"
Q004,"[-2.064293, 2.032653, -2.721185, 0.049111, -3.80895, -1.447593, 1.95395, -2.392229, 0.084656, 0.309954, -1.363693, 5.682339, -2.044817, 1.052022, -1.943382, 0.985076]"
Q005,"[0.495753, -6.396757, 1.910933, -3.170268, -0.630357, -0.903573, 1.834847, -1.797719, 1.712196, 2.943617, -2.101471, 3.858141, 4.138714, -1.775916, 0.04299, -2.017292]"
Q006,"[-2.709893, 2.530525, -0.825991, 0.552267, -3.429601, -0.316041, 1.568408, -1.904641, 1.390533, 1.089922, -1.574808, 4.855901, -1.697105, 1.243226, -2.68113, 1.079438]"
Q007,"[-0.768279, -5.802388, 0.763586, -3.303623, -1.822224, 1.279213, 1.586897, -2.618916, 2.235907, 3.123207, -3.409541, 3.607465, 3.237453, -2.168558, -1.375126, -1.539269]"
Q008,"[-0.877215, 2.19266, 4.466959, -8.268485, 4.578239, -5.101017, 1.010869, -1.162916, -0.949016, 3.111119, 3.21799, 2.667901, -5.913549, -0.218571, 3.719628, 1.746556]"
Q009,"[-0.143445, 0.079732, 4.619507, 1.766112, -2.965804, -2.748379, 2.319585, 2.120751, -3.336515, 4.39839, -2.618754, 4.814832, -2.035621, -3.191206, -0.115968, 3.636696]"
Q010,"[-2.135417, -1.770284, 4.346149, 1.085028, -3.798994, -2.8719, 1.102229, 2.571617, -4.041979, 4.926181, -0.983247, 4.228002, -2.065093, -2.957736, -0.87487, 2.608626]"
Q011,"[-0.183838, 2.843435, 4.430913, -8.884601, 3.716082, -4.793963, 0.680574, -1.455424, -1.20545, 2.870416, 3.728969, 1.700002, -4.99651, -0.977891, 2.904543, 1.993633]"
Q012,"[1.162428, -1.080271, 3.738452, 1.608014, 4.423184, -0.765947, 3.014383, 3.169822, -0.757038, 0.008853, -3.731212, -0.577719, 5.492127, -2.895944, 9.656304, -3.850417]"
Q013,"[-1.16642, 3.354156, 5.137784, -8.3639, 4.26471, -4.930512, 1.415784, -1.357806, -0.522554, 4.21518, 3.311503, 2.395101, -7.169375, 0.082194, 4.696017, 1.121002]"
Q014,"[-0.212692, -6.724298, 1.769151, -3.210466, -0.584862, -1.505942, 1.89659, -1.381479, 1.444507, 2.361851, -2.519495, 3.36035, 3.732813, -2.392953, -0.032222, -1.560714]"
Q015,"[-0.309284, -6.561732, -0.156082, -3.996239, -0.865743, -0.376048, 1.291662, -2.6923, 1.814409, 3.244732, -3.298845, 4.12663, 3.096986, -2.343019, -0.57225, -1.178492]"
Q016,"[-0.888697, -2.071744, 3.954535, 0.922244, -4.580169, -2.705659, 1.321442, 1.591385, -2.744072, 2.889184, -2.593382, 5.170227, -2.248499, -2.653685, 0.613814, 2.772094]"
Q017,"[-2.252118, 1.697372, -2.771778, -0.395128, -2.339433, 0.267818, 1.896438, -1.701459, 1.218747, 1.88551, -0.867682, 4.821782, -1.206059, 0.879067, -1.99405, 0.771798]"
Q018,"[0.999157, -0.062354, 3.83675, 2.234416, 4.563213, -0.504745, 2.011352, 1.693545, -1.919771, -0.462583, -3.670144, -0.556463, 5.187024, -3.123566, 8.418967, -3.524141]"
Q019,"[-0.357149, 2.697118, 5.050466, -7.314166, 4.751333, -4.688031, 2.411255, -0.142675, 0.234608, 3.332487, 4.361785, 2.763524, -5.589391, 0.949532, 3.41073, 2.35626]"
Q020,"[0.337075, -0.475603, 3.532595, 1.621839, 4.505539, -1.131845, 2.00999, 2.117746, -2.569749, -0.886008, -3.618871, -0.850724, 3.96969, -3.026703, 8.084903, -2.420305]"
Q021,"[-2.058137, 2.170242, -2.913531, -0.108614, -3.071127, -0.503411, 1.604568, -2.122359, -0.690444, 1.66741, -1.428007, 3.944344, -2.582402, 0.836411, -2.255547, 0.948571]"
Q022,"[-0.037003, 2.37282, 5.219369, -8.455984, 3.211382, -4.519368, 1.466, -0.621758, -0.322693, 3.953978, 4.297145, 2.612076, -6.339138, -0.438331, 3.178134, 1.968733]"
Q023,"[-1.202076, 1.944594, -0.852156, 0.060896, -2.885749, -0.512452, 0.518392, -2.424762, 0.154175, 1.448428, -1.324332, 5.777198, -2.009186, 0.870605, -3.217543, 1.161011]"
Q024,"[-0.955894, 3.009159, 5.119745, -8.302638, 3.831243, -5.124555, 1.471821, -0.55737, -0.421261, 4.136718, 4.454607, 1.347515, -5.440135, 0.039202, 3.190119, 2.052682]"
