day,f1_m,f1_s,f3_m,f3_s,f4_m,f4_s,f2_m,f2_s,f6_m,f6_s,f5_m,f5_s
2026-02-19,2.604,1.85,4.779,0.707,0.53,1.695,7.014,1.723,7.53,1.251,3.307,0.756
2026-02-20,2.757,1.84,4.845,0.783,0.581,1.552,6.638,1.985,7.347,1.158,3.303,0.757
2026-02-21,2.766,1.764,4.794,0.66,0.678,1.63,6.642,1.942,7.319,1.301,3.211,0.837
2026-02-22,2.916,1.946,4.689,0.698,0.574,1.67,6.373,2.034,7.366,1.373,3.337,0.808
2026-02-23,2.864,1.892,4.741,0.698,0.686,1.746,6.598,1.827,7.464,1.361,3.122,0.744
2026-02-24,2.915,1.928,4.753,0.734,0.63,1.687,6.787,1.933,7.371,1.272,3.214,0.771
2026-02-25,2.57,1.982,4.786,0.674,0.77,1.648,6.599,1.903,7.375,1.29,3.251,0.749
2026-02-26,2.674,1.779,4.829,0.64,0.769,1.667,6.382,1.926,7.235,1.28,3.326,0.79
2026-02-27,2.722,1.757,4.768,0.676,0.615,1.723,6.578,1.757,7.462,1.339,3.306,0.769
2026-02-28,2.751,1.957,4.805,0.624,0.636,1.754,6.508,2.222,7.337,1.248,3.205,0.785
2026-03-01,3.244,1.566,4.825,0.724,0.565,1.516,6.405,2.0,7.351,1.256,3.272,0.755
2026-03-02,2.705,1.779,4.722,0.8,0.76,1.598,6.452,1.941,7.281,1.409,3.257,0.832
2026-03-03,2.622,1.951,4.752,0.591,0.592,1.454,6.509,1.996,7.116,1.389,3.269,0.817
2026-03-04,2.794,1.856,4.85,0.693,0.344,1.649,6.721,2.157,7.289,1.425,3.225,0.839
2026-03-05,2.878,1.812,4.712,0.669,0.367,1.598,6.738,1.845,7.396,1.251,3.268,0.887
2026-03-06,2.763,1.818,4.787,0.799,0.722,1.736,6.709,1.833,7.261,1.487,3.204,0.762
2026-03-07,2.813,1.886,4.833,0.658,0.414,1.576,6.561,2.024,7.194,1.346,3.252,0.697
2026-03-08,2.873,1.924,4.791,0.676,0.276,1.512,6.595,1.913,7.178,1.385,3.183,0.805
