i,day,f5_m,f5_s,f6_m,f6_s,f2_m,f2_s,f4_m,f4_s,f3_m,f3_s,f1_m,f1_s
0,2026-01-01,3.169,0.79,7.605,1.299,6.515,2.061,0.645,1.533,4.842,0.697,2.669,2.001
1,2026-01-02,3.237,0.834,7.261,1.187,6.645,1.803,0.869,1.718,4.793,0.693,2.801,1.718
2,2026-01-03,3.268,0.746,7.47,1.395,6.282,2.053,0.672,1.646,4.762,0.639,2.478,1.904
3,2026-01-04,3.27,0.742,7.425,1.233,6.731,1.923,0.72,1.775,4.76,0.722,2.947,1.871
4,2026-01-05,3.281,0.806,7.462,1.373,6.506,2.008,0.576,1.75,4.811,0.675,2.651,1.963
5,2026-01-06,3.263,0.815,7.447,1.275,6.621,2.045,0.733,1.452,4.742,0.607,3.004,1.914
6,2026-01-07,3.181,0.796,7.322,1.452,6.768,1.831,0.558,1.642,4.708,0.599,2.656,1.917
7,2026-01-08,3.294,0.808,7.338,1.251,6.509,2.003,0.652,1.673,4.794,0.714,2.806,1.847
8,2026-01-09,3.252,0.695,7.411,1.301,6.637,2.024,0.693,1.625,4.827,0.682,3.009,1.755
9,2026-01-10,3.303,0.801,7.154,1.329,6.493,1.96,0.568,1.493,4.777,0.671,2.772,1.745
10,2026-01-11,3.318,0.788,7.122,1.273,6.477,1.977,0.753,1.852,4.723,0.68,2.8,1.792
11,2026-01-12,3.23,0.796,7.368,1.318,6.627,2.019,0.705,1.758,4.821,0.644,2.792,1.806
12,2026-01-13,3.336,0.778,7.368,1.277,6.541,1.969,0.513,1.506,4.816,0.652,2.851,1.669
13,2026-01-14,3.272,0.766,7.368,1.236,6.523,1.785,0.622,1.702,4.772,0.673,2.567,1.886
14,2026-01-15,3.226,0.806,7.307,1.373,6.426,2.009,0.738,1.768,4.737,0.644,2.89,2.005
15,2026-01-16,3.166,0.83,7.274,1.333,6.427,2.05,0.694,1.806,4.708,0.642,2.77,1.876
16,2026-01-17,3.298,0.83,7.358,1.449,6.468,1.983,0.652,1.786,4.779,0.685,2.763,1.669
17,2026-01-18,3.299,0.816,7.458,1.281,6.555,1.948,0.567,1.643,4.898,0.678,2.833,1.667
18,2026-01-19,3.196,0.698,7.441,1.239,6.491,2.104,0.657,1.683,4.784,0.648,2.658,2.118
19,2026-01-20,3.217,0.722,7.359,1.231,6.715,1.889,0.559,1.653,4.682,0.695,2.897,1.794
20,2026-01-21,3.296,0.782,7.517,1.206,6.651,1.953,0.573,1.675,4.735,0.657,2.742,1.809
21,2026-01-22,3.272,0.823,7.383,1.239,6.828,1.964,0.689,1.595,4.743,0.617,2.901,1.732
22,2026-01-23,3.201,0.723,7.417,1.388,6.477,1.975,0.772,1.619,4.797,0.619,2.767,1.998
23,2026-01-24,3.335,0.867,7.33,1.368,6.452,1.917,0.75,1.675,4.7,0.676,2.732,1.8
24,2026-01-25,3.48,0.777,7.205,1.315,6.759,2.238,0.436,1.722,4.72,0.703,2.496,1.716
25,2026-01-26,3.251,0.741,7.337,1.355,6.494,1.876,0.714,1.791,4.721,0.67,2.684,1.73
26,2026-01-27,3.276,0.826,7.341,1.539,6.491,2.013,0.516,1.358,4.86,0.652,2.659,1.726
27,2026-01-28,3.204,0.803,7.439,1.376,6.649,1.963,0.828,1.75,4.688,0.628,2.888,1.966
28,2026-01-29,3.166,0.856,7.226,1.265,6.551,1.974,0.607,1.529,4.743,0.738,2.742,1.915
29,2026-01-30,3.246,0.758,7.197,1.319,6.574,2.115,0.919,1.57,4.799,0.669,2.615,1.655
30,2026-01-31,3.213,0.756,7.245,1.353,6.268,1.874,0.67,1.695,4.711,0.696,2.898,1.739
31,2026-02-01,3.402,0.816,7.336,1.3,6.63,2.03,0.674,1.621,4.704,0.693,2.622,1.905
32,2026-02-02,3.287,0.815,7.37,1.184,6.163,1.966,0.744,1.778,4.777,0.72,2.369,1.691
33,2026-02-03,3.371,0.807,7.298,1.291,6.93,1.837,0.653,1.657,4.766,0.709,2.934,1.673
34,2026-02-04,3.203,0.837,7.286,1.528,6.585,1.929,0.643,1.64,4.684,0.697,2.731,1.707
35,2026-02-05,3.3,0.791,7.414,1.3,6.689,1.827,0.609,1.528,4.765,0.707,2.62,1.746
36,2026-02-06,3.235,0.722,7.225,1.352,6.756,2.072,0.52,1.694,4.732,0.611,2.833,1.93
37,2026-02-07,3.298,0.765,7.174,1.29,6.773,1.701,0.55,1.665,4.73,0.579,2.774,1.762
38,2026-02-08,3.167,0.772,7.275,1.26,6.675,2.054,0.527,1.757,4.801,0.71,2.762,1.858
39,2026-02-09,3.317,0.747,7.41,1.425,6.68,2.143,0.646,1.636,4.816,0.7,2.547,1.695
40,2026-02-10,3.201,0.736,7.306,1.411,6.798,1.953,0.449,1.609,4.779,0.757,2.917,1.81
41,2026-02-11,3.182,0.799,7.399,1.27,6.659,1.873,0.668,1.67,4.842,0.686,2.675,2.028
42,2026-02-12,3.196,0.834,7.406,1.344,6.694,2.025,0.322,1.728,4.715,0.693,2.789,1.665
43,2026-02-13,3.287,0.791,7.356,1.361,6.574,1.749,0.474,1.635,4.735,0.619,2.568,1.902
44,2026-02-14,3.344,0.811,7.205,1.276,6.343,1.915,0.687,1.539,4.782,0.663,2.681,1.932
45,2026-02-15,3.231,0.739,7.371,1.295,6.538,1.945,0.765,1.67,4.79,0.668,2.743,1.972
46,2026-02-16,3.506,0.817,7.406,1.278,6.837,1.833,0.562,1.629,4.77,0.652,2.927,1.839
47,2026-02-17,3.311,0.735,7.365,1.27,6.797,1.853,0.847,1.679,4.756,0.646,3.045,1.963
