D           M1      S1      M2      S2      M3      S3      M4      S4      M5       S5      M6      S6    
----------  ------  ------  ------  ------  ------  ------  ------  ------  -------  ------  ------  ------
2026-01-01  4.1586  0.8818  3.6308  0.8613  7.3173  1.3312  3.8971  1.2142  7.9174   1.0196  4.6535  1.6616
2026-01-02  4.1327  0.8601  3.5436  0.8049  7.2266  1.2509  3.8654  1.3061  7.8712   0.9715  4.7524  1.5688
2026-01-03  4.152   0.9344  3.7016  0.6745  7.2656  1.3818  3.9517  1.2452  7.7056   0.9995  4.7825  2.0133
2026-01-04  4.0881  0.7981  3.6005  0.8167  7.1395  1.3748  3.7642  1.2824  7.7239   1.0804  4.8167  1.5746
2026-01-05  4.2398  0.8701  3.6569  0.8771  7.4496  1.2436  4.0488  1.459   7.6912   1.0362  4.5871  1.5539
2026-01-06  4.1615  0.8838  3.655   0.7862  7.2597  1.4324  3.8787  1.2703  7.7048   1.0131  4.8068  1.6602
2026-01-07  4.2052  0.9048  3.6374  0.7924  7.3539  1.432   3.8438  1.2308  7.8      0.9436  4.8194  1.5539
2026-01-08  4.1964  0.8862  3.7127  0.8142  7.3853  1.4211  4.1069  1.2719  7.7076   1.011   4.8444  1.7341
2026-01-09  4.1201  0.8347  3.6699  0.7713  7.4487  1.2835  3.9483  1.2061  7.6963   1.0427  4.7867  1.8662
2026-01-10  4.2825  0.9367  3.6446  0.8544  7.165   1.5168  3.9577  1.2677  7.7569   1.0993  4.7713  1.873 
2026-01-11  4.3168  0.9298  3.651   0.7841  7.3628  1.4155  3.9813  1.3819  7.993    1.0246  4.3449  1.735 
2026-01-12  4.2173  0.8687  3.5469  0.8533  7.3292  1.3626  3.7707  1.3269  7.7532   1.1036  4.6321  1.8064
2026-01-13  4.1237  0.8093  3.6944  0.863   7.3211  1.5188  3.8264  1.2978  7.6203   1.0281  4.6404  1.5542
2026-01-14  4.1549  0.8588  3.7436  0.7095  7.4077  1.4007  4.0717  1.354   7.7654   1.0809  4.801   1.5697
2026-01-15  4.2232  0.8596  3.6916  0.7221  7.1812  1.4082  3.9017  1.288   7.7898   1.0309  4.4446  1.6267
2026-01-16  4.1657  0.8224  3.64    0.7999  7.365   1.3602  4.0745  1.2747  7.8794   0.9907  4.4688  1.9007
2026-01-17  4.2021  0.9087  3.5964  0.8076  7.2593  1.2957  3.9667  1.316   7.8866   1.0657  4.5496  1.584 
2026-01-18  4.1059  0.9341  3.608   0.7506  7.1905  1.3374  3.9056  1.3499  7.8646   0.9814  4.5374  1.6736
2026-01-19  4.1718  0.8009  3.6852  0.8231  7.1447  1.2999  3.9297  1.3905  7.8785   1.0179  4.515   1.7616
2026-01-20  4.1748  0.87    3.5795  0.8266  7.3464  1.2371  3.7767  1.2772  7.7741   0.9435  4.6163  1.6605
2026-01-21  4.3626  0.8367  3.6433  0.8159  7.3871  1.3897  3.8601  1.3521  7.6841   1.0696  4.9387  1.4891
2026-01-22  4.3044  0.9048  3.5803  0.8143  7.4531  1.462   4.0093  1.2419  7.6339   1.0397  4.6851  1.8577
2026-01-23  4.1763  0.8359  3.6039  0.8639  7.1212  1.371   3.8273  1.3192  7.761    0.926   4.8039  1.6278
2026-01-24  4.1615  0.8636  3.6415  0.7821  7.2604  1.2466  3.9018  1.3764  7.9091   0.9799  4.6023  1.6836
2026-01-25  4.2474  0.8677  3.7244  0.8402  7.506   1.4217  3.8966  1.27    7.7906   0.9438  4.799   1.3966
2026-01-26  4.2616  0.9293  3.7016  0.8144  7.3615  1.3854  3.7286  1.4088  7.6928   1.0015  4.8101  1.51  
2026-01-27  4.1564  0.844   3.6941  0.7398  7.482   1.4116  3.8815  1.3912  7.6919   1.0597  4.8165  1.5681
2026-01-28  4.1125  0.9308  3.4939  0.8377  7.2879  1.476   3.9219  1.3675  7.8424   1.0274  4.6673  1.6756
2026-01-29  4.2039  0.9998  3.6154  0.9036  6.9889  1.3294  4.065   1.3248  7.8003   1.0068  4.7696  1.6791
2026-01-30  4.0967  0.9162  3.6584  0.7399  7.1998  1.3665  4.0843  1.3639  7.7457   1.017   4.6791  1.4784
2026-01-31  4.2185  0.9402  3.6479  0.7983  7.1829  1.4344  3.9774  1.3631  7.7969   0.9992  4.5934  1.6556
2026-02-01  4.1648  0.8952  3.5335  0.8031  7.0846  1.4248  3.7035  1.3765  7.8709   0.9536  4.6305  1.7273
2026-02-02  4.1634  0.886   3.6788  0.7803  7.2646  1.3044  4.0782  1.2993  7.8321   0.9585  4.5711  1.7545
2026-02-03  4.0924  0.8116  3.5896  0.7665  7.4176  1.4411  3.9175  1.3104  7.8775   1.0944  4.8186  1.5986
2026-02-04  4.2512  0.9193  3.6989  0.8084  7.4064  1.3798  3.9807  1.3428  7.7889   0.9911  4.6739  1.8223
2026-02-05  4.1319  0.9331  3.6781  0.8154  7.2297  1.2168  3.8519  1.2257  7.8213   1.046   4.4685  1.7767
2026-02-06  4.1072  0.9112  3.583   0.7673  7.1815  1.2488  4.0197  1.3294  7.857    1.0256  4.6939  1.8203
2026-02-07  4.0749  0.8844  3.6421  0.8637  7.2421  1.3425  3.9627  1.1934  7.8085   0.9936  4.7174  1.5816
2026-02-08  4.3064  0.8029  3.6805  0.8277  7.1626  1.2941  3.9611  1.2776  7.7961   1.0586  4.7554  1.6077
2026-02-09  4.1197  0.9505  3.6431  0.853   7.3159  1.3508  4.0751  1.155   7.744    1.0885  4.7042  1.6252
2026-02-10  4.22    0.8776  3.6563  0.7636  7.2969  1.4421  4.0031  1.4257  7.7922   1.0158  4.6058  1.7185
2026-02-11  4.1088  0.8107  3.831   0.7946  7.2524  1.3694  4.0106  1.3425  7.7425   1.0919  4.4649  1.7239
2026-02-12  4.1157  0.8343  3.5614  0.84    7.2258  1.4179  4.0596  1.4027  7.883    1.0548  4.7249  1.664 
2026-02-13  4.186   0.8315  3.7727  0.7642  7.1591  1.3135  4.053   1.3446  7.8561   0.9438  4.8658  1.7045
2026-02-14  4.1162  0.8401  3.6636  0.7947  7.1032  1.4463  3.9609  1.2203  7.9011   0.98    4.4378  1.5874
2026-02-15  4.1748  0.9135  3.649   0.8626  7.3239  1.4145  3.9548  1.2226  7.7571   0.9458  4.719   1.5117
2026-02-16  4.1219  0.9273  3.5638  0.7972  7.3683  1.2966  3.9219  1.3258  7.8375   1.0573  4.7071  1.8197
2026-02-17  4.0382  1.0405  3.6528  0.6785  7.1461  1.4089  3.8183  1.3862  7.7748   1.0468  4.6536  1.8571
2026-02-18  4.1744  0.8278  3.5282  0.799   7.5542  1.2707  3.8778  1.3004  7.7655   1.0743  4.5405  1.7054
2026-02-19  4.1006  0.8919  3.5777  0.7912  7.4086  1.3196  3.9114  1.3603  7.833    1.0007  4.9265  1.7596
2026-02-20  4.0685  0.8902  3.6498  0.7962  7.4835  1.488   3.8423  1.2903  7.7378   1.0358  4.5659  1.616 
2026-02-21  4.1838  0.8708  3.6691  0.8317  7.1445  1.3472  4.0528  1.3001  7.8199   0.9935  4.4854  1.7622
2026-02-22  4.1441  0.8413  3.6817  0.8152  7.053   1.4051  4.0077  1.4394  7.6472   0.8392  4.7753  1.5426
2026-02-23  4.0637  0.8665  3.5267  0.7264  7.1494  1.4015  3.873   1.3027  7.8293   1.0772  4.6397  1.6439
2026-02-24  4.2247  0.8673  3.6185  0.8185  7.2769  1.3225  3.8096  1.349   7.8559   0.9845  4.576   1.6426
2026-02-25  4.1188  0.8546  3.6635  0.799   7.4353  1.4371  3.733   1.2252  7.7783   0.9905  4.7786  1.7818
2026-02-26  4.1187  0.7616  3.5822  0.7597  7.2185  1.3573  3.9092  1.3118  7.866    1.0937  4.7294  1.5349
2026-02-27  4.2476  0.8948  3.5794  0.7933  7.1314  1.4563  4.0588  1.3896  7.774    1.024   4.7401  1.486 
2026-02-28  4.1666  0.9111  3.5835  0.8502  7.5435  1.2268  3.8473  1.3137  11.8401  1.0146  4.6082  1.5725
2026-03-01  4.2016  0.8388  3.6942  0.7406  7.2703  1.3292  3.9295  1.2249  11.9641  0.9783  4.7495  1.8368
2026-03-02  4.2263  0.8225  3.5968  0.7719  7.2707  1.3861  3.9801  1.4187  11.8482  1.0437  4.5501  1.6762
