txn_account_id,txn_event_time,amount,balance
A0001,1772614882000,4.49,3987.38
A0001,1773355870000,23.41,3849.19
A0002,1771979480000,195.4,5199.25
A0003,1767244396000,51.91,5471.71
A0003,1769826099000,35.53,5224.99
A0006,1771791128000,5.9,2413.41
A0007,1769789485000,72.99,5246.36
A0008,1769702380000,10.07,6896.16
A0010,1768907143000,42.99,6084.53
A0011,1770768736000,41.68,3900.99
A0012,1771524898000,3.78,3888.4
A0013,1772400675000,54.87,10749.16
A0014,1767273674000,38.4,2213.2
A0017,1767774908000,11.4,1070.63
A0017,1768048452000,118.92,796.24
A0018,1768500497000,21.12,5504.02
A0020,1772246210000,44.1,7290.03
A0021,1767287682000,18.42,4594.45
A0022,1770227281000,76.17,4558.29
A0026,1767273355000,201.51,5331.88
A0028,1767262653000,55.17,6614.37
A0028,1771761164000,25.0,6426.47
A0029,1767437884000,122.95,6208.73
A0030,1772657255000,221.6,9442.03
A0031,1767266049000,87.19,7037.06
A0031,1772559111000,63.78,7995.5
A0032,1771960819000,39.07,700.93
A0033,1767248083000,12.84,2962.98
A0035,1768471749000,82.07,5771.55
A0036,1772564412000,28.52,5151.3
A0037,1770643241000,65.28,5701.51
A0038,1768253568000,104.9,2087.34
A0038,1772356654000,32.68,2111.14
A0042,1772488127000,16.66,3940.44
A0043,1768501275000,22.67,6051.84
A0046,1772146407000,77.88,6414.38
A0047,1770015211000,84.49,7058.73
A0050,1770911585000,157.22,4918.0
A0051,1768640865000,41.4,6060.63
A0052,1770551598000,15.36,4194.57
A0055,1767276158000,48.91,4746.24
A0057,1768812080000,46.35,6346.6
A0058,1769682575000,59.28,3463.45
A0058,1771073040000,176.16,3037.26
A0059,1767272214000,275.72,3101.18
A0059,1769152403000,31.57,3152.56
A0060,1770706495000,58.95,4995.95
A0065,1772330569000,12.98,6428.54
A0066,1771387840000,8.08,3441.28
A0071,1769488003000,72.18,5989.41
A0072,1772860984000,15.75,5082.3
A0074,1771917492000,14.8,2772.77
A0076,1769679399000,371.58,4340.54
A0078,1771429346000,31.22,5501.26
A0079,1769932239000,8.8,8727.48
A0082,1771534610000,860.05,1108.53
A0085,1771204541000,41.19,5420.11
A0087,1771037015000,27.38,7460.03
A0087,1771986805000,18.02,8086.22
A0088,1772054829000,32.54,5647.13
A0090,1769485066000,150.95,5900.51
A0090,1770550178000,69.17,6176.62
A0091,1768218264000,21.09,6166.8
A0093,1767237868000,22.23,6338.29
A0096,1768057430000,379.84,2699.52
A0096,1770281710000,151.83,2935.73
A0097,1771880798000,3.92,7502.07
