act_account_id,act_event_time,sessions_7d
A0000,1767331619000,38
A0000,1767942705000,8
A0000,1768573585000,23
A0000,1769118497000,30
A0000,1769706278000,28
A0000,1770361553000,6
A0000,1770938113000,10
A0000,1771526184000,10
A0000,1772148372000,14
A0000,1772815470000,33
A0000,1773340463000,37
A0000,1773996049000,3
A0000,1774551316000,25
A0001,1767309171000,14
A0001,1767915290000,15
A0001,1768501113000,24
A0001,1769097476000,11
A0001,1769740053000,39
A0001,1770308951000,1
A0001,1770901786000,25
A0001,1771506906000,15
A0001,1772121351000,7
A0001,1772755537000,36
A0001,1773303056000,29
A0001,1773941287000,5
A0001,1774518179000,25
A0002,1767305015000,6
A0002,1767957108000,33
A0002,1768577747000,16
A0002,1769158044000,32
A0002,1769802236000,27
A0002,1770404144000,3
A0002,1770986703000,16
A0002,1771560806000,18
A0002,1772211726000,15
A0002,1772748986000,11
A0002,1773393080000,39
A0002,1774030308000,8
A0002,1774563388000,34
A0003,1767341601000,17
A0003,1767947175000,2
A0003,1768536273000,14
A0003,1769102885000,28
A0003,1769748093000,5
A0003,1770356408000,38
A0003,1770964164000,23
A0003,1771575076000,38
A0003,1772116103000,23
A0003,1772783704000,24
A0003,1773394267000,31
A0003,1773922223000,0
A0003,1774541030000,35
A0004,1767277166000,35
A0004,1767886189000,10
A0004,1768478862000,29
A0004,1769076615000,27
A0004,1769714509000,17
A0004,1770311135000,0
A0004,1770875560000,30
A0004,1771519389000,0
A0004,1772159390000,36
A0004,1772755043000,24
A0004,1773295045000,32
A0004,1773982481000,10
A0004,1774572067000,32
A0005,1767315728000,14
A0005,1767965997000,3
A0005,1768579297000,36
A0005,1769169927000,18
A0005,1769789797000,29
A0005,1770400727000,16
A0005,1770948475000,26
A0005,1771575009000,24
A0005,1772164352000,22
A0005,1772802680000,35
A0005,1773380575000,17
A0005,1773952911000,20
A0005,1774568894000,9
A0006,1767339470000,14
A0006,1767979641000,11
A0006,1768560018000,23
A0006,1769192194000,25
A0006,1769729468000,27
A0006,1770370937000,20
A0006,1770945319000,9
A0006,1771545571000,0
A0006,1772199505000,30
A0006,1772776706000,3
A0006,1773356095000,1
A0006,1773982614000,23
A0006,1774610815000,13
A0007,1767330771000,7
A0007,1767956651000,7
A0007,1768537547000,12
A0007,1769115556000,1
A0007,1769782426000,26
A0007,1770308280000,27
A0007,1770943052000,6
A0007,1771534782000,3
A0007,1772174263000,37
A0007,1772788334000,14
A0007,1773331300000,32
A0007,1774005103000,7
A0007,1774601070000,3
A0008,1767301820000,14
A0008,1767911193000,12
A0008,1768502557000,15
A0008,1769142925000,35
A0008,1769769491000,37
A0008,1770304915000,2
A0008,1770956062000,22
A0008,1771558051000,8
A0008,1772140108000,13
A0008,1772761304000,10
A0008,1773362340000,33
A0008,1773986790000,33
A0008,1774554255000,8
A0009,1767310573000,7
A0009,1767924267000,8
A0009,1768568370000,11
A0009,1769193648000,37
A0009,1769772495000,13
A0009,1770403995000,36
A0009,1770941987000,14
A0009,1771612252000,18
A0009,1772228842000,8
A0009,1772822484000,36
A0009,1773380148000,2
A0009,1773963879000,39
A0009,1774625842000,34
A0010,1767278955000,15
A0010,1767921644000,4
A0010,1768540594000,1
A0010,1769122456000,19
A0010,1769690729000,4
A0010,1770342145000,26
A0010,1770909711000,5
A0010,1771570930000,9
A0010,1772145650000,25
A0010,1772762493000,17
A0010,1773350106000,37
A0010,1773925717000,15
A0010,1774598553000,32
A0011,1767369343000,21
A0011,1767985030000,28
A0011,1768519277000,10
A0011,1769163098000,37
A0011,1769740802000,6
A0011,1770406329000,4
A0011,1771011436000,9
A0011,1771615677000,14
A0011,1772187853000,18
A0011,1772747069000,7
A0011,1773371291000,30
A0011,1774011299000,39
A0011,1774629753000,3
A0012,1767280857000,22
A0012,1767924228000,25
A0012,1768529259000,20
A0012,1769142445000,19
A0012,1769779223000,37
A0012,1770376602000,17
A0012,1770981633000,29
A0012,1771556640000,31
A0012,1772155890000,6
A0012,1772724012000,9
A0012,1773390938000,25
A0012,1773950960000,5
A0012,1774561015000,19
A0013,1767272510000,30
A0013,1767886968000,26
A0013,1768549076000,13
A0013,1769117984000,20
A0013,1769684713000,25
A0013,1770304064000,14
A0013,1770949433000,39
A0013,1771513595000,36
A0013,1772179641000,12
A0013,1772756677000,19
A0013,1773371605000,38
A0013,1773928006000,38
A0013,1774595772000,7
A0014,1767327548000,19
A0014,1767881435000,23
A0014,1768528346000,1
A0014,1769143017000,37
A0014,1769729518000,21
A0014,1770317069000,24
A0014,1770960764000,39
A0014,1771506778000,13
A0014,1772132328000,8
A0014,1772773441000,14
A0014,1773364450000,1
A0014,1773990255000,27
A0014,1774533288000,33
A0015,1767342490000,35
A0015,1767947776000,17
A0015,1768575675000,4
A0015,1769168076000,33
A0015,1769734424000,7
A0015,1770312482000,27
A0015,1770931186000,0
A0015,1771578657000,10
A0015,1772178724000,33
A0015,1772790430000,33
A0015,1773364287000,9
A0015,1773975701000,16
A0015,1774604809000,19
A0016,1767239583000,8
A0016,1767847497000,15
A0016,1768487697000,16
A0016,1769103489000,29
A0016,1769722309000,24
A0016,1770320302000,9
A0016,1770883701000,35
A0016,1771491144000,22
A0016,1772123737000,33
A0016,1772727293000,17
A0016,1773289499000,25
A0016,1773952082000,30
A0016,1774515474000,18
A0017,1767370643000,29
A0017,1767946871000,18
A0017,1768579035000,24
A0017,1769136042000,5
A0017,1769799739000,38
A0017,1770408105000,16
A0017,1770933607000,31
A0017,1771567394000,3
A0017,1772153236000,32
A0017,1772786156000,9
A0017,1773367027000,36
A0017,1773979548000,10
A0017,1774604948000,23
A0018,1767297349000,19
A0018,1767862299000,5
A0018,1768508719000,8
A0018,1769105819000,31
A0018,1769720527000,13
A0018,1770317966000,29
A0018,1770874264000,37
A0018,1771515338000,34
A0018,1772152811000,31
A0018,1772739655000,7
A0018,1773348938000,37
A0018,1773905036000,38
A0018,1774550673000,1
A0019,1767324379000,24
A0019,1767901406000,39
A0019,1768559132000,10
A0019,1769163931000,7
A0019,1769783942000,9
A0019,1770383282000,35
A0019,1770916860000,29
A0019,1771541971000,3
A0019,1772126776000,26
A0019,1772795256000,32
A0019,1773348697000,26
A0019,1774018569000,32
A0019,1774559010000,12
A0020,1767358950000,7
A0020,1767947816000,33
A0020,1768596125000,2
A0020,1769137444000,17
A0020,1769793605000,1
A0020,1770376042000,21
A0020,1770950929000,22
A0020,1771618288000,19
A0020,1772206101000,35
A0020,1772827340000,6
A0020,1773400937000,27
A0020,1774032389000,21
A0020,1774595155000,39
A0021,1767326550000,27
A0021,1767982772000,17
A0021,1768597787000,33
A0021,1769139327000,30
A0021,1769781474000,18
A0021,1770349139000,18
A0021,1771020358000,33
A0021,1771557106000,32
A0021,1772145245000,16
A0021,1772777686000,22
A0021,1773413110000,28
A0021,1773963348000,12
A0021,1774583771000,10
A0022,1767330632000,18
A0022,1767873551000,4
A0022,1768471189000,29
A0022,1769063077000,18
A0022,1769699954000,32
A0022,1770337695000,12
A0022,1770940963000,36
A0022,1771519705000,8
A0022,1772168898000,11
A0022,1772759684000,21
A0022,1773347336000,27
A0022,1773925376000,22
A0022,1774556094000,23
A0023,1767372002000,1
A0023,1767982096000,29
A0023,1768571305000,22
A0023,1769143039000,38
A0023,1769749150000,19
A0023,1770356886000,6
A0023,1770992709000,15
A0023,1771595814000,24
A0023,1772183713000,10
A0023,1772802738000,3
A0023,1773389327000,4
A0023,1773996502000,31
A0023,1774575538000,10
A0024,1767308753000,6
A0024,1767877921000,16
A0024,1768482321000,5
A0024,1769095597000,32
A0024,1769680234000,31
A0024,1770326181000,12
A0024,1770928973000,20
A0024,1771542454000,6
A0024,1772104137000,24
A0024,1772700118000,17
A0024,1773370398000,2
A0024,1773948375000,31
A0024,1774511406000,23
A0025,1767282013000,19
A0025,1767954380000,39
A0025,1768504351000,26
A0025,1769126243000,20
A0025,1769747915000,3
A0025,1770334538000,13
A0025,1770923118000,0
A0025,1771504981000,7
A0025,1772173802000,7
A0025,1772716094000,36
A0025,1773376372000,20
A0025,1773991271000,35
A0025,1774528054000,12
A0026,1767396991000,16
A0026,1767918173000,16
A0026,1768587018000,27
A0026,1769174176000,5
A0026,1769778466000,2
A0026,1770335815000,18
A0026,1771025940000,14
A0026,1771627650000,32
A0026,1772196197000,2
A0026,1772830575000,1
A0026,1773391318000,10
A0026,1774008081000,28
A0026,1774617579000,26
A0027,1767255890000,11
A0027,1767885153000,16
A0027,1768440265000,35
A0027,1769058072000,0
A0027,1769664760000,15
A0027,1770257215000,12
A0027,1770858948000,14
A0027,1771482393000,6
A0027,1772065150000,25
A0027,1772739414000,35
A0027,1773275063000,34
A0027,1773917122000,16
A0027,1774487312000,8
A0028,1767313759000,29
A0028,1767872328000,22
A0028,1768518712000,24
A0028,1769114957000,14
A0028,1769699643000,7
A0028,1770286423000,7
A0028,1770946330000,12
A0028,1771498200000,8
A0028,1772132802000,38
A0028,1772746678000,38
A0028,1773358778000,9
A0028,1773899946000,5
A0028,1774551343000,18
A0029,1767315043000,28
A0029,1767886571000,27
A0029,1768487164000,13
A0029,1769097851000,34
A0029,1769738839000,0
A0029,1770299168000,19
A0029,1770951657000,23
A0029,1771578219000,1
A0029,1772184234000,33
A0029,1772720162000,30
A0029,1773346019000,11
A0029,1773984164000,25
A0029,1774554498000,16
A0030,1767337129000,8
A0030,1767919194000,9
A0030,1768533108000,16
A0030,1769143494000,20
A0030,1769698497000,28
A0030,1770336720000,25
A0030,1770906718000,24
A0030,1771528401000,34
A0030,1772122500000,1
A0030,1772762844000,35
A0030,1773373791000,37
A0030,1773941666000,38
A0030,1774590061000,35
A0031,1767326116000,11
A0031,1767903973000,34
A0031,1768512230000,32
A0031,1769092882000,12
A0031,1769755943000,30
A0031,1770326822000,10
A0031,1770906375000,20
A0031,1771551158000,16
A0031,1772135922000,35
A0031,1772745507000,8
A0031,1773349744000,38
A0031,1773959903000,6
A0031,1774532380000,26
A0032,1767242794000,21
A0032,1767912063000,38
A0032,1768492463000,7
A0032,1769089814000,23
A0032,1769720771000,8
A0032,1770269818000,29
A0032,1770898523000,24
A0032,1771542238000,25
A0032,1772158512000,14
A0032,1772722045000,23
A0032,1773293681000,12
A0032,1773964008000,1
A0032,1774568630000,3
A0033,1767375779000,23
A0033,1767979996000,10
A0033,1768550569000,26
A0033,1769175179000,32
A0033,1769754471000,26
A0033,1770351647000,27
A0033,1770956786000,11
A0033,1771550735000,18
A0033,1772218848000,18
A0033,1772807038000,31
A0033,1773428035000,5
A0033,1774031300000,20
A0033,1774600013000,7
A0034,1767347981000,19
A0034,1767932209000,37
A0034,1768574389000,37
A0034,1769167453000,12
A0034,1769769388000,15
A0034,1770330424000,2
A0034,1770989833000,13
A0034,1771544245000,14
A0034,1772156756000,28
A0034,1772835430000,30
A0034,1773420618000,28
A0034,1773985778000,35
A0034,1774634613000,35
A0035,1767276280000,19
A0035,1767922823000,24
A0035,1768475183000,12
A0035,1769096358000,16
A0035,1769711464000,4
A0035,1770316933000,14
A0035,1770910389000,18
