prof_account_id,prof_event_time,credit_score,tier
A0000,1767236559000,807,gold
A0000,1774018141000,840,silver
A0001,1767286656000,581,bronze
A0001,1774821248000,659,silver
A0002,1767285427000,596,silver
A0002,1767661005000,649,bronze
A0003,1767277965000,317,silver
A0003,1768958545000,332,bronze
A0004,1767273129000,358,gold
A0005,1767297786000,467,gold
A0005,1772678337000,390,gold
A0006,1767229649000,452,bronze
A0006,1770955022000,373,gold
A0007,1767253590000,610,gold
A0007,1772194811000,639,gold
A0008,1767305386000,473,gold
A0008,1773466065000,430,bronze
A0009,1767296689000,592,silver
A0010,1767256311000,537,gold
A0010,1772899785000,460,silver
A0011,1767306090000,420,silver
A0011,1773009491000,371,silver
A0012,1767279098000,544,gold
A0012,1767496730000,555,silver
A0013,1767289588000,626,silver
A0013,1774013354000,556,silver
A0014,1767234554000,804,silver
A0014,1773789726000,738,gold
A0015,1767280493000,392,silver
A0015,1768972602000,472,bronze
A0016,1767307580000,659,bronze
A0017,1767252690000,693,silver
A0017,1774458643000,674,gold
A0018,1767294636000,585,silver
A0018,1774314457000,613,gold
A0019,1767250333000,789,silver
A0019,1769419168000,810,silver
A0020,1767272832000,681,bronze
A0021,1767273787000,329,silver
A0021,1771503381000,366,gold
A0022,1767252369000,565,bronze
A0022,1773187606000,544,silver
A0023,1767232918000,822,bronze
A0023,1773171229000,844,gold
A0024,1767232835000,464,bronze
A0024,1774201860000,390,silver
A0025,1767295718000,749,silver
A0026,1767241130000,729,gold
A0027,1767263529000,531,gold
A0028,1767234483000,390,silver
A0028,1770336191000,332,gold
A0029,1767228624000,846,silver
A0029,1774833026000,848,bronze
A0030,1767282275000,430,gold
A0030,1773852245000,415,bronze
A0031,1767247941000,616,bronze
A0031,1770770438000,551,bronze
A0032,1767279390000,666,gold
A0032,1769855050000,731,bronze
A0033,1767257264000,387,bronze
A0033,1773980543000,388,gold
A0034,1767287809000,648,gold
A0034,1772545218000,584,bronze
A0035,1767255799000,747,gold
A0036,1767307246000,441,silver
A0037,1767283088000,396,bronze
A0038,1767240064000,472,gold
A0038,1772262627000,434,silver
A0039,1767241726000,388,bronze
A0039,1770470404000,395,silver
A0040,1767278074000,473,bronze
A0041,1767307370000,345,gold
A0041,1774253713000,399,silver
A0042,1767279407000,705,bronze
A0043,1767294342000,718,silver
A0043,1771469404000,638,bronze
A0044,1767266675000,627,bronze
A0045,1767235362000,434,bronze
A0045,1768446652000,442,bronze
A0046,1767242570000,667,silver
A0047,1767307781000,618,silver
A0047,1773232425000,632,gold
A0048,1767249166000,498,silver
A0048,1772742488000,467,gold
A0049,1767235195000,451,gold
A0050,1767235164000,801,gold
A0050,1772224636000,850,silver
A0051,1767267929000,809,bronze
A0052,1767309230000,772,bronze
A0052,1768697010000,707,bronze
A0053,1767263023000,400,gold
A0053,1774967128000,453,gold
A0054,1767226776000,669,silver
A0054,1774457768000,711,bronze
A0055,1767274435000,442,bronze
A0055,1773496447000,459,gold
A0056,1767249621000,483,silver
A0056,1772721751000,450,gold
A0057,1767303865000,652,silver
A0058,1767281458000,832,bronze
A0059,1767273785000,596,bronze
A0059,1774524798000,517,gold
A0060,1767236423000,571,gold
A0061,1767236814000,439,gold
A0062,1767258366000,655,bronze
A0062,1774498881000,655,bronze
A0063,1767258379000,382,silver
A0064,1767238472000,487,gold
A0064,1770930184000,556,bronze
A0065,1767262602000,374,silver
A0065,1769449500000,340,gold
A0066,1767292888000,805,bronze
A0067,1767263973000,313,silver
A0067,1768855908000,324,silver
A0068,1767249399000,336,bronze
A0069,1767257995000,346,bronze
A0070,1767275761000,623,silver
A0070,1770964147000,597,silver
A0071,1767276422000,744,gold
A0071,1768213065000,822,gold
A0072,1767300241000,372,gold
A0072,1773731154000,436,bronze
A0073,1767232323000,743,bronze
A0073,1768344219000,808,gold
A0074,1767278792000,798,bronze
A0074,1774842437000,742,gold
A0075,1767275107000,684,bronze
A0076,1767291458000,439,bronze
A0076,1773039956000,390,silver
A0077,1767232935000,605,silver
A0078,1767246315000,521,gold
A0079,1767250962000,537,gold
A0080,1767278663000,570,bronze
A0080,1771410193000,546,bronze
A0081,1767258929000,429,bronze
A0081,1771289577000,468,silver
A0082,1767287678000,653,bronze
A0082,1773912555000,670,gold
A0083,1767277837000,344,gold
A0084,1767270335000,806,gold
A0084,1773603937000,796,silver
A0085,1767280342000,343,bronze
A0085,1774385920000,306,bronze
A0086,1767266375000,350,silver
A0087,1767243551000,311,gold
A0088,1767250964000,730,silver
A0088,1773710109000,660,silver
A0089,1767308500000,314,gold
A0089,1771594511000,305,bronze
A0090,1767252828000,805,bronze
A0090,1768614048000,850,silver
A0091,1767308293000,830,bronze
A0091,1771054891000,840,silver
A0092,1767232455000,500,silver
A0093,1767227806000,755,bronze
A0093,1774730816000,832,silver
A0094,1767281720000,304,bronze
A0095,1767246411000,774,silver
A0095,1767800252000,838,gold
A0096,1767226789000,536,silver
A0097,1767268722000,737,bronze
A0097,1771071134000,752,gold
A0098,1767285180000,302,silver
A0098,1769874883000,364,silver
A0099,1767227957000,665,gold
A0099,1770672447000,621,gold
