date,pm25,temperature,humidity,wind_speed,pressure,precipitation
2022-08-01,4.3,18.8,64,12.7,1007.9,0.0
2022-08-02,4.5,17.7,70,14.8,1009.7,0.8
2022-08-03,5.7,19.6,73,20.0,1009.0,0.1
2022-08-04,7.7,22.1,67,17.6,1009.9,0.2
2022-08-05,10.2,19.5,88,12.6,1006.9,14.1
2022-08-06,3.0,15.3,70,26.2,1009.2,1.4
2022-08-07,3.2,15.7,69,12.3,1015.4,0.5
2022-08-08,4.4,16.6,71,10.2,1019.4,0.0
2022-08-09,5.2,17.9,66,12.6,1023.5,0.0
2022-08-10,4.7,19.2,69,15.1,1020.7,0.0
2022-08-11,5.2,20.9,61,14.8,1017.3,0.0
2022-08-12,5.9,19.8,71,19.1,1018.6,0.0
2022-08-13,6.9,21.0,68,13.7,1017.6,0.0
2022-08-14,6.7,20.7,68,12.3,1014.6,0.0
2022-08-15,8.8,21.4,79,15.2,1010.7,3.9
2022-08-16,10.0,23.4,75,18.4,1007.7,1.0
2022-08-17,13.1,22.5,75,15.6,1007.9,0.9
2022-08-18,11.7,21.0,79,15.5,1012.0,1.3
2022-08-19,12.1,23.1,76,16.0,1010.7,0.6
2022-08-20,10.3,20.6,89,19.9,1007.4,17.7
2022-08-21,4.8,18.0,72,12.0,1008.3,0.1
2022-08-22,4.7,17.4,70,12.6,1013.3,0.0
2022-08-23,5.4,16.5,83,10.2,1018.8,1.9
2022-08-24,4.2,16.2,75,11.5,1021.1,0.0
2022-08-25,4.3,16.2,72,11.9,1021.9,0.0
2022-08-26,5.9,17.7,79,12.4,1016.2,0.0
2022-08-27,12.0,20.0,88,13.8,1011.2,13.6
2022-08-28,3.4,14.5,99,22.7,1012.5,30.0
2022-08-29,1.9,14.3,72,24.9,1016.2,2.8
2022-08-30,2.2,13.5,74,20.0,1019.7,0.2
2022-08-31,2.4,12.3,74,17.7,1021.6,0.4
2022-09-01,2.8,10.9,77,15.8,1021.0,0.2
2022-09-02,3.0,9.7,77,14.4,1022.1,0.8
2022-09-03,5.1,9.3,84,6.1,1022.8,1.2
2022-09-04,3.7,10.8,73,9.7,1026.4,0.2
2022-09-05,4.0,10.1,76,12.1,1028.3,0.0
2022-09-06,4.2,12.9,74,16.2,1021.1,0.0
2022-09-07,3.1,11.1,77,11.2,1019.2,0.0
2022-09-08,3.9,10.7,76,11.4,1020.8,0.3
2022-09-09,4.1,12.4,67,20.6,1018.4,0.0
2022-09-10,5.8,12.1,80,11.4,1015.4,0.7
2022-09-11,6.1,13.1,76,8.9,1013.6,0.0
2022-09-12,6.6,12.5,82,13.4,1011.1,0.0
2022-09-13,5.1,12.7,94,26.8,996.7,12.2
2022-09-14,4.1,12.1,82,18.7,988.3,0.5
2022-09-15,3.2,10.7,84,17.1,984.6,0.7
2022-09-16,3.9,10.5,87,15.3,985.6,0.5
2022-09-17,3.4,10.5,88,21.6,990.9,5.6
2022-09-18,4.4,10.0,84,15.5,997.9,0.3
2022-09-19,2.9,10.1,87,21.5,1002.8,1.1
2022-09-20,3.6,9.0,81,21.2,1013.5,1.2
2022-09-21,4.0,8.3,79,11.2,1020.7,0.0
2022-09-22,5.3,10.1,79,11.6,1018.1,0.0
2022-09-23,5.5,11.4,83,10.1,1012.7,0.0
2022-09-24,8.0,11.2,88,8.0,1011.0,0.8
2022-09-25,7.8,10.8,82,10.9,1006.8,0.3
2022-09-26,6.6,10.4,94,15.9,997.4,6.1
2022-09-27,8.5,11.4,91,18.2,999.7,5.0
2022-09-28,5.3,11.0,83,22.7,1001.8,2.6
2022-09-29,4.6,8.3,84,14.5,1001.9,0.2
2022-09-30,5.3,8.4,83,12.1,1006.3,0.1
2022-10-01,8.8,10.6,84,15.2,1002.3,0.7
2022-10-02,9.5,9.9,95,13.7,1002.1,8.9
2022-10-03,10.5,8.6,93,12.9,1010.1,0.6
2022-10-04,4.9,9.7,80,12.7,1009.0,0.7
2022-10-05,5.9,13.1,91,21.1,1001.4,1.1
2022-10-06,4.0,13.2,69,32.8,1001.0,0.8
2022-10-07,5.7,13.0,73,25.3,1006.3,0.0
2022-10-08,4.0,11.1,76,23.2,1001.4,1.1
2022-10-09,3.6,8.1,78,14.3,1013.0,0.0
2022-10-10,5.4,10.2,80,25.1,1010.6,0.8
2022-10-11,4.0,8.8,80,22.0,1006.3,0.7
