account_id,event_time,health_score
A0000,1767304531000,47.9
A0000,1772769091000,90.82
A0001,1767352082000,44.61
A0001,1773628874000,85.93
A0002,1767233489000,53.61
A0002,1774026037000,89.91
A0003,1767326956000,44.77
A0003,1772431506000,92.97
A0004,1767395715000,48.73
A0004,1772909157000,90.2
A0005,1767379699000,51.37
A0005,1773474734000,88.52
A0006,1767268379000,45.21
A0006,1773639389000,7.69
A0007,1767265755000,50.44
A0007,1773403515000,7.22
A0008,1767397172000,51.16
A0008,1774070309000,91.62
A0009,1767377052000,48.88
A0009,1773258483000,86.46
A0010,1767377617000,43.44
A0010,1772723214000,12.48
A0011,1767302634000,51.68
A0011,1773717210000,5.82
A0012,1767281792000,52.86
A0012,1773309346000,13.16
A0013,1767278970000,55.46
A0013,1773009951000,6.66
A0014,1767386910000,47.75
A0014,1774418345000,92.57
A0015,1767384098000,53.68
A0015,1774458435000,6.64
A0016,1767333564000,44.63
A0016,1773630264000,92.24
A0017,1767236280000,54.71
A0017,1772747930000,5.77
A0018,1767232626000,53.01
A0018,1772921540000,14.71
A0019,1767298930000,46.69
A0019,1773892909000,14.85
A0020,1767396651000,54.41
A0020,1774348403000,91.54
A0021,1767374759000,54.39
A0021,1773031116000,89.74
A0022,1767323475000,47.92
A0022,1774089407000,5.03
A0023,1767297388000,50.27
A0023,1773915851000,14.75
A0024,1767367039000,51.64
A0024,1773013071000,14.02
A0025,1767313371000,49.25
A0025,1773817235000,5.29
A0026,1767330852000,48.1
A0026,1772996773000,92.9
A0027,1767352045000,51.9
A0027,1773542710000,5.18
A0028,1767274479000,43.47
A0028,1772846155000,7.65
A0029,1767361613000,43.9
A0029,1773490959000,5.39
A0030,1767289983000,47.45
A0030,1772751115000,12.04
A0031,1767270621000,38.38
A0031,1773457746000,11.54
A0032,1767230733000,50.52
A0032,1773581148000,9.19
A0033,1767377470000,52.4
A0033,1772475448000,9.62
A0034,1767350566000,49.61
A0034,1772971508000,93.85
A0035,1767278371000,45.9
A0035,1773196805000,7.56
A0036,1767332125000,52.69
A0036,1774079349000,13.56
A0037,1767248633000,45.01
A0037,1773147161000,94.48
A0038,1767321389000,48.24
A0038,1773422522000,86.18
A0039,1767291832000,42.55
A0039,1773480542000,10.21
A0040,1767338227000,54.66
A0040,1773418921000,6.79
A0041,1767241921000,54.52
A0041,1772395220000,10.69
A0042,1767379108000,47.36
A0042,1773237747000,5.15
A0043,1767387151000,52.78
A0043,1774050693000,11.9
A0044,1767282415000,52.49
A0044,1773677572000,93.18
A0045,1767235888000,50.38
A0045,1773865037000,92.53
A0046,1767366339000,49.84
A0046,1774124232000,7.86
A0047,1767292088000,47.75
A0047,1773780590000,9.68
A0048,1767232695000,51.48
A0048,1774111450000,5.11
A0049,1767394296000,54.32
A0049,1774132206000,7.02
A0050,1767339611000,51.12
A0050,1774271977000,13.11
A0051,1767284430000,40.69
A0051,1773436564000,12.26
A0052,1767304980000,53.26
A0052,1774365969000,10.44
A0053,1767282203000,48.6
A0053,1772739536000,9.7
A0054,1767329750000,54.06
A0054,1773831191000,92.42
A0055,1767235282000,60.14
A0055,1773482909000,90.25
A0056,1767261055000,55.91
A0056,1774261539000,12.01
A0057,1767242033000,43.92
A0057,1773350132000,11.11
A0058,1767313172000,53.17
A0058,1773320229000,7.25
A0059,1767329981000,52.67
A0059,1773631246000,8.5
A0060,1767236458000,47.88
A0060,1773464413000,11.58
A0061,1767335500000,46.68
A0061,1772712732000,13.23
A0062,1767292605000,50.25
A0062,1773145518000,89.89
A0063,1767290147000,44.63
A0063,1773812828000,92.1
A0064,1767251635000,43.23
A0064,1773955647000,13.38
A0065,1767315797000,45.51
A0065,1774231296000,10.14
A0066,1767237448000,56.2
A0066,1774023854000,13.5
A0067,1767356872000,52.82
A0067,1773503412000,88.01
A0068,1767287966000,45.67
A0068,1773400012000,8.38
A0069,1767355625000,50.62
A0069,1773920146000,8.97
A0070,1767239645000,52.1
A0070,1772819933000,11.71
A0071,1767365308000,46.91
A0071,1773649180000,92.47
A0072,1767231475000,54.59
A0072,1772445224000,91.49
A0073,1767239960000,41.81
A0073,1773111747000,9.83
A0074,1767322327000,53.94
A0074,1772858513000,87.73
A0075,1767253340000,54.78
A0075,1773174330000,14.92
A0076,1767229310000,63.39
A0076,1773600533000,90.5
A0077,1767335406000,51.64
A0077,1773806840000,88.34
A0078,1767262564000,55.12
A0078,1773489480000,9.1
A0079,1767337530000,44.25
A0079,1773959967000,5.19
A0080,1767304592000,49.04
A0080,1774201736000,92.24
A0081,1767378647000,50.64
A0081,1772879595000,6.14
A0082,1767291048000,54.05
A0082,1774394914000,5.93
A0083,1767383405000,54.99
A0083,1773866811000,88.37
A0084,1767228948000,47.45
A0084,1773621518000,11.42
A0085,1767301087000,52.85
A0085,1773110470000,7.17
A0086,1767345268000,43.02
A0086,1773224110000,86.66
A0087,1767242055000,51.5
A0087,1773812226000,9.3
A0088,1767312823000,52.27
A0088,1773411050000,10.72
A0089,1767305289000,38.8
A0089,1773740596000,88.98
A0090,1767377557000,52.48
A0090,1773008416000,93.14
A0091,1767232429000,43.64
A0091,1774154185000,90.93
A0092,1767306134000,56.08
A0092,1773456523000,8.88
A0093,1767237836000,49.4
A0093,1772684151000,7.08
A0094,1767269531000,55.35
A0094,1772835226000,7.01
A0095,1767310596000,48.4
A0095,1772931138000,8.93
A0096,1767226476000,44.25
A0096,1774416690000,12.31
A0097,1767394889000,58.02
A0097,1773526801000,90.25
A0098,1767265501000,41.53
A0098,1774133796000,86.96
A0099,1767307008000,45.84
A0099,1774023746000,14.25
