item_id,embedding,label
I0000,"[-0.19622, -1.120968, 2.44658, -5.642448, -0.214894, 2.930229, 0.438837, 3.185031, 0.468773, -4.997158, -0.078597, -3.861425, 0.329315, 3.673347, 3.104816, -2.045164]",c4
I0001,"[2.551842, -5.426916, -0.173471, 1.530461, 2.938755, 0.540842, 1.484435, 1.941339, -5.98307, 1.18234, 4.591936, -2.707409, -6.765207, -5.432127, -1.207763, 5.415243]",c2
I0002,"[2.7916, 0.427577, 1.508704, 3.96466, 1.944011, -1.062051, -0.591439, -4.021518, -2.253572, 0.568903, -1.414854, -3.794068, 3.176315, -3.281238, -0.217213, -4.630869]",c3
I0003,"[3.385071, 0.07988, 1.467184, 3.964095, 1.127074, -1.082937, -1.059213, -3.505508, -2.043309, 0.711359, -2.443694, -2.442917, 3.714907, -4.463867, 0.538644, -5.219352]",c3
I0004,"[1.145025, -5.761593, -0.000686, 1.081546, 3.168303, 0.098092, 2.771862, 0.378375, -7.16984, 0.08925, 4.138706, -3.263881, -6.192555, -4.373953, -0.274679, 5.00094]",c2
I0005,"[-9.122542, 6.876627, -3.920464, -3.779128, -4.455883, 0.193483, -2.655561, -0.544433, 5.146286, -1.094083, -1.706115, -1.139517, 4.071773, -0.677577, 0.978396, -2.269774]",c0
I0006,"[4.288121, -2.717012, 1.672954, -2.168844, 3.049204, 3.488941, 1.762816, -2.056945, -4.371476, -0.045979, -6.832044, -2.16648, -4.202365, 1.383733, 3.69743, -1.434858]",c1
I0007,"[-0.308389, -1.5966, 2.363894, -7.027577, -0.893101, 1.699216, -0.06293, 2.573678, 0.191508, -4.484763, 0.910358, -4.13984, 0.164319, 3.534602, 3.477254, -2.27006]",c4
I0008,"[-5.088335, -1.375865, 3.796848, -3.573642, -1.7228, -0.586645, -1.243002, 0.381513, -2.661903, 1.65061, 0.422165, 1.17383, -3.388333, 0.513965, 0.505798, -3.722288]",c5
I0009,"[4.805939, -0.959383, -0.170825, -1.204816, 4.169295, 3.228131, 0.801253, -1.650355, -4.202373, -0.028005, -6.504027, -2.687636, -3.971003, 0.771186, 1.851012, -1.342214]",c1
I0010,"[-8.403644, 6.72032, -1.466891, -3.008985, -4.271025, -0.362907, -3.056287, -0.030504, 6.016236, -0.929256, -1.88199, -1.088539, 4.245366, 0.519618, 1.669422, -2.971289]",c0
I0011,"[-0.443431, -1.989464, 2.865238, -7.785843, -0.021554, 2.433311, 0.755698, 4.167193, 0.391493, -4.270821, 0.596697, -1.774213, 0.076965, 2.262378, 3.154248, -1.50505]",c4
I0012,"[3.938047, -0.619838, 2.27861, 4.10788, 0.33284, 0.239194, -1.159106, -3.060703, -1.898982, -0.542364, -1.634291, -2.315655, 3.2884, -3.630328, -0.083691, -4.936409]",c3
I0013,"[3.79647, 0.419193, 1.750995, 3.75993, 0.896314, -1.568215, -1.042796, -4.402596, -2.274929, 0.525045, -2.712037, -1.769625, 2.808538, -2.866657, -0.209959, -5.401874]",c3
I0014,"[-5.121776, -2.025098, 2.844573, -3.558487, -1.70644, -0.285675, 0.183576, 0.139308, -1.697296, 0.199825, 1.443339, 1.471506, -3.383106, 0.9756, 0.147043, -5.006931]",c5
I0015,"[-6.974709, 7.058621, -3.055291, -3.898507, -3.77522, -0.101591, -2.856815, 0.622029, 5.928683, -1.10156, -1.899978, -1.786224, 4.024033, 0.531029, 1.896906, -1.287955]",c0
I0016,"[-7.901464, 6.205162, -2.516034, -4.636287, -4.462348, -0.102153, -3.078942, 0.174333, 6.23212, -2.183789, -1.362261, -1.737141, 4.300317, -0.23647, 1.011574, -2.208749]",c0
I0017,"[1.83161, -4.509521, 0.186237, -0.123816, 3.156294, 0.666792, 2.175228, 1.218371, -6.669202, 0.373359, 3.740427, -2.759641, -5.770258, -5.141747, -0.243968, 4.318154]",c2
I0018,"[-8.550078, 5.727525, -3.265487, -3.067075, -4.832635, 0.259592, -1.933229, 1.013779, 6.354998, -0.358278, -2.15539, -1.687801, 4.641074, 0.876585, 0.64554, -1.908796]",c0
I0019,"[-5.514997, -2.422781, 3.331603, -2.383793, -1.074026, 0.256287, -1.626706, -0.101602, -2.056396, 1.805941, 1.977139, 2.818265, -3.244736, 0.401286, 0.450682, -4.673908]",c5
I0020,"[-4.478588, -2.922514, 2.988993, -3.030748, -0.922236, 0.589082, -0.807781, -0.880812, -1.967147, 1.208423, 1.503047, 1.081826, -2.90844, 1.137663, -0.024968, -4.64888]",c5
I0021,"[-0.337065, -1.866181, 2.275726, -7.053254, 0.443912, 3.088547, 1.686831, 3.705761, -0.493897, -4.596704, -0.644903, -2.45224, 0.401614, 3.754905, 3.339019, -0.296833]",c4
I0022,"[4.517855, -1.76501, 0.745708, -2.075637, 2.992344, 3.639002, 1.113991, -2.188343, -2.60887, -1.028547, -5.8558, -3.783074, -4.190628, 1.438515, 4.539893, -0.692767]",c1
I0023,"[-7.241615, 6.988856, -1.557861, -3.729885, -3.830671, -0.805066, -2.319484, -0.425942, 5.664481, -1.407777, -1.250381, -1.939547, 3.894606, -0.342729, 1.242647, -1.085545]",c0
I0024,"[-4.373533, -3.255718, 3.483424, -2.717293, -1.84743, 0.664518, -1.481675, -0.645647, -0.746273, 1.821303, 1.371013, 1.254458, -3.097389, 0.201169, 0.836343, -4.953514]",c5
I0025,"[4.265956, -2.147651, -0.316233, -1.704256, 3.595247, 3.78943, 0.872164, -2.194488, -2.917957, -0.55829, -4.965708, -2.751735, -4.405225, 0.634721, 2.652136, -0.80471]",c1
I0026,"[0.730722, -5.1524, 0.601133, 0.786989, 2.944773, 0.165197, 1.526533, 0.132575, -5.997217, -1.084987, 2.858712, -3.600424, -6.074911, -5.419989, -2.256301, 5.897246]",c2
I0027,"[-3.755514, -1.448397, 2.43817, -2.867421, -1.581139, -0.309398, -0.521927, 0.09755, -1.814236, 0.506368, 1.908063, 2.53338, -2.633089, 0.321536, 0.234792, -4.40237]",c5
I0028,"[-8.095549, 6.986579, -1.749253, -4.150288, -5.02026, -0.9253, -2.609786, 0.236886, 5.880749, -1.454439, -1.901536, -0.314126, 4.110795, -0.125281, 1.016728, -2.375938]",c0
I0029,"[-0.641398, -1.434279, 2.099025, -6.976534, 0.993428, 1.293662, 1.687844, 3.280891, 1.139467, -3.351675, 0.862714, -3.15865, -0.353724, 3.208544, 3.697324, -2.479285]",c4
I0030,"[2.442675, -4.709183, -0.37041, 0.033385, 3.529817, 0.851496, 2.44589, 1.246051, -5.368351, -0.991168, 3.147605, -3.250687, -5.493536, -5.263557, -0.714087, 5.848039]",c2
I0031,"[1.230243, -6.176603, 0.32641, 0.458242, 2.832332, 0.174235, 2.362045, 0.201527, -6.202743, -0.059255, 3.031387, -4.148329, -6.120342, -5.020889, -1.209881, 5.566407]",c2
I0032,"[-5.21349, -2.768417, 3.684059, -3.351698, -3.157637, 0.080802, -0.307537, 0.569438, -1.57997, 1.735767, 2.057863, 2.446249, -2.571014, 0.324697, 0.204751, -3.736084]",c5
I0033,"[-0.4028, -0.858639, 2.597868, -6.560121, -1.011984, 2.222593, 0.062548, 3.605631, 0.648553, -4.869861, 0.79252, -3.176139, 0.707578, 4.109072, 4.595671, -3.500947]",c4
I0034,"[3.454889, 0.853954, 0.616796, 3.602314, 2.179752, -0.722229, -0.578439, -3.197444, -1.884649, 2.054334, -1.638946, -1.957589, 3.096192, -3.72039, 0.068867, -3.853779]",c3
I0035,"[4.684919, -2.803197, 0.582159, -0.916313, 2.721378, 2.979131, -0.264186, -0.853368, -2.740382, -0.45947, -4.768493, -2.397857, -3.627979, 1.075742, 2.98109, -2.070909]",c1
I0036,"[-8.217285, 5.994459, -3.142065, -4.46137, -3.629991, -0.851204, -3.747535, -0.651208, 6.928395, -1.274235, -0.584622, -1.401878, 3.977225, 1.06042, 1.183071, -1.634382]",c0
I0037,"[2.935137, -5.49961, -0.62613, 0.684949, 3.652313, -0.852707, 1.334997, 0.784371, -5.304148, -0.702559, 3.079563, -3.406316, -5.807115, -4.4503, -2.161007, 5.686355]",c2
I0038,"[4.504143, -2.620921, 1.110203, -1.539922, 2.565767, 3.176885, 0.515502, -1.748779, -2.366274, -1.560466, -5.647527, -1.892248, -3.699947, 1.082389, 3.141494, -0.82667]",c1
I0039,"[4.312064, -2.448726, 0.520753, -1.08352, 2.726992, 3.629689, 1.451891, -2.064913, -1.734644, -0.796759, -5.74933, -1.26607, -3.555001, 0.901873, 1.965185, -0.822095]",c1
I0040,"[2.336044, -0.724371, 1.389346, 3.562861, 0.786183, -0.156014, -1.256325, -3.093709, -2.070724, 0.577047, -2.943409, -1.845349, 2.677697, -3.630993, 0.316437, -3.353836]",c3
I0041,"[-4.527435, -1.698804, 3.159734, -3.071486, -1.846147, -0.240252, -0.245501, -0.679578, -2.197125, 1.988926, 1.674076, 1.334841, -3.566161, 0.532308, -0.627606, -4.193011]",c5
I0042,"[-7.691812, 6.36817, -2.674485, -4.625421, -4.414929, -1.919077, -3.038208, -0.186482, 6.875385, -0.530125, -1.16996, -1.505531, 4.311997, -0.255573, 1.696247, -1.965614]",c0
I0043,"[-0.665392, -1.800942, 2.2641, -6.435068, -0.397946, 1.81565, 1.512106, 4.013232, 0.138424, -4.47218, 0.254379, -2.356274, 1.145637, 2.570636, 3.725398, -2.252353]",c4
I0044,"[0.942199, -1.62925, 2.543306, -7.106405, -0.040608, 2.460931, 0.268471, 2.956878, 0.355039, -4.328962, -0.026644, -3.795119, -0.019787, 2.429414, 3.699478, -2.000992]",c4
I0045,"[-7.914036, 6.061236, -1.851001, -2.948547, -5.26242, -0.387675, -3.525156, -0.651, 6.531088, -0.620543, -2.555408, -0.613801, 3.867113, 0.830689, 2.042354, -2.059582]",c0
