Q000|[-1.368242, 3.300119, -4.920091, -3.435829, 3.908487, -2.108397, -2.309557, 2.410522, -0.961702, 1.282589, 1.88752, 3.334497, 0.508315, -1.720958, -1.040038, -1.60877]
Q001|[3.696049, 0.068782, 2.790438, -3.710331, -3.385546, 4.516926, 0.307453, 5.231495, 3.138311, -2.77478, -0.030162, 2.116946, 0.742508, -5.707113, -1.614163, 5.507737]
Q002|[0.342934, -3.998812, 1.862909, -4.93829, 0.130951, -1.117673, 0.412788, 2.088716, 0.603886, 2.142031, -1.351174, -1.032642, 3.301663, -0.241857, -1.817291, 3.700077]
Q003|[-1.091358, -3.437918, 1.788074, -4.755937, 0.83446, -1.695787, 0.557277, 3.272457, 0.982153, 0.786547, -0.413394, -1.665013, 2.929627, -1.369954, -3.116458, 3.231508]
Q004|[-1.217294, 2.225525, -6.666949, -4.098611, 4.238175, -2.760473, -1.98014, 3.361715, -0.755798, 0.298624, 1.628851, 4.036849, 0.550797, -0.537357, -1.961316, -0.966843]
Q005|[-1.290637, -5.217839, -8.093019, 1.159867, -5.274721, 2.31524, 5.179097, -0.065738, 2.362368, 0.356307, 3.142575, -7.381788, -2.786572, 4.92145, -2.330267, 1.704719]
Q006|[4.557729, -1.25045, 0.813708, -3.417001, -2.597671, 4.069125, 0.071324, 5.573029, 3.844901, -3.013908, 0.166471, 2.044982, 2.223907, -6.122696, -0.419366, 6.110091]
Q007|[-2.085987, -3.530608, 1.534599, -5.98524, -0.484294, -0.879386, -0.180255, 2.68511, 1.565006, 1.070166, -0.750703, -1.205326, 2.13841, -0.978447, -2.70653, 2.875437]
Q008|[5.34497, -0.111197, 2.454307, -3.255374, -2.718554, 5.369046, 0.029916, 5.071643, 3.20148, -4.537123, -0.726224, 2.65007, 1.974483, -4.789499, -1.824313, 6.228499]
Q009|[-0.735798, -5.747329, -7.151101, 2.335928, -4.701937, 3.218318, 4.565671, -0.906071, 3.190662, -0.407121, 3.323187, -6.605455, -1.522894, 5.554627, -1.710537, 0.960833]
Q010|[-0.651407, -4.422275, 2.822053, -5.584366, 0.250591, -0.561118, 0.145647, 1.002337, 0.633592, 2.512181, -0.601227, -0.497556, 3.372005, -0.458411, -2.921065, 1.987758]
Q011|[4.207339, -0.075542, 2.595051, -3.510748, -2.410868, 4.00756, -0.207342, 5.398903, 2.499328, -2.674872, 0.441987, 2.806835, 1.017286, -5.622019, -1.877024, 5.327086]
Q012|[5.013272, 2.483572, 1.732314, 2.514049, -4.9431, -1.549572, -3.18037, -4.73774, -1.846701, 4.367346, 1.27989, -1.10994, 0.261018, 1.091834, 5.628271, -6.972384]
Q013|[3.977103, -0.604646, 2.756054, -2.579079, -3.502907, 4.420819, 0.229999, 5.54784, 4.148173, -2.329186, 0.742784, 2.225007, 1.476141, -5.172181, -1.599496, 5.670099]
Q014|[-4.43361, -2.454569, 1.289719, -1.730835, 2.043872, -2.668729, -0.483854, 1.083717, -5.739393, -1.089701, 3.569659, 1.076798, -0.260065, 3.613108, 2.218711, 1.516498]
Q015|[-1.750344, -1.368766, 1.46458, -1.117256, 1.558052, -2.618414, -0.100967, 1.856348, -3.442356, -1.782182, 3.375159, -0.014141, -0.04276, 2.433396, 4.047242, 0.50859]
Q016|[-1.748502, -4.184858, 1.106918, -5.724741, 0.15245, -1.307129, -0.246117, 2.537561, 0.908219, 2.707989, -1.826894, -0.006775, 3.087758, 0.297567, -1.543835, 3.135206]
Q017|[-2.319414, -1.881389, 0.981754, -1.4329, 3.177296, -2.857297, -0.827774, 1.942728, -5.511122, -0.429893, 3.476282, 1.11795, -0.223389, 3.342483, 3.090094, 0.764687]
Q018|[-1.101027, -4.240133, 1.411352, -5.886999, 1.364787, -0.453793, 0.07191, 2.423257, 0.937254, 0.970556, -1.896305, 0.199816, 2.600743, 0.973464, -3.600075, 2.823235]
Q019|[4.816899, -0.390053, 1.544904, -3.70854, -3.353108, 4.896023, -1.003422, 5.048614, 3.871539, -1.41903, -1.051318, 2.420055, 1.15695, -5.443647, -1.031191, 4.980519]
Q020|[-1.543354, -4.799163, -7.415101, 1.949634, -5.356233, 2.971341, 4.277762, -0.602286, 3.046348, 0.529095, 2.536743, -7.842596, -1.488404, 5.060992, -2.758, 1.692094]
Q021|[4.663219, 1.828673, 2.486213, 0.723567, -5.049724, -1.919019, -4.48256, -3.838988, -1.304157, 4.024917, 0.020216, 0.265776, 0.596235, 0.329934, 4.681288, -6.686794]
Q022|[5.773213, 3.039138, 2.203911, 1.061288, -3.369389, -0.633385, -3.720585, -4.317851, -2.17703, 3.781671, 0.509143, -0.37348, 0.217037, -0.195423, 4.644904, -5.696262]
Q023|[4.261218, -1.845485, 1.822119, -2.602723, -2.960785, 4.90346, 2.439031, 5.593894, 2.44619, -3.042903, 1.24193, 2.861728, 1.192776, -4.842177, -2.061171, 5.352933]
Q024|[-2.927858, -2.535013, 0.786699, -1.527802, 1.294292, -3.259997, 0.697094, 1.243409, -6.395433, -1.89877, 1.697485, -0.791715, 0.43484, 3.795675, 2.428404, 0.302401]
