item_id,e1,e2,e3,e4,e5,e6,e7,e8
I0000,0.5053,0.3949,-0.3681,0.0618,0.5245,-0.4957,1.8795,-0.5373
I0001,-0.7793,-0.9933,2.3818,0.6664,0.5234,-0.5875,0.007,1.5433
I0002,0.2633,0.3305,0.7444,1.0956,-1.1894,-0.7482,-1.052,-1.3933
I0003,0.613,0.8322,-0.2915,-0.9379,0.557,-0.3628,1.3995,0.0761
I0004,0.802,1.1486,0.7948,-1.013,-1.3349,-0.6417,0.4563,0.2362
I0005,0.613,0.8322,-0.2915,-0.9379,0.557,-0.3628,1.3995,0.0761
I0006,-0.2054,-0.3199,0.6249,0.1555,0.6295,0.0846,0.1834,-0.6343
I0007,-0.3166,0.7792,1.0184,1.5788,-0.3062,0.82,-0.7706,-0.1929
I0008,-1.1325,-1.1688,-0.7219,0.6979,-0.1231,-0.2824,-0.1317,0.1852
I0009,-0.2714,0.1444,-1.2762,-0.7603,1.8659,0.9161,0.5413,-0.1585
I0010,0.5488,0.1915,0.1928,0.5288,-0.6246,1.4397,0.6405,-0.0682
I0011,-0.6267,-1.6537,-2.5314,1.6253,-0.095,-1.2538,-0.2015,-0.0826
I0012,-0.7415,-0.0017,1.0796,0.6522,-0.6366,0.2572,2.4108,-0.226
I0013,-0.8707,-1.2979,-0.6465,-0.0519,2.2719,0.9477,1.2462,-0.5687
I0014,1.3443,1.5806,-2.3723,0.9285,-1.1276,0.1509,0.6363,0.3551
I0015,1.8092,-0.3512,1.3561,-1.0618,0.4859,-1.2513,-0.4092,-0.2755
I0016,-0.2895,-1.0971,-0.4442,-0.1714,-1.192,-1.1053,-0.0665,-0.2516
I0017,-0.5607,-0.1253,1.2552,2.6174,0.5222,-1.3592,0.3315,1.1966
I0018,-0.206,-1.0713,-0.4295,-0.3821,-0.2412,0.8394,1.6652,-0.2905
I0019,1.5456,-1.0227,0.366,1.7908,-0.0394,0.6908,-0.1357,-0.8872
I0020,1.1706,-0.1303,-1.1524,-1.3193,0.2652,-0.1523,0.6328,-0.964
I0021,1.4167,-0.2304,0.1789,0.2757,-1.3337,-0.4676,1.7161,0.4677
I0022,-2.4109,-0.7593,1.2578,0.1886,0.5001,0.5547,0.6009,-0.7378
I0023,0.4865,-0.3642,-0.3459,1.2315,1.1114,0.3095,0.1434,-0.8903
I0024,-0.8777,0.2309,0.9634,1.3347,0.7606,-0.3208,-1.0893,0.3366
I0025,0.2633,0.3305,0.7444,1.0956,-1.1894,-0.7482,-1.052,-1.3933
I0026,0.2517,-2.5594,-1.2315,-0.3547,-2.2513,-1.5185,0.5786,0.8539
I0027,0.243,1.0706,0.5404,-2.1093,-0.2412,0.6759,0.7362,1.3606
I0028,1.0212,1.2195,0.1252,1.7226,-0.7474,0.6614,-0.1702,-0.1097
I0029,0.0348,-1.1725,1.6371,1.4777,-2.2178,-1.3192,2.573,-0.9889
I0030,-0.217,0.2929,-0.733,-0.3329,-0.7615,-0.2858,1.0821,0.7329
I0031,0.0353,-0.104,-0.8563,-0.3253,0.6222,0.2867,1.8879,-1.0827
I0032,-0.7526,0.5905,-1.4227,-0.7483,-0.4124,-0.5076,-1.6891,-0.6692
I0033,1.2473,0.7943,-0.1488,-1.1116,0.307,1.1031,-1.2293,-0.7142
I0034,-0.217,0.2929,-0.733,-0.3329,-0.7615,-0.2858,1.0821,0.7329
I0035,-0.4969,1.8433,0.0564,2.5412,-0.3945,-0.2069,0.5701,1.9716
I0036,1.4642,0.7803,-0.9817,2.1386,1.5948,-0.8833,2.2167,-2.4692
I0037,1.8092,-0.3512,1.3561,-1.0618,0.4859,-1.2513,-0.4092,-0.2755
I0038,0.764,0.2566,2.2726,-0.5974,0.161,0.7539,0.2863,0.875
I0039,0.2056,-0.0396,-0.6137,0.5234,-0.3576,0.522,0.1107,-1.1138
I0040,-1.0366,0.6446,-1.7193,-0.9849,-0.1401,-1.7899,0.497,0.0515
I0041,-0.5874,-0.3014,-1.1899,-1.4654,-1.5694,-0.0039,-1.8574,0.0043
I0042,2.3755,1.0655,-0.3948,-2.376,0.3289,-0.2638,0.6721,-0.2273
I0043,-0.3988,1.1735,0.6995,0.3807,0.1499,0.3752,0.2894,0.2568
I0044,-0.7114,-1.9669,-0.6218,0.404,-1.1494,0.796,1.5158,1.1599
I0045,0.4106,1.0385,-0.0915,0.2928,-0.2378,0.086,-0.2003,0.1079
I0046,1.1706,-0.1303,-1.1524,-1.3193,0.2652,-0.1523,0.6328,-0.964
I0047,1.616,0.387,-0.3415,0.7486,-0.7908,1.5996,-0.7597,-0.1579
I0048,-1.0114,0.1137,0.6272,-0.9294,1.1162,0.9072,-1.4103,0.2154
I0049,-0.0606,0.7577,-1.3775,0.8457,0.4333,1.3008,0.2996,1.939
I0050,0.2876,1.4895,-1.7955,0.5639,1.6078,-0.0079,-0.0389,-1.2831
I0051,-0.7793,-0.9933,2.3818,0.6664,0.5234,-0.5875,0.007,1.5433
I0052,0.5023,-1.3109,-0.1746,0.0339,1.1745,-0.5855,0.7476,0.7797
I0053,0.3111,-0.0,0.6859,0.5595,0.1494,0.0292,-1.582,0.4221
I0054,0.587,0.5299,-1.6712,0.0158,0.4341,0.1446,-0.1077,0.716
I0055,0.1159,-0.02,-0.2803,-0.3843,-0.9792,1.2412,-0.5113,1.0555
I0056,-0.4564,0.3939,-0.745,-0.322,-0.5411,0.6398,0.2526,0.2616
I0057,-0.2895,-1.0971,-0.4442,-0.1714,-1.192,-1.1053,-0.0665,-0.2516
I0058,-0.0074,-1.0059,0.42,-0.4219,-2.5039,-0.0452,0.548,0.2319
I0059,-0.5607,-0.1253,1.2552,2.6174,0.5222,-1.3592,0.3315,1.1966
