item_id,e1,e2,e3,e4,e5,e6,e7,e8
I0000,1.6366,0.1003,-0.0763,-1.604,-0.0372,1.2076,0.1314,0.0287
I0001,-1.2407,0.5791,0.8027,0.3045,-0.4412,1.424,0.0975,1.9913
I0002,-0.0087,-0.8141,2.0842,-1.1057,-0.6887,-0.3761,1.5071,-0.343
I0003,1.7169,-0.2417,0.6919,-0.0962,-0.9117,0.5391,-1.0204,-1.5152
I0004,0.9973,-0.7396,0.0462,0.0864,-1.5086,0.011,-0.2775,-0.3001
I0005,0.9973,-0.7396,0.0462,0.0864,-1.5086,0.011,-0.2775,-0.3001
I0006,0.0025,-2.5703,1.0217,1.1379,0.2687,1.4981,0.0318,1.8061
I0007,-0.6791,0.524,-2.4144,-0.5702,-1.2332,0.3709,-0.589,-2.0853
I0008,0.4143,-0.2884,-1.0665,-0.1075,-0.9876,1.1743,0.1379,-0.0631
I0009,1.2453,-0.3854,-0.8898,0.9913,-1.2403,-0.6941,1.7003,0.5257
I0010,-0.9567,1.7409,0.2191,0.1181,-1.8459,0.3999,0.987,-0.731
I0011,-0.3218,0.8207,-0.216,-1.3809,0.3181,-1.4378,0.2227,-1.312
I0012,0.4143,-0.2884,-1.0665,-0.1075,-0.9876,1.1743,0.1379,-0.0631
I0013,-0.1397,-1.1642,-1.1891,-0.6072,0.481,1.5313,-0.4014,-1.429
I0014,-0.1397,-1.1642,-1.1891,-0.6072,0.481,1.5313,-0.4014,-1.429
I0015,0.0187,-0.1554,-0.905,1.0398,1.8076,-0.1478,-0.5271,0.0654
I0016,-0.7416,0.6883,-0.1042,1.1349,-0.4453,-0.8953,-0.0485,-1.1052
I0017,0.6236,1.1826,0.4504,-1.3079,2.9809,0.7863,-0.2534,-1.1938
I0018,-0.6871,-1.4321,-0.4134,1.4216,-2.3542,0.3939,-0.7052,2.0857
I0019,-0.0663,1.0449,-0.5367,0.6074,-1.0665,0.6348,-0.927,0.5551
I0020,1.6365,-0.5136,0.7116,-0.4491,0.0208,0.6866,1.1965,-0.9157
I0021,0.1182,0.7258,0.7289,1.0297,0.1933,-2.5979,-0.8488,0.7318
I0022,-0.8464,-0.7419,0.6043,-0.4002,1.5823,0.5804,0.7108,0.6408
I0023,-0.6893,-0.0378,1.1994,-0.8687,-0.2615,0.3274,0.9592,-1.2517
I0024,0.219,0.2244,-0.5733,0.0813,-1.9208,-0.5933,-1.8762,0.6658
I0025,0.0029,2.037,0.0099,-0.7324,-0.9282,-1.1907,-0.3465,0.8659
I0026,0.3962,-0.0409,-0.0853,-0.5368,0.4839,-1.0306,1.4386,-0.8506
I0027,-0.6067,-0.016,-0.86,-0.7854,-0.5243,-0.5127,0.9475,0.7672
I0028,1.3967,-0.5533,0.0051,0.4044,-0.4856,-0.2632,-0.1421,-0.0826
I0029,-0.7416,0.6883,-0.1042,1.1349,-0.4453,-0.8953,-0.0485,-1.1052
I0030,0.8396,2.7022,1.4046,-0.5628,-1.049,0.4799,0.7045,-0.6621
I0031,-0.7529,-0.4862,-0.2512,1.4359,-0.4928,-1.5498,1.2413,0.4993
I0032,0.0152,0.9417,-0.2765,0.7174,0.4766,1.3467,1.6794,0.1522
I0033,1.2074,0.442,-0.0469,-1.3931,-0.1922,0.4961,1.9378,1.8493
I0034,-0.2764,1.9268,-0.0986,0.5316,0.6056,-0.5603,-1.198,-0.4974
I0035,1.143,-1.223,-0.6538,1.3281,-0.0021,0.8384,-1.1016,1.7118
I0036,2.2485,-1.4125,-1.4891,1.3517,-0.1163,-0.8295,-1.4258,-1.1283
I0037,-0.0712,0.439,0.1855,-0.5112,1.4556,-0.6429,0.547,-0.842
I0038,0.3363,-0.1403,0.1315,-2.1345,-0.082,0.0929,-0.4287,-0.6383
I0039,-0.4818,0.119,1.6509,-0.0163,-2.5922,1.0013,1.9933,0.2018
I0040,-0.9567,1.7409,0.2191,0.1181,-1.8459,0.3999,0.987,-0.731
I0041,1.3967,-0.5533,0.0051,0.4044,-0.4856,-0.2632,-0.1421,-0.0826
I0042,0.3841,0.0799,-0.3376,-0.3224,2.0065,1.3798,-0.8369,-0.0003
I0043,-0.3057,-0.3793,-0.8898,-0.8137,0.1701,-0.9665,-0.6744,-1.2572
I0044,1.303,-0.8954,0.0934,-2.1335,-1.2735,0.555,-2.0462,1.3385
I0045,0.2236,0.5546,-0.7382,-1.3746,-1.7029,0.8575,-0.2426,-2.5481
I0046,-0.2913,-0.374,1.0429,-0.2713,-0.4045,0.0367,-1.4024,-0.4193
I0047,-0.4349,0.437,-1.2045,-0.4745,-0.3355,1.4363,0.4817,-0.3283
I0048,-1.6335,0.958,-0.9089,-1.7977,0.1732,-1.2927,0.9285,-0.7904
I0049,1.143,-1.223,-0.6538,1.3281,-0.0021,0.8384,-1.1016,1.7118
I0050,0.3321,0.0998,-0.7107,-0.2002,-0.006,-0.9077,-0.6742,1.0104
I0051,-0.175,0.2669,0.8997,-0.499,-0.8224,1.5392,0.2593,0.2466
I0052,-1.1028,0.529,0.3394,0.2098,0.2518,0.5398,-0.9441,0.8606
I0053,-2.632,0.7341,2.0058,-0.0138,-0.7555,-0.2807,2.4632,1.1987
I0054,1.1845,0.5155,0.2219,-1.2959,-0.4321,-0.6984,-1.162,-1.6093
I0055,0.3321,0.0998,-0.7107,-0.2002,-0.006,-0.9077,-0.6742,1.0104
I0056,-0.5756,-0.9541,3.4986,0.3876,-0.1752,1.0055,-0.0206,-0.917
I0057,-0.0997,-0.4004,0.3128,1.1415,1.3437,0.2716,-0.5846,0.3419
