account_id,label_time,churned,acct_t,et_t,amount,balance,acct_p,et_p,credit_score,tier,acct_a,et_a,sessions_7d,acct_h,et_h,health_score
A0003,1772138578000,0,A0003,1771869565000,18.69,5758.88,A0003,1767285544000,329,silver,A0003,1771574586000,28,A0003,1767244631000,56.59
A0004,1773437043000,0,A0004,1773374623000,18.07,5786.51,A0004,1767300522000,557,silver,A0004,1773370932000,3,A0004,1767272360000,55.93
A0012,1773385287000,0,A0012,1771760377000,143.71,7522.41,A0012,1767236341000,528,silver,A0012,1772716425000,6,A0012,1767291127000,44.12
A0040,1772081180000,1,A0040,1771568279000,24.18,5075.04,A0040,1768137166000,468,bronze,A0040,1771533123000,20,A0040,1767304825000,45.38
A0057,1772410323000,0,A0057,1770283398000,224.71,3587.32,A0057,1767303951000,364,silver,A0057,1772133955000,5,A0057,1767367026000,46.95
A0068,1772470183000,1,A0068,1771774474000,33.3,7777.31,A0068,1767302643000,642,silver,A0068,1772164918000,8,A0068,1767258577000,48.34
A0016,1772954601000,0,A0016,1772660851000,206.79,6312.18,A0016,1767274065000,676,bronze,A0016,1772773095000,12,A0016,1767330922000,47.5
A0030,1772498313000,1,A0030,1771068959000,53.17,-265.26,A0030,1767566929000,457,gold,A0030,1772166726000,13,A0030,1767252295000,50.39
A0042,1773372065000,0,A0042,1772817878000,37.9,1999.06,A0042,1767282275000,327,bronze,A0042,1773345929000,37,A0042,1767288374000,51.21
A0043,1773093565000,0,A0043,1771241007000,11.76,1935.14,A0043,1767250402000,779,gold,A0043,1772774356000,25,A0043,1767321498000,55.69
A0044,1773168240000,1,A0044,1772883786000,40.62,5828.56,A0044,1767248859000,538,bronze,A0044,1772823606000,38,A0044,1767235817000,53.89
A0054,1773273666000,0,A0054,1772672426000,4.38,3989.83,A0054,1767254905000,437,gold,A0054,1772806729000,17,A0054,1767282230000,58.19
A0056,1772428885000,0,A0056,1769950068000,69.81,-97.63,A0056,1767235321000,533,silver,A0056,1772199983000,9,A0056,1767369297000,46.29
A0000,1773363152000,0,A0000,1772995944000,35.52,5276.4,A0000,1767259787000,426,bronze,A0000,1773353969000,21,A0000,1767377740000,39.79
A0006,1773467972000,1,A0006,1773056184000,27.99,6828.62,A0006,1767297280000,366,gold,A0006,1773393314000,24,A0006,1767245569000,52.37
A0015,1772777679000,0,A0015,1772696443000,6.95,4357.73,A0015,1767762813000,622,silver,A0015,1772175205000,11,A0015,1767282943000,39.31
A0021,1772008256000,0,A0021,1770208994000,8.61,1472.75,A0021,1767258685000,440,bronze,A0021,1771592206000,39,A0021,1767307925000,45.27
A0037,1773156060000,1,A0037,1773078277000,27.72,4465.82,A0037,1772343353000,503,silver,A0037,1772815658000,4,A0037,1767245130000,48.91
A0050,1772977767000,0,A0050,1772801419000,55.17,3129.1,A0050,1767267292000,528,gold,A0050,1772748863000,8,A0050,1767227769000,46.15
A0064,1773028291000,0,A0064,1772058760000,52.01,2813.18,A0064,1767277992000,695,silver,A0064,1772758398000,20,A0064,1767348536000,53.19
A0069,1773698121000,0,A0069,1771574106000,27.13,7322.77,A0069,1767263144000,651,bronze,A0069,1773330814000,6,A0069,1767277361000,46.06
A0081,1773268316000,0,A0081,1773013835000,24.86,3199.68,A0081,1767302620000,637,silver,A0081,1772817501000,25,A0081,1767333896000,42.79
A0087,1773648414000,1,A0087,1771972339000,13.62,5488.61,A0087,1768572477000,727,gold,A0087,1773382748000,4,A0087,1767230880000,50.86
A0009,1772892826000,1,A0009,1771516607000,28.54,3679.43,A0009,1767310426000,395,bronze,A0009,1772807744000,7,A0009,1767236157000,55.46
A0010,1772381377000,0,A0010,1771919093000,79.03,968.97,A0010,1771860653000,580,silver,A0010,1772152751000,27,A0010,1767379290000,50.88
A0018,1772865087000,0,A0018,1772305870000,30.53,2012.32,A0018,1767302209000,749,bronze,A0018,1772779578000,36,A0018,1767255934000,47.38
A0022,1772620703000,0,A0022,1770963081000,25.64,3380.7,A0022,1767246955000,549,silver,A0022,1772146181000,37,A0022,1767259521000,49.92
A0041,1772060200000,1,A0041,1771501326000,63.99,5659.05,A0041,1770031092000,692,bronze,A0041,1771573222000,18,A0041,1767391089000,47.36
A0062,1772878605000,0,A0062,1771576111000,94.27,2832.79,A0062,1767258150000,450,silver,A0062,1772770050000,9,A0062,1767298183000,53.91
A0086,1773335872000,0,A0086,1772027203000,31.39,4762.84,A0086,1767259827000,818,bronze,A0086,1772775107000,11,A0086,1767381155000,54.32
A0014,1772948683000,1,A0014,1770594432000,32.12,9721.83,A0014,1767238632000,625,silver,A0014,1772816134000,5,A0014,1767236256000,45.02
A0020,1773293069000,1,A0020,1773169329000,27.74,5486.41,A0020,1767311499000,502,gold,A0020,1772749687000,37,A0020,1767391770000,49.63
A0052,1773165258000,1,A0052,1772986049000,16.08,4210.59,A0052,1767278052000,654,gold,A0052,1772729750000,29,A0052,1767344085000,52.91
A0059,1773040829000,1,A0059,1769477309000,24.25,5327.0,A0059,1767300867000,569,gold,A0059,1772717328000,5,A0059,1767258836000,47.26
A0065,1773409058000,1,A0065,1773330658000,23.43,4124.69,A0065,1767282371000,544,silver,A0065,1773311402000,38,A0065,1767395944000,60.44
A0077,1772791299000,1,A0077,1772527347000,25.39,-119.15,A0077,1767296461000,713,gold,A0077,1772749891000,24,A0077,1767332874000,55.02
A0001,1773001119000,1,A0001,1771080176000,5.19,7407.77,A0001,1767232946000,445,gold,A0001,1772737384000,26,A0001,1767297569000,47.49
A0039,1773382441000,1,A0039,1771395497000,186.26,6294.69,A0039,1767273189000,371,silver,A0039,1773374462000,38,A0039,1767358003000,35.92
A0049,1773193352000,1,A0049,1772925128000,48.56,5178.91,A0049,1767278214000,424,gold,A0049,1772695295000,35,A0049,1767333640000,50.34
A0085,1772355288000,1,A0085,1771362765000,4.96,8553.92,A0085,1771952371000,459,gold,A0085,1772145924000,8,A0085,1767397709000,54.23
A0097,1773354212000,1,A0097,1772872598000,50.81,7257.91,A0097,1769416389000,613,silver,A0097,1773350683000,28,A0097,1767279425000,48.45
A0027,1772286780000,0,A0027,1772008159000,39.23,9360.78,A0027,1767985314000,606,bronze,A0027,1772083589000,23,A0027,1767307714000,54.89
A0038,1772690438000,0,A0038,1772569926000,65.0,5278.62,A0038,1767263054000,721,bronze,A0038,1772173584000,32,A0038,1767358960000,42.33
A0060,1772203000000,1,A0060,1772068576000,25.52,3877.59,A0060,1769881916000,776,bronze,A0060,1772166137000,18,A0060,1767235522000,50.68
A0066,1773618548000,1,A0066,1771746152000,34.36,4984.64,A0066,1767226149000,587,gold,A0066,1773392058000,15,A0066,1767310955000,47.95
A0071,1773634026000,0,A0071,1773455712000,16.37,4161.87,A0071,1767284640000,818,gold,A0071,1773356032000,2,A0071,1767299057000,48.4
A0075,1773461690000,0,A0075,1771994878000,55.4,3426.01,A0075,1768024917000,764,gold,A0075,1773319602000,19,A0075,1767239392000,55.5
A0079,1773106283000,0,A0079,1770772213000,49.7,6059.91,A0079,1767247857000,653,bronze,A0079,1772763593000,1,A0079,1767306756000,42.51
A0080,1772087661000,1,A0080,1771079687000,2.48,8159.39,A0080,1768096317000,784,gold,A0080,1771592767000,1,A0080,1767323568000,53.81
A0093,1773174510000,0,A0093,1771791469000,36.68,8217.66,A0093,1767295664000,845,bronze,A0093,1772714178000,34,A0093,1767255521000,55.43
A0007,1773011067000,0,A0007,1772935514000,6.22,5020.26,A0007,1767268048000,839,gold,A0007,1772733730000,30,A0007,1767261812000,50.58
A0019,1772983170000,0,A0019,1770833964000,13.74,641.64,A0019,1767287755000,688,gold,A0019,1772751044000,23,A0019,1767371141000,55.53
A0024,1772477245000,0,A0024,1772157567000,23.98,5256.13,A0024,1767268882000,347,gold,A0024,1772144149000,3,A0024,1767245416000,41.19
A0033,1772251539000,1,A0033,1769165125000,66.11,1509.38,A0033,1767292239000,477,silver,A0033,1772141393000,9,A0033,1767260130000,53.49
A0051,1773314944000,0,A0051,1773202005000,18.94,4846.94,A0051,1768727668000,482,silver,A0051,1772756088000,29,A0051,1767266972000,50.14
A0089,1772268200000,0,A0089,1771282958000,72.63,10043.01,A0089,1767256195000,346,silver,A0089,1772143299000,16,A0089,1767266846000,53.5
A0002,1773366858000,0,A0002,1772936339000,157.65,5967.26,A0002,1767241470000,451,gold,A0002,1772803106000,16,A0002,1767252647000,50.04
A0078,1773090236000,1,A0078,1772631926000,260.94,3239.97,A0078,1769942520000,363,silver,A0078,1772751283000,0,A0078,1767357834000,50.36
A0084,1772127286000,1,A0084,1772061193000,41.03,6126.75,A0084,1767233399000,500,bronze,A0084,1771559226000,14,A0084,1767340277000,49.94
A0092,1772357397000,0,A0092,1771814169000,110.46,7562.99,A0092,1767292209000,321,bronze,A0092,1772177898000,3,A0092,1767325986000,51.39
A0094,1772462820000,0,A0094,1771815809000,4.11,2410.73,A0094,1767269557000,791,silver,A0094,1772151388000,32,A0094,1767247062000,43.83
A0096,1772784365000,0,A0096,1772224103000,36.13,4468.64,A0096,1767304950000,510,gold,A0096,1772749812000,29,A0096,1767236652000,55.09
A0005,1772289045000,0,A0005,1771875309000,67.24,3847.58,A0005,1771930321000,512,gold,A0005,1772161812000,27,A0005,1767265847000,55.34
A0025,1772963139000,1,A0025,1771383750000,66.7,8855.68,A0025,1767228781000,618,bronze,A0025,1772719178000,26,A0025,1767300253000,39.34
A0035,1772553819000,1,A0035,1771922875000,3.88,5618.76,A0035,1767248984000,467,bronze,A0035,1772131981000,10,A0035,1767265169000,52.45
A0045,1773142231000,0,A0045,1772252841000,29.51,2465.32,A0045,1767275053000,715,silver,A0045,1772756784000,2,A0045,1767284583000,55.61
A0046,1772894753000,1,A0046,1772054808000,13.59,1921.3,A0046,1767869787000,499,silver,A0046,1772819401000,35,A0046,1767383913000,45.95
A0083,1772360343000,1,A0083,1772061428000,10.14,6964.46,A0083,1767266940000,766,bronze,A0083,1772114593000,17,A0083,1767393221000,47.16
A0095,1772298698000,1,A0095,1771972771000,27.66,3560.14,A0095,1767304438000,652,bronze,A0095,1772147578000,7,A0095,1767294764000,47.44
A0098,1772554547000,0,A0098,1771101482000,192.39,6730.99,A0098,1770818686000,583,bronze,A0098,1772193773000,9,A0098,1767233356000,46.85
A0013,1773089019000,0,A0013,1772406926000,14.87,8881.75,A0013,1767620058000,498,bronze,A0013,1772739934000,13,A0013,1767233077000,51.4
A0036,1772019171000,0,A0036,1770965819000,7.21,5545.71,A0036,1767231808000,435,silver,A0036,1771590219000,16,A0036,1767271483000,51.02
