account_id,label_time,churned,amount,balance,credit_score,tier,sessions_7d,health_score
A0003,1772138578000,0,18.69,5758.88,329,silver,28,56.59
A0004,1773437043000,0,18.07,5786.51,557,silver,3,55.93
A0012,1773385287000,0,143.71,7522.41,528,silver,6,44.12
A0040,1772081180000,1,24.18,5075.04,468,bronze,20,45.38
A0057,1772410323000,0,224.71,3587.32,364,silver,5,46.95
A0068,1772470183000,1,33.3,7777.31,642,silver,8,48.34
A0016,1772954601000,0,206.79,6312.18,676,bronze,12,47.5
A0030,1772498313000,1,53.17,-265.26,457,gold,13,50.39
A0042,1773372065000,0,37.9,1999.06,327,bronze,37,51.21
A0043,1773093565000,0,11.76,1935.14,779,gold,25,55.69
A0044,1773168240000,1,40.62,5828.56,538,bronze,38,53.89
A0054,1773273666000,0,4.38,3989.83,437,gold,17,58.19
A0056,1772428885000,0,69.81,-97.63,533,silver,9,46.29
A0000,1773363152000,0,35.52,5276.4,426,bronze,21,39.79
A0006,1773467972000,1,27.99,6828.62,366,gold,24,52.37
A0015,1772777679000,0,6.95,4357.73,622,silver,11,39.31
A0021,1772008256000,0,8.61,1472.75,440,bronze,39,45.27
A0037,1773156060000,1,27.72,4465.82,503,silver,4,48.91
A0050,1772977767000,0,55.17,3129.1,528,gold,8,46.15
A0064,1773028291000,0,52.01,2813.18,695,silver,20,53.19
A0069,1773698121000,0,27.13,7322.77,651,bronze,6,46.06
A0081,1773268316000,0,24.86,3199.68,637,silver,25,42.79
A0087,1773648414000,1,13.62,5488.61,727,gold,4,50.86
A0009,1772892826000,1,28.54,3679.43,395,bronze,7,55.46
A0010,1772381377000,0,79.03,968.97,580,silver,27,50.88
A0018,1772865087000,0,30.53,2012.32,749,bronze,36,47.38
A0022,1772620703000,0,25.64,3380.7,549,silver,37,49.92
A0041,1772060200000,1,63.99,5659.05,692,bronze,18,47.36
A0062,1772878605000,0,94.27,2832.79,450,silver,9,53.91
A0086,1773335872000,0,31.39,4762.84,818,bronze,11,54.32
A0014,1772948683000,1,32.12,9721.83,625,silver,5,45.02
A0020,1773293069000,1,27.74,5486.41,502,gold,37,49.63
A0052,1773165258000,1,16.08,4210.59,654,gold,29,52.91
A0059,1773040829000,1,24.25,5327.0,569,gold,5,47.26
A0065,1773409058000,1,23.43,4124.69,544,silver,38,60.44
A0077,1772791299000,1,25.39,-119.15,713,gold,24,55.02
