acct_t,et_t,amount,balance
A0000,1767236905000,19.26,5975.46
A0000,1767863893000,28.06,5318.13
A0000,1770867729000,34.51,5282.0
A0000,1772995944000,35.52,5276.4
A0000,1774386420000,32.37,4963.01
A0001,1767295430000,21.36,6539.81
A0001,1768202472000,12.94,6735.25
A0001,1768789770000,64.35,6719.16
A0001,1769672098000,63.59,7249.08
A0001,1770397615000,17.43,7999.77
A0001,1770851775000,34.18,7500.83
A0001,1771080176000,5.19,7407.77
A0001,1774827998000,27.34,7663.8
A0001,1774827998000,27.34,7663.8
A0002,1767272686000,20.29,6810.16
A0002,1769502023000,28.81,6457.65
A0002,1770179494000,31.77,6358.91
A0002,1770385228000,24.33,5861.97
A0002,1771758119000,55.49,6020.77
A0002,1772936339000,157.65,5967.26
A0002,1773894357000,15.27,5569.68
A0002,1774636923000,148.52,4993.27
A0003,1767235641000,51.48,6142.85
A0003,1767708024000,27.65,5773.59
A0003,1769202658000,40.09,6177.97
A0003,1770247648000,12.13,6294.25
A0003,1770399452000,136.09,5522.95
A0003,1770796025000,25.7,5823.16
A0003,1771869565000,18.69,5758.88
A0003,1773257979000,6.32,5192.87
A0004,1767301350000,21.55,6518.51
A0004,1767696332000,27.54,6070.19
A0004,1767907423000,107.97,6011.12
A0004,1770176130000,14.48,6190.89
A0004,1773374623000,18.07,5786.51
A0004,1774030730000,10.54,5993.65
A0004,1774248784000,50.23,5892.07
A0005,1767267954000,68.52,3321.1
A0005,1771088713000,51.91,4131.8
A0005,1771875309000,67.24,3847.58
A0005,1771875309000,67.24,3847.58
A0005,1772717412000,99.43,4035.1
A0005,1773740304000,9.49,4111.88
A0006,1767258195000,16.13,6196.84
A0006,1767492480000,17.88,5462.52
A0006,1768260797000,53.14,5721.34
A0006,1768579719000,36.05,5648.8
A0006,1769168624000,187.92,5492.26
A0006,1769253992000,56.65,6121.84
A0006,1774885121000,12.0,6445.71
A0007,1767282905000,99.62,5039.7
A0007,1768239312000,52.07,4995.83
A0007,1770277283000,32.65,4818.01
A0007,1770496450000,371.33,4920.42
A0007,1770848685000,164.98,5255.95
A0007,1771611549000,88.74,4805.03
A0007,1772935514000,6.22,5020.26
A0007,1773503876000,40.01,4683.2
A0007,1774541978000,30.68,5257.76
A0008,1767293316000,61.21,4207.6
A0008,1768573378000,14.45,3889.19
A0008,1769621786000,52.92,3430.29
A0008,1769694693000,8.03,3285.18
A0008,1772202404000,57.65,3000.31
A0008,1772245471000,67.04,3466.35
