row_id,account_id,event_time,amount,category
R00552,A0091,1771938840000,13.57,travel
R00467,A0018,1771180740000,32.2,rent
R00350,A0092,1770219780000,4.72,grocery
R00546,A0008,1771927380000,38.78,rent
R00538,A0096,1771860900000,14.52,grocery
R00485,A0090,1771412820000,16.66,travel
R00401,A0084,1770658080000,5.65,rent
R00374,A0067,1770407280000,11.78,other
R00429,A0091,1770921660000,3.98,salary
R00415,A0063,1770814740000,57.29,rent
R00378,A0104,1770464280000,28.25,salary
R00510,A0064,1771679580000,23.93,salary
R00522,A0035,1771777440000,11.69,travel
R00423,A0067,1770853500000,41.42,travel
R00376,A0037,1770437880000,37.89,rent
R00588,A0010,1772278500000,672.41,other
R00585,A0047,1772243160000,64.05,rent
R00369,A0063,1770351900000,44.53,salary
R00500,A0061,1771581360000,20.37,salary
R00499,A0107,1771576500000,33.27,travel
R00537,A0108,1771851180000,5.7,salary
R00493,A0039,1771511820000,89.78,other
R00410,A0046,1770711540000,72.58,other
R00418,A0092,1770832140000,14.29,rent
R00399,A0040,1770642120000,2.64,travel
R00353,A0060,1770243000000,6.19,other
R00582,A0003,1772220960000,6.95,other
R00484,A0043,1771401720000,27.69,travel
R00445,A0044,1771020000000,99.46,grocery
R00406,A0039,1770680520000,11.72,grocery
R00534,A0090,1771841340000,50.08,other
R00577,A0108,1772113560000,10.21,travel
R00554,A0026,1771940880000,26.78,rent
R00576,A0100,1772109780000,13.74,other
R00574,A0051,1772096280000,4.62,grocery
R00487,A0096,1771436760000,35.79,travel
R00490,A0085,1771468860000,18.49,rent
R00532,A0068,1771820400000,40.29,rent
R00453,A0109,1771093860000,21.22,other
R00598,A0083,1772394480000,41.15,grocery
R00468,A0093,1771210500000,67.85,rent
R00541,A0056,1771875360000,5.66,travel
R00465,A0020,1771157820000,20.02,other
R00435,A0031,1770954720000,55.24,grocery
R00594,A0003,1772337180000,49.52,grocery
R00587,A0106,1772268360000,42.32,rent
R00571,A0040,1772074200000,25.66,salary
R00414,A0075,1770778500000,6.36,salary
R00545,A0085,1771923780000,38.6,travel
R00436,A0024,1770958740000,37.9,other
R00483,A0027,1771394040000,18.62,rent
R00535,A0026,1771843680000,108.01,grocery
R00384,A0037,1770498420000,33.71,rent
R00564,A0100,1772007000000,18.2,salary
R00442,A0015,1770995400000,27.49,grocery
R00527,A0022,1771799640000,9.51,travel
R00430,A0006,1770923160000,16.33,travel
R00591,A0112,1772313180000,17.22,other
R00454,A0055,1771094940000,11.18,grocery
R00432,A0024,1770932520000,33.43,rent
R00407,A0033,1770704820000,23.22,grocery
R00502,A0105,1771595100000,9.94,travel
