row_id,f1,f2,f3,f4,f5,f6,label
R00000,0.134753,0.313685,-0.287609,-0.969419,-1.684841,0.221101,0
R00001,0.02323,-1.186306,-0.024441,0.103957,2.490285,0.043494,0
R00002,-0.793502,-0.37075,0.049899,0.57592,0.497256,2.411043,1
R00003,1.200887,1.077011,-0.573569,-0.059823,0.356743,-0.07574,0
R00004,-0.178083,2.375713,-0.309332,-1.347135,0.745892,-0.15829,0
R00005,-0.156976,-0.42683,-0.999981,-0.371668,0.445584,-0.099644,0
R00006,0.304643,1.082086,2.791485,-0.104311,0.276351,-0.008019,0
R00007,0.29834,-1.098505,-1.026559,0.077624,-0.698551,0.003892,0
R00008,-2.47379,0.576491,-0.256796,1.41094,1.681014,0.046757,0
R00009,-0.440372,1.322874,-0.61837,1.375912,-0.558253,2.519966,1
R00010,-0.908422,-0.967151,1.411964,0.422187,1.116582,2.298614,1
R00011,0.040472,1.620616,-0.912307,0.484453,-1.155967,0.108272,0
R00012,0.38861,-0.519757,-1.391552,0.557841,0.842214,2.456122,1
R00013,1.928908,0.087604,-2.804606,-0.159437,0.408981,-0.016222,0
R00014,0.888268,-0.423483,0.969274,-1.81155,-0.980013,-0.056896,0
R00015,0.13318,0.935739,0.495297,2.607832,-0.890921,2.341979,1
R00016,2.084042,-0.04566,0.470053,0.795276,0.533994,2.392748,1
R00017,0.444612,-1.527419,0.45049,2.252662,-0.432063,0.040744,0
R00018,-0.041332,-1.08378,-0.607378,-0.371987,0.278485,0.104736,0
R00019,-2.755475,-0.055327,0.295617,0.326551,-0.289204,-0.127177,0
R00020,0.99616,1.559714,1.710277,1.223916,-1.235797,2.440158,1
R00021,0.959219,-0.351757,-0.00608,1.666185,0.23104,0.36464,0
R00022,-0.069391,-0.705202,1.099526,-1.329217,-0.066034,0.032496,0
R00023,-1.166616,-0.013426,-1.528835,-0.156501,-1.624838,-0.011207,0
R00024,0.192275,0.723198,-2.308261,1.331914,-0.074105,2.357867,1
R00025,-0.504346,-1.161908,-0.09297,0.724856,1.373893,-0.094322,0
R00026,2.573519,-0.774794,0.045571,0.779024,0.052916,0.11467,0
R00027,-0.312774,-0.415767,-0.523722,0.935649,-0.905536,2.470705,1
R00028,0.19164,0.01146,0.192194,-0.305122,1.42774,0.158831,0
R00029,-0.817882,-0.679124,-0.761872,-0.409576,0.987951,0.183511,0
R00030,-0.14126,0.187279,1.157626,2.547449,-1.641721,0.130765,0
R00031,0.162557,-0.05723,-0.333533,0.821576,0.742151,0.0481,0
R00032,0.629041,-0.104063,-1.501763,1.927559,-0.293967,2.47698,1
R00033,-0.677557,-0.852062,-0.862313,-0.447932,-0.049861,-0.122571,0
R00034,0.383945,-1.254376,-1.92598,1.977539,-1.06305,-0.055445,0
R00035,1.007891,-0.311989,-2.051808,0.106984,0.511295,2.409369,1
R00036,-1.952163,0.96751,0.683111,-0.965084,-0.605031,2.457404,1
R00037,0.326075,-0.308446,0.010023,-0.851687,0.757044,-0.033917,0
R00038,-0.864991,-0.299099,1.22117,-1.328987,2.304592,0.21909,0
