row_id,account_id,event_time,amount,category
R00395,A0036,1770605640000,86.27,salary
R00452,A0105,1771033800000,20.5,rent
R00583,A0015,1772276160000,29.29,travel
R00510,A0094,1771504560000,5.57,other
R00329,A0017,1770127980000,19.35,grocery
R00443,A0116,1770956280000,74.52,salary
R00399,A0067,1770631620000,14.81,other
R00366,A0097,1770431520000,5.29,other
R00558,A0094,1771994220000,26.52,travel
R00575,A0020,1772144520000,238.46,rent
R00571,A0008,1772128860000,52.98,grocery
R00401,A0078,1770634740000,17.09,grocery
R00425,A0096,1770803460000,117.89,salary
R00500,A0114,1771436880000,91.65,travel
R00455,A0052,1771074480000,9.48,grocery
R00398,A0009,1770628560000,10.2,grocery
R00485,A0086,1771294800000,42.75,grocery
R00560,A0084,1772018400000,18.29,other
R00338,A0091,1770182040000,7.85,other
R00339,A0071,1770183720000,3.16,travel
R00493,A0061,1771384260000,76.25,salary
R00388,A0007,1770572760000,13.99,rent
R00567,A0040,1772080140000,18.53,travel
R00446,A0022,1770965880000,17.25,grocery
R00352,A0029,1770301560000,10.56,other
R00464,A0060,1771157940000,33.9,salary
R00415,A0042,1770737760000,60.04,rent
R00592,A0102,1772361420000,27.69,grocery
R00546,A0011,1771884960000,27.89,travel
R00472,A0102,1771210980000,6.47,travel
R00523,A0016,1771629660000,11.59,salary
R00371,A0023,1770462360000,4.53,salary
R00597,A0017,1772396100000,51.03,grocery
R00466,A0013,1771172700000,115.32,grocery
R00553,A0002,1771968000000,9.83,salary
R00421,A0027,1770768060000,72.24,grocery
R00495,A0080,1771404420000,118.44,rent
R00330,A0043,1770130200000,36.68,salary
R00522,A0004,1771628400000,20.69,other
R00577,A0023,1772221200000,45.01,other
R00549,A0034,1771903200000,16.93,travel
R00448,A0071,1770993600000,16.6,travel
R00406,A0101,1770673020000,54.82,travel
R00438,A0023,1770903120000,37.38,salary
R00457,A0112,1771109160000,2.87,other
R00568,A0116,1772093580000,42.45,travel
R00363,A0048,1770418740000,54.98,salary
R00516,A0096,1771589460000,257.19,salary
R00518,A0025,1771611120000,17.06,rent
R00576,A0023,1772175300000,95.68,other
R00480,A0069,1771271400000,8.42,other
R00429,A0018,1770815460000,50.01,rent
R00353,A0009,1770313860000,16.34,grocery
R00512,A0089,1771551780000,42.32,travel
R00396,A0023,1770606900000,97.8,grocery
R00348,A0095,1770259860000,38.96,rent
R00426,A0065,1770810060000,8.39,rent
R00599,A0116,1772406600000,24.23,grocery
R00540,A0064,1771833540000,18.52,other
R00520,A0042,1771623060000,181.17,salary
R00351,A0091,1770282660000,4.01,grocery
R00503,A0098,1771451340000,52.22,other
R00418,A0036,1770749760000,8.58,other
R00441,A0069,1770931560000,2.95,salary
R00543,A0021,1771870200000,38.11,grocery
R00515,A0032,1771587120000,5.14,travel
