item_id,e1,e2,e3,e4,e5,e6,e7,e8
I0000,-0.7434,-0.1367,-0.5582,-1.7691,-0.895,0.3862,0.8877,-0.4746
I0001,0.3378,-0.6264,0.0936,-0.0299,-0.3035,0.9552,0.3226,-1.5665
I0002,-0.0493,1.1518,-1.6039,1.2851,1.654,-3.3594,-0.1897,-1.1493
I0003,-1.6139,0.139,0.1389,0.6389,0.8412,-0.2325,-0.0579,-0.671
I0004,0.2047,-0.1161,-0.2908,0.7405,-0.0445,0.8571,0.0107,0.2106
I0005,1.0369,0.5599,-0.1163,-1.5804,-0.3903,-0.4882,0.5206,-0.1442
I0006,-1.3924,-1.0118,-0.7401,-0.323,-0.6135,0.3107,-0.345,-0.519
I0007,-0.6491,-1.3971,0.0614,0.4439,-0.4191,-0.5913,2.3005,-0.3463
I0008,0.3857,0.0285,-1.3824,0.2258,0.0887,0.8136,0.5678,1.5943
I0009,-0.3722,1.3945,0.4193,-0.364,-1.2459,-0.3509,0.2311,-0.5533
I0010,-1.6139,0.139,0.1389,0.6389,0.8412,-0.2325,-0.0579,-0.671
I0011,0.2102,-0.5992,1.8756,-1.7511,-1.1634,-0.7572,0.1965,-0.1741
I0012,-0.0358,0.6283,-0.6586,0.3793,1.7626,1.0185,0.2065,0.0941
I0013,-0.7434,-0.1367,-0.5582,-1.7691,-0.895,0.3862,0.8877,-0.4746
I0014,1.1972,0.1228,0.5621,-0.8801,-0.6374,0.327,0.7321,-1.0689
I0015,1.7603,-1.3042,2.661,0.0301,-0.008,0.0355,0.6568,-0.3819
I0016,-0.2169,-1.177,1.0058,0.6521,0.102,-1.0348,-0.1545,1.3643
I0017,0.3284,1.2072,-0.3097,0.0861,0.3071,0.3411,0.4561,0.5464
I0018,2.0744,-0.9591,-0.4342,1.0244,2.1001,0.2814,0.4846,1.6573
I0019,-0.6684,1.9656,1.0302,-1.0476,-0.2191,1.6865,1.413,1.2905
I0020,-0.2155,0.251,0.542,-0.4619,2.0986,0.4319,0.5011,-0.078
I0021,1.7333,-0.8129,1.0786,0.058,1.238,1.6815,0.3815,-1.7691
I0022,0.4828,2.6319,0.084,-0.8947,-1.3407,-0.0009,0.2077,0.2005
I0023,0.5483,0.7439,0.2135,2.0235,-0.062,-0.7583,-0.0382,-0.0962
I0024,-1.702,-0.7526,1.2297,-0.0015,0.7932,-0.011,-0.6455,0.4321
I0025,0.1371,-0.0612,1.0131,1.5213,0.5139,1.897,-0.8586,1.6486
I0026,-1.9747,-0.0229,1.1581,0.5529,-0.8138,-1.5697,0.1024,-0.8173
I0027,-1.9747,-0.0229,1.1581,0.5529,-0.8138,-1.5697,0.1024,-0.8173
I0028,-0.3166,0.3689,0.3944,0.2814,2.3287,1.4316,1.6258,0.6877
I0029,-0.0493,1.1518,-1.6039,1.2851,1.654,-3.3594,-0.1897,-1.1493
I0030,-1.8584,-0.212,-0.582,-2.126,2.7479,-0.0469,-0.9359,1.0551
I0031,-0.5521,-0.2442,1.3485,1.2908,0.7485,-0.427,-0.3456,-0.0222
I0032,0.548,0.4956,-0.0327,0.7155,0.7983,-0.1808,-0.4214,0.5022
I0033,-0.5863,-0.6409,-0.2008,-0.0565,-0.514,2.3735,0.8531,1.2463
I0034,0.5804,-0.8748,0.983,0.0039,1.5333,-0.6521,-0.3173,0.3512
I0035,1.3175,-1.7191,1.0587,-0.5385,-0.6252,1.9921,-0.8056,-2.0224
I0036,1.3958,-0.7854,-0.0351,1.6098,2.0953,-0.3333,-0.732,-0.0811
I0037,-2.0988,-0.2504,-1.0925,-2.2107,-0.5679,-0.4016,0.7918,-0.5017
I0038,0.6101,-1.3394,0.446,0.3355,-2.7994,-1.6514,1.3508,0.1475
