row_id,account_id,event_time,amount_usd,is_weekend,amount_7d
R00016,A0043,1772407080000,13.9065,1,10.95
R00043,A0030,1772587380000,8.2042,0,6.46
R00093,A0055,1772963160000,1.7109500000000002,1,18.01
R00108,A0038,1773041400000,4.94095,0,199.58999999999997
R00133,A0030,1773146280000,13.4366,0,95.02
R00140,A0055,1773169440000,3.82,0,50.81
R00147,A0038,1773200940000,1.6159500000000002,0,216.59999999999997
R00183,A0055,1773432240000,12.1971,0,62.0
R00201,A0034,1773592080000,50.8921,1,87.77
R00217,A0045,1773640500000,43.6118,0,137.32
R00222,A0015,1773663540000,5.0419,0,3.97
R00228,A0001,1773700560000,0.3857,0,43.69
R00242,A0036,1773801480000,1.05165,0,59.43
R00248,A0034,1773843600000,58.37,0,146.14
R00252,A0028,1773850680000,49.22,0,117.1
R00253,A0043,1773851160000,11.6332,0,163.85999999999999
R00259,A0035,1773863100000,2.3,0,136.53
R00269,A0020,1773906540000,0.35625,0,13.83
R00270,A0056,1773908160000,40.8,0,47.11
R00294,A0017,1774034040000,1.75085,0,87.80000000000001
R00298,A0029,1774079040000,267.18,1,330.79
R00314,A0004,1774173840000,3.6489499999999997,1,89.94
R00315,A0021,1774176720000,13.335,1,101.94
R00322,A0017,1774212420000,17.87,1,112.04000000000002
R00327,A0036,1774238580000,11.2052,0,21.35
R00328,A0039,1774239240000,35.39,0,40.91
R00331,A0004,1774265100000,65.6289,0,169.93
R00332,A0040,1774265160000,3.6774500000000003,0,131.0
R00333,A0009,1774274820000,14.867600000000001,0,101.51
R00346,A0024,1774327800000,94.93,0,94.93
R00356,A0056,1774350420000,39.903400000000005,0,151.64999999999998
R00364,A0051,1774400340000,11.946400000000002,0,29.69
R00380,A0059,1774469340000,32.056900000000006,0,29.41
R00384,A0058,1774498260000,33.1597,0,80.9
R00410,A0039,1774604160000,8.9535,0,64.56
R00416,A0047,1774646460000,26.03,0,26.03
R00429,A0003,1774689600000,17.799699999999998,1,16.33
R00436,A0004,1774734480000,0.8274500000000001,1,154.45000000000002
R00444,A0036,1774792320000,2.8785000000000003,1,93.38
R00446,A0054,1774818900000,31.559500000000003,1,196.55
R00454,A0039,1774866120000,0.40280000000000005,0,82.67
R00455,A0027,1774866420000,12.7889,0,10.07
R00473,A0006,1774981440000,20.0914,0,237.35
R00481,A0023,1775007780000,13.944600000000001,0,29.85
R00482,A0034,1775015100000,15.5448,0,77.25999999999999
R00483,A0005,1775015160000,0.7163,0,53.57
R00498,A0054,1775105460000,4.11825,0,132.82999999999998
R00547,A0000,1775390040000,72.32,1,72.32
R00554,A0049,1775416140000,11.607800000000001,1,72.12
R00566,A0006,1775467260000,4.4577,0,19.33
R00571,A0056,1775497860000,4.9267,0,96.25
R00579,A0042,1775533500000,4.99,0,56.120000000000005
R00583,A0022,1775555100000,7.848599999999999,0,58.45999999999999
R00590,A0019,1775635020000,68.3133,0,98.64
R00602,A0049,1775678040000,4.64,0,13.780000000000001
R00619,A0030,1775755560000,51.308,0,40.4
R00629,A0049,1775816760000,6.26,0,20.04
R00632,A0015,1775838180000,79.6245,0,217.04000000000002
R00647,A0022,1775897280000,70.6628,1,287.2
R00673,A0013,1776051420000,2.5317499999999997,0,70.17
R00696,A0022,1776193020000,48.319700000000005,0,448.85999999999996
R00015,A0011,1772397780000,6.53,1,6.53
R00020,A0005,1772460060000,3.55205,0,37.39
R00028,A0057,1772494200000,28.48,0,31.85
R00031,A0052,1772532540000,65.0,0,125.35
R00036,A0012,1772561580000,83.058,0,65.4
R00038,A0036,1772570580000,5.2649,0,55.42
R00040,A0005,1772573880000,2.4416,0,176.01
R00047,A0048,1772623380000,2.5479000000000003,0,26.82
R00048,A0036,1772625420000,4.99,0,60.410000000000004
R00088,A0006,1772910780000,31.39,1,37.9
R00101,A0035,1773004740000,2.2098,1,1.74
R00117,A0001,1773085740000,2.92505,0,125.68
R00130,A0041,1773141060000,35.2833,0,85.94999999999999
R00136,A0014,1773164160000,31.8135,0,25.05
R00155,A0017,1773253740000,34.94,0,34.94
R00160,A0028,1773282780000,29.06,0,29.06
R00166,A0014,1773347460000,1.2635,0,53.66
R00168,A0037,1773349860000,100.26650000000001,0,131.81
R00172,A0051,1773381180000,4.21,0,69.14999999999999
R00175,A0022,1773398520000,20.6511,0,407.38
R00182,A0000,1773428880000,10.2362,0,15.34
R00185,A0042,1773471000000,2.27,1,2.27
R00188,A0016,1773504060000,5.0038,1,10.19
R00195,A0025,1773547860000,30.886400000000002,1,51.010000000000005
R00200,A0011,1773590820000,20.895300000000002,1,260.7
R00209,A0048,1773628560000,51.82,0,67.87
R00216,A0048,1773639420000,26.9339,0,92.58000000000001
R00224,A0033,1773666600000,172.8089,0,147.4
