row_id,f1,f2,f3,f4,f5,f6,label
R00000,-0.414318,-0.133036,0.86403,0.401328,0.725427,-0.383026,0
R00001,-0.283023,2.493644,-0.124461,0.33298,-1.377882,-1.614624,1
R00002,-0.313894,-0.095557,0.401563,-0.202955,-1.407707,0.494551,0
R00003,1.025038,0.035084,-0.04,-1.159147,-0.780969,-0.05059,0
R00004,-0.230172,-0.171132,-1.46282,1.133268,0.285608,1.525263,0
R00005,-1.091984,-0.209673,0.447963,0.181599,0.215254,1.551916,0
R00006,-1.375962,2.342865,-0.437511,0.289804,-0.366928,0.088095,1
R00007,0.475491,-0.028537,-1.678576,0.48076,-0.558066,-0.672902,0
R00008,-1.180305,2.467657,0.831273,-0.425001,0.310858,0.327635,1
R00009,-0.522181,-0.111514,-0.30448,-0.371538,0.709821,1.817021,0
R00010,0.518392,2.54482,0.92044,-0.013387,0.526747,0.447071,1
R00011,-0.031492,2.522087,1.347715,-0.399585,-0.42902,1.031111,1
R00012,-0.886453,-0.176835,-0.107298,0.442581,2.077891,-0.408072,0
R00013,-0.158973,-0.008673,-0.145896,-0.040575,-0.650779,0.899857,0
R00014,0.026096,-0.004552,1.395342,-1.461702,-0.838542,0.586544,0
R00015,0.120334,0.386846,0.04512,-0.533894,-0.113659,2.413599,0
R00016,1.071474,0.046662,-1.068252,-2.241591,1.533905,-1.321548,0
R00017,0.94999,2.639133,1.79446,0.737545,-0.018722,-1.553096,1
R00018,-1.318664,-0.064289,0.665046,-0.676534,-0.476213,-0.503118,0
R00019,-1.446486,2.537779,-0.54403,-0.367979,2.770319,1.350612,1
R00020,-0.404301,2.486037,-0.672923,0.167847,-0.10722,0.77507,1
R00021,0.956666,2.57229,0.554813,-0.813941,0.277622,0.426583,1
R00022,-0.660629,0.206891,2.085838,0.508701,-3.010747,1.184382,0
R00023,-0.896491,2.288317,0.572627,-0.918786,0.116403,-0.40205,1
R00024,0.491992,-0.151179,-0.843447,-0.346741,-0.177781,0.298204,0
R00025,-0.792897,0.148131,0.839381,1.044846,1.294184,0.2322,0
R00026,0.689704,-0.084012,-1.257816,-0.94851,1.309828,1.367082,0
R00027,0.346176,0.027079,1.338486,-0.131868,-0.385294,-0.00829,0
R00028,1.608981,2.230038,0.028838,2.43247,2.147996,-0.319114,1
R00029,0.029661,0.19523,1.782296,-0.14609,0.169345,0.573065,0
R00030,-0.925254,-0.012362,0.695232,-0.723677,0.345973,0.111813,0
R00031,0.135866,-0.145196,0.898805,-0.270337,-0.625204,-0.743414,0
R00032,-0.416232,-0.310953,0.686714,0.782837,-1.403424,0.582379,0
R00033,3.007357,2.287863,-0.176524,0.126194,0.521895,0.939047,1
R00034,0.545045,2.513339,-0.419111,0.412128,0.49895,0.319361,1
R00035,-0.08662,-0.204884,-1.221785,0.646199,0.473817,-0.903382,0
R00036,-0.756871,0.144217,1.472203,0.635999,0.209137,-0.952261,0
R00037,1.158898,-0.277938,-0.494547,0.140013,1.284234,1.231401,0
R00038,0.296676,2.59324,1.210383,0.564164,-0.337956,-0.430091,1
R00039,1.618261,0.130274,0.94774,0.449674,-0.029138,1.148564,0
R00040,-0.158658,0.076042,-0.345986,-0.689989,0.151577,-0.149612,0
R00041,-2.282172,-0.101101,0.298087,1.07447,-0.626215,-1.503346,0
R00042,1.056644,-0.019953,-1.013135,0.356989,0.051164,-0.35913,0
R00043,0.240117,-0.04876,-0.033646,-0.175111,1.393009,-0.845363,0
R00044,1.883899,0.119256,0.335526,-1.682671,-0.404151,-0.780003,0
R00045,1.739777,-0.194128,-0.744241,0.816146,-1.576133,1.773066,0
R00046,0.926212,2.14296,1.183066,0.326147,0.929856,-0.711937,1
R00047,-0.448368,0.221606,-0.885451,1.384493,2.438788,-0.703126,0
R00048,-0.544089,-0.103023,1.261598,-0.763044,2.196424,-1.217558,0
R00049,0.255974,2.343294,0.921839,-0.700035,-0.770546,1.58439,1
R00050,-1.421239,2.389838,2.088693,0.104876,-0.521793,1.298609,1
R00051,1.592863,-0.041486,0.48886,-0.545566,1.426853,-0.643098,0
R00052,-1.028649,-0.029538,-0.477664,-0.455891,-0.247513,-0.923391,0
R00053,-1.100184,0.102539,-0.432743,-0.849546,-0.907603,0.599317,0
R00054,-0.550818,0.128565,-0.322443,0.380922,-1.018185,-0.032506,0
R00055,1.309129,2.750028,-0.071725,0.660392,-0.75524,0.564905,1
R00056,-0.375815,0.264702,0.508845,1.024109,2.725591,-0.964794,0
R00057,-1.673912,2.434466,0.959194,0.405259,1.326274,-2.645676,1
R00058,-0.037392,2.644457,-0.192381,-1.456466,1.005097,0.560633,1
