account_id,label_time,txn_churnbe1a53_account_id,txn_churnbe1a53_event_time,txn_churnbe1a53_amount,txn_churnbe1a53_balance,prof_churnbe1a53_account_id,prof_churnbe1a53_event_time,prof_churnbe1a53_credit_score,prof_churnbe1a53_tier,act_churnbe1a53_account_id,act_churnbe1a53_event_time,act_churnbe1a53_sessions_7d,health_churnbe1a53_account_id,health_churnbe1a53_event_time,health_churnbe1a53_health_score
A0003,1773229420000,A0003,1773182535000,42.88,6502.51,A0003,1767232714000,781,gold,A0003,1772789292000,38,A0003,1767334530000,55.98
A0004,1772417799000,A0004,1772104758000,177.41,5892.32,A0004,1767253953000,460,bronze,A0004,1772171862000,34,A0004,1767329065000,60.34
A0012,1772226277000,A0012,1769754253000,3.92,7639.02,A0012,1767233908000,688,bronze,A0012,1772175507000,12,A0012,1767267208000,54.0
A0040,1772693635000,A0040,1772472896000,15.37,3282.09,A0040,1768856754000,816,silver,A0040,1772080475000,25,A0040,1767301891000,44.2
A0057,1773568170000,A0057,1773481704000,11.26,1845.43,A0057,1767236030000,615,bronze,A0057,1773383384000,24,A0057,1767310573000,44.56
A0068,1773418115000,A0068,1772771045000,107.62,4692.72,A0068,1767237697000,399,bronze,A0068,1773329468000,14,A0068,1767367557000,56.05
A0016,1772372281000,A0016,1772159217000,132.75,3390.94,A0016,1768680795000,784,bronze,A0016,1772167054000,29,A0016,1767375604000,48.7
A0030,1773065386000,A0030,1772616393000,2.84,3395.41,A0030,1769620019000,300,gold,A0030,1772763880000,12,A0030,1767371918000,46.66
A0042,1773142037000,A0042,1770149128000,32.49,3845.36,A0042,1767234106000,841,silver,A0042,1772697526000,35,A0042,1767390255000,57.02
A0043,1773291923000,A0043,1772215856000,116.82,3103.19,A0043,1771867983000,569,silver,A0043,1772774364000,36,A0043,1767333308000,52.03
A0044,1773663661000,A0044,1773055285000,136.65,6103.67,A0044,1767255060000,444,silver,A0044,1773365122000,9,A0044,1767364799000,47.65
A0054,1772077118000,A0054,1770926852000,34.67,5570.6,A0054,1767294562000,307,gold,A0054,1771539567000,10,A0054,1767345865000,51.3
A0056,1772884483000,A0056,1770828209000,82.77,2300.39,A0056,1767266069000,309,bronze,A0056,1772775759000,0,A0056,1767374429000,51.89
A0007,1772145721000,A0007,1770613984000,57.52,3059.23,A0007,1771045060000,466,gold,A0007,1771490049000,30,A0007,1767245719000,49.58
A0019,1772459034000,A0019,1772238582000,36.96,5363.47,A0019,1767246589000,437,silver,A0019,1772171564000,11,A0019,1767287085000,47.31
A0024,1773524215000,A0024,1773056519000,29.26,3442.69,A0024,1770553891000,573,gold,A0024,1773406865000,8,A0024,1767320836000,48.16
A0033,1772988234000,A0033,1772638910000,129.1,5633.72,A0033,1767273144000,664,gold,A0033,1772720506000,36,A0033,1767379568000,47.08
A0051,1772223764000,A0051,1770688657000,36.63,863.11,A0051,1767232722000,681,bronze,A0051,1772190428000,22,A0051,1767241783000,54.37
A0089,1773179583000,A0089,1772658872000,44.03,4544.81,A0089,1767311618000,849,bronze,A0089,1772757561000,11,A0089,1767353237000,52.12
A0001,1773666141000,A0001,1772936670000,26.96,9359.81,A0001,1767824258000,370,silver,A0001,1773312976000,17,A0001,1767349549000,46.72
A0039,1772134695000,A0039,1771894461000,40.16,1121.98,A0039,1767253220000,639,gold,A0039,1772128116000,11,A0039,1767274579000,48.14
A0049,1773515599000,A0049,1773267362000,23.14,4735.91,A0049,1767302415000,421,silver,A0049,1773378730000,23,A0049,1767320549000,55.41
A0085,1772756338000,A0085,1770579525000,153.73,2374.33,A0085,1770039831000,816,gold,A0085,1772212167000,38,A0085,1767333121000,47.53
A0097,1773334940000,A0097,1771793545000,74.2,3931.62,A0097,1767297140000,416,bronze,A0097,1772779823000,26,A0097,1767338407000,49.23
A0009,1772652800000,A0009,1771415498000,62.87,5892.64,A0009,1767310218000,459,gold,A0009,1772155261000,5,A0009,1767360116000,55.58
A0010,1773490648000,A0010,1772012614000,13.44,3374.9,A0010,1767247547000,331,bronze,A0010,1773379713000,33,A0010,1767269000000,57.16
A0018,1773205158000,A0018,1772935688000,69.27,3841.58,A0018,1767233963000,384,gold,A0018,1772741685000,30,A0018,1767226635000,41.56
A0022,1772088943000,A0022,1771775304000,45.39,7462.24,A0022,1770353548000,413,bronze,A0022,1771579924000,38,A0022,1767243441000,45.77
A0041,1773603575000,A0041,1773506085000,18.88,7182.24,A0041,1767228439000,764,gold,A0041,1773415986000,26,A0041,1767288636000,43.59
A0062,1772590480000,A0062,1771860296000,16.2,7401.11,A0062,1768222627000,759,bronze,A0062,1772175894000,12,A0062,1767323364000,50.53
A0086,1772850916000,A0086,1772479176000,3.18,4316.65,A0086,1770573628000,559,bronze,A0086,1772747916000,23,A0086,1767360391000,52.41
