query_id,embedding
Q000,"[-3.459333, -2.244587, -3.287796, -1.441993, -0.129704, 1.447943, -5.392156, -0.614674, -3.418028, -3.045315, 1.653715, -0.635481, 1.119908, -1.926631, 0.525207, -0.426907]"
Q001,"[1.906663, 3.462255, 0.968272, -4.232205, -0.988659, 6.034427, -6.076001, 1.588016, 4.145268, -0.046064, 1.597943, -2.1397, -4.273382, -1.468427, -1.309311, -1.647657]"
Q002,"[-2.001289, 2.084358, 2.659394, -1.465716, -1.280888, -4.061174, 2.50218, -0.582666, 2.772833, -0.878816, -2.485883, -0.291585, -1.571132, -5.798506, -4.600687, -7.25277]"
Q003,"[-4.115174, -1.468886, -1.709845, -1.684278, 0.790924, 0.751181, -4.338733, -0.661032, -4.640132, -2.593407, 1.208038, -1.56907, 1.003518, -1.286489, 0.158164, 0.848329]"
Q004,"[-3.580984, 4.147554, -0.187465, 3.729407, 2.868535, 4.226127, 1.831073, 3.937868, 0.576853, 0.553709, -5.467407, 1.618368, -1.739136, 0.207376, -1.637334, 2.172594]"
Q005,"[-3.947583, -2.088724, -1.967145, -1.387128, 0.082948, -0.184474, -4.202463, -1.500671, -4.515362, -3.713402, 1.316962, -1.046996, 0.997412, -1.926694, 0.194758, 0.453337]"
Q006,"[0.977306, 3.867878, 1.381683, -3.486034, -0.535662, 4.211697, -6.408411, 3.073298, 3.325158, 0.472221, 2.717321, -1.390434, -3.58764, -0.796477, -2.34335, -1.328321]"
Q007,"[0.384158, 1.96793, 1.577778, -1.064, -2.265386, -1.608187, -0.554013, 2.653074, 6.243864, 3.410508, 0.211599, -0.454008, 2.487103, 0.386571, 2.353793, -4.252795]"
Q008,"[0.489059, 2.250785, 1.037861, -4.514015, 0.455356, 5.700896, -5.41768, 3.019668, 4.006702, -0.681677, 2.103435, -1.824379, -2.990906, -1.099803, -2.090884, -1.331697]"
Q009,"[-2.06494, 1.89646, 2.27136, -1.056841, -2.189919, -4.572613, 1.33412, -1.180688, 3.263286, -1.48951, -3.168725, -1.267421, -1.053884, -3.665145, -4.534776, -6.793432]"
Q010,"[0.784128, -5.206268, 4.113054, 5.465541, 3.185449, -2.961524, -0.744031, -1.662627, -0.640371, -1.45136, -3.258658, -4.254599, 0.826075, -0.957517, 2.402406, 3.964147]"
Q011,"[-3.646351, 4.714703, -0.029123, 4.198752, 3.020857, 5.885424, 1.78193, 3.793628, 0.713556, 2.525001, -6.544239, 0.374931, -1.359671, 1.612029, -2.330706, 2.047565]"
Q012,"[1.299718, 1.961516, 1.764241, 0.199505, -2.169954, -1.635663, -0.162912, 4.013296, 6.869385, 3.585802, -0.018653, -0.947891, 1.04921, 0.448542, 1.381865, -3.74714]"
Q013,"[-2.445007, 2.291643, 2.934726, -2.070658, -0.924417, -5.310842, 0.75804, 0.325638, 2.80068, -1.861364, -1.689743, -0.968548, -0.653204, -4.420008, -3.571143, -6.673505]"
Q014,"[-0.202574, -3.915615, 3.017258, 5.98418, 3.155282, -2.233345, 0.505778, -2.718364, -0.348252, -2.215794, -2.529783, -4.621399, -0.569232, -1.482472, 2.246278, 3.985574]"
Q015,"[1.05531, 0.941264, 1.243103, 0.613617, -3.060583, -3.429614, -1.634305, 3.771932, 5.988925, 3.158582, 0.092267, -1.02969, 2.453103, 0.396113, 0.993302, -4.590779]"
Q016,"[0.85974, 2.367681, 2.363751, -0.522075, -0.483845, -1.903603, -0.498939, 1.997219, 5.726159, 3.851918, -0.337718, -1.249341, 2.361128, 0.003613, 2.088524, -3.773062]"
Q017,"[-4.208521, -1.614907, -2.119907, -1.378476, 0.598832, 0.790142, -3.838984, -1.926401, -4.356503, -2.532064, 1.527614, -2.316693, 1.717131, -2.597267, -0.091867, -0.591325]"
Q018,"[0.245361, 2.079383, 1.242876, -1.187746, -1.726227, -1.871186, -0.3751, 2.261841, 6.316752, 4.366849, 0.166592, -0.760467, 1.907832, 0.997482, 1.510152, -4.299715]"
Q019,"[0.0908, -5.203359, 3.953507, 4.872887, 3.452521, -2.385343, 0.966832, -1.934178, -0.009664, -0.486942, -2.498441, -4.753002, -0.625336, -1.71756, 2.780523, 4.363359]"
Q020,"[0.313454, 3.071641, 1.158487, -3.297696, 0.065731, 6.199232, -4.902763, 2.570152, 3.941088, -0.568951, 1.96463, -2.189815, -4.592152, -1.750118, -2.612301, -1.78338]"
Q021,"[1.313206, 2.668624, 1.556727, -3.173193, 0.338861, 4.787158, -4.742336, 2.062312, 4.397788, -0.31402, 2.044715, -1.972384, -3.751588, -2.689378, -2.593551, -2.319205]"
Q022,"[-0.095062, -4.37847, 4.03257, 4.60119, 4.089734, -0.598582, -0.136418, -1.006805, 0.644697, -2.294138, -2.900106, -5.791743, -0.022091, -1.427997, 2.140247, 4.466402]"
Q023,"[-2.904861, 3.770078, 0.618837, 4.428446, 2.718638, 4.950725, 2.685373, 3.398544, -0.208, 1.552722, -5.6056, 1.231555, -0.625642, 1.629969, -1.952113, 2.288914]"
Q024,"[-4.247876, -1.904292, -3.169249, -0.130396, 0.479897, 1.940704, -4.329929, -1.021122, -3.405462, -2.391892, 2.514705, -1.330297, 1.685441, -2.38913, 0.632304, 1.304344]"
