request_id,account_id,distance_deg,score
Q00000,A0032,1.078986,0.78521
Q00001,A0049,2.827659,0.246104
Q00002,A0021,2.310911,0.691147
Q00003,A0020,0.698688,0.854882
Q00004,A0012,1.603304,0.531062
Q00005,A0042,1.59351,0.200284
Q00006,A0014,1.328496,0.677259
Q00007,A0050,0.405113,0.28906
Q00008,A0031,2.532994,0.097382
Q00009,A0023,1.984002,0.6527
Q00010,A0017,4.420331,0.500647
Q00011,A0005,1.831021,0.337318
Q00012,A0054,1.989671,0.333086
Q00013,A0009,1.633304,0.215219
Q00014,A0052,1.469418,0.724397
Q00015,A0030,5.619062,0.103942
Q00016,A0018,0.136128,0.846695
Q00017,A0029,2.877519,0.236721
Q00018,A0055,1.516796,0.337921
Q00019,A0012,1.285851,0.562807
Q00020,A0045,3.428308,0.357566
Q00021,A0030,3.368169,0.329031
Q00022,A0025,0.886801,0.799696
Q00023,A0006,1.129547,0.699371
Q00024,A0029,1.670604,0.357413
Q00025,A0003,3.608059,0.519268
Q00026,A0042,1.382482,0.221387
Q00027,A0036,2.101568,0.522135
Q00028,A0002,0.393166,0.49555
Q00029,A0002,1.808469,0.35402
Q00030,A0038,2.643989,0.263996
Q00031,A0033,2.067741,0.405269
Q00032,A0056,0.913552,0.831984
Q00033,A0037,3.118284,0.136629
Q00034,A0038,2.008553,0.32754
Q00035,A0007,2.900717,0.422458
Q00036,A0048,1.738812,0.609886
Q00037,A0015,1.782246,0.541481
Q00038,A0051,2.59035,0.155972
Q00039,A0048,1.464493,0.637318
Q00040,A0050,2.600827,0.069488
Q00041,A0039,1.473808,0.542764
Q00042,A0035,0.710038,0.395397
Q00043,A0029,2.17612,0.306861
Q00044,A0052,1.437726,0.727566
Q00045,A0026,2.685589,0.582595
Q00046,A0012,2.945253,0.396867
Q00047,A0040,2.270338,0.200829
Q00048,A0049,0.832299,0.44564
Q00049,A0008,3.397019,0.387767
Q00050,A0044,1.821711,0.580363
Q00051,A0047,1.00583,0.558188
Q00052,A0006,1.114016,0.700924
Q00053,A0030,2.008449,0.465003
Q00054,A0043,1.780948,0.234226
Q00055,A0038,2.739703,0.254425
Q00056,A0054,1.691584,0.362895
Q00057,A0045,2.37356,0.463041
Q00058,A0015,1.350187,0.584687
Q00059,A0042,3.570008,0.002634
Q00060,A0038,1.967901,0.331605
Q00061,A0047,4.071636,0.251607
Q00062,A0053,1.479647,0.195385
Q00063,A0009,4.152424,-0.036693
Q00064,A0057,2.086394,0.421626
Q00065,A0023,2.188992,0.632201
Q00066,A0029,0.299592,0.494514
Q00067,A0055,1.067131,0.382888
Q00068,A0037,1.683526,0.280104
Q00069,A0039,0.944096,0.595735
Q00070,A0047,0.550788,0.603692
Q00071,A0024,1.868048,0.246727
Q00072,A0024,1.82597,0.250935
Q00073,A0055,3.378419,0.151759
Q00074,A0020,1.705964,0.754155
Q00075,A0023,1.750496,0.67605
Q00076,A0034,0.738752,0.438291
Q00077,A0057,3.627749,0.26749
Q00078,A0049,2.288386,0.300031
Q00079,A0052,1.528714,0.718468
Q00080,A0058,0.472406,0.717069
Q00081,A0054,1.704576,0.361595
Q00082,A0001,2.347867,0.31392
Q00083,A0020,1.973492,0.727402
Q00084,A0035,1.321032,0.334298
Q00085,A0003,1.572678,0.722806
Q00086,A0019,0.993216,0.389138
Q00087,A0011,2.682564,0.636404
Q00088,A0055,1.139423,0.375659
Q00089,A0044,1.036991,0.658835
Q00090,A0016,0.48935,0.52392
Q00091,A0049,1.824366,0.346433
Q00092,A0039,2.571616,0.432983
Q00093,A0030,3.496623,0.316186
Q00094,A0054,3.587674,0.173286
Q00095,A0006,1.563327,0.655993
Q00096,A0053,1.460309,0.197319
Q00097,A0046,0.64029,0.753435
Q00098,A0019,0.891903,0.39927
Q00099,A0035,3.095318,0.156869
Q00100,A0029,1.817689,0.342704
Q00101,A0053,1.569247,0.186425
Q00102,A0004,2.878981,0.017053
Q00103,A0010,1.59348,0.504704
Q00104,A0012,0.257299,0.665662
Q00105,A0020,1.406743,0.784077
Q00106,A0044,2.853963,0.477138
Q00107,A0028,3.201238,0.464606
Q00108,A0009,0.488121,0.329737
Q00109,A0016,3.39365,0.23349
Q00110,A0025,0.540461,0.83433
Q00111,A0055,0.202899,0.469311
Q00112,A0034,1.019573,0.410209
Q00113,A0056,0.762012,0.847138
Q00114,A0011,2.458348,0.658825
Q00115,A0049,2.682749,0.260595
Q00116,A0027,1.601233,0.177461
Q00117,A0005,0.631434,0.457277
Q00118,A0053,4.367761,-0.093426
Q00119,A0032,2.447414,0.648368
Q00120,A0029,1.645666,0.359906
Q00121,A0052,3.989556,0.472383
Q00122,A0022,3.544882,0.334422
Q00123,A0014,1.812661,0.628843
Q00124,A0008,2.209922,0.506477
Q00125,A0009,1.86799,0.19175
Q00126,A0000,2.26034,0.156549
Q00127,A0027,1.681818,0.169402
Q00128,A0025,1.440297,0.744346
Q00129,A0038,2.643973,0.263998
Q00130,A0029,2.220708,0.302402
Q00131,A0026,1.503049,0.700849
Q00132,A0016,0.680387,0.504816
Q00133,A0000,1.705297,0.212053
Q00134,A0040,1.324891,0.295374
Q00135,A0036,1.562356,0.576056
Q00136,A0005,2.687109,0.251709
Q00137,A0027,3.05853,0.031731
Q00138,A0039,3.602844,0.329861
Q00139,A0055,4.04736,0.084865
Q00140,A0021,0.687966,0.853441
Q00141,A0037,1.112401,0.337217
Q00142,A0025,1.558399,0.732536
Q00143,A0057,0.765484,0.553717
Q00144,A0055,1.774302,0.312171
Q00145,A0049,1.219693,0.406901
Q00146,A0057,2.03494,0.426771
Q00147,A0033,4.098556,0.202187
Q00148,A0010,1.345799,0.529472
Q00149,A0016,1.104187,0.462436
Q00150,A0028,2.0563,0.5791
Q00151,A0017,2.18299,0.724381
Q00152,A0034,1.749492,0.337217
Q00153,A0005,1.740974,0.346323
Q00154,A0053,1.328934,0.210457
Q00155,A0030,4.049718,0.260876
Q00156,A0041,1.521328,0.608292
Q00157,A0020,2.961588,0.628592
Q00158,A0048,3.350487,0.448718
Q00159,A0035,2.581724,0.208229
Q00160,A0021,0.823416,0.839896
Q00161,A0033,1.478943,0.464149
Q00162,A0015,2.098751,0.509831
Q00163,A0038,2.279998,0.300395
Q00164,A0051,2.229697,0.192037
Q00165,A0007,1.963974,0.516133
Q00166,A0039,1.266404,0.563505
Q00167,A0009,0.834787,0.29507
Q00168,A0037,1.967201,0.251737
Q00169,A0039,1.705957,0.519549
Q00170,A0024,2.180206,0.215511
Q00171,A0020,2.410838,0.683667
Q00172,A0048,2.021156,0.581651
Q00173,A0058,1.520714,0.612239
Q00174,A0051,1.371913,0.277816
Q00175,A0057,2.582478,0.372017
Q00176,A0019,1.475794,0.340881
Q00177,A0017,1.550807,0.787599
Q00178,A0058,1.542381,0.610072
Q00179,A0049,1.731571,0.355713
Q00180,A0018,1.286553,0.731653
Q00181,A0001,1.2189,0.426817
Q00182,A0028,1.800052,0.604725
Q00183,A0002,1.927338,0.342133
Q00184,A0028,3.021037,0.482626
Q00185,A0025,2.385972,0.649779
Q00186,A0035,2.538244,0.212577
Q00187,A0046,3.327201,0.484744
Q00188,A0027,1.368037,0.20078
Q00189,A0025,1.223083,0.766068
Q00190,A0011,1.486943,0.755966
Q00191,A0045,1.811083,0.519289
Q00192,A0034,3.023112,0.209855
Q00193,A0001,3.205408,0.228166
Q00194,A0023,0.117279,0.839372
Q00195,A0056,1.509749,0.772364
Q00196,A0012,1.634683,0.527924
Q00197,A0000,2.026268,0.179956
Q00198,A0041,1.066616,0.653763
Q00199,A0013,3.322284,0.231595
Q00200,A0035,1.621653,0.304236
Q00201,A0029,0.702123,0.454261
Q00202,A0041,1.187277,0.641697
Q00203,A0057,1.116421,0.518623
Q00204,A0026,2.607652,0.590389
Q00205,A0020,1.508894,0.773862
Q00206,A0026,1.845197,0.666634
Q00207,A0038,2.565137,0.271881
Q00208,A0056,0.727044,0.850635
Q00209,A0054,0.579802,0.474073
Q00210,A0040,1.926499,0.235213
Q00211,A0053,1.253099,0.21804
Q00212,A0045,4.241078,0.276289
Q00213,A0040,0.996642,0.328199
Q00214,A0043,1.994607,0.21286
Q00215,A0056,2.529867,0.670352
Q00216,A0006,1.240434,0.688283
Q00217,A0016,2.811652,0.29169
Q00218,A0003,1.006603,0.779414
Q00219,A0022,2.249048,0.464005
Q00220,A0010,0.949624,0.56909
