row_id,col_sum
R00000,5.444
R00002,5.1501
R00004,10.2166
R00005,2.964
R00006,15.3098
R00008,0.4658
R00009,6.5369
R00010,7.1649
R00016,13.6998
R00020,1.9085
R00021,2.7855
R00022,0.3165
R00023,-0.1747
R00025,4.6636
R00026,17.28
R00027,8.3405
R00028,9.4179
R00030,-3.0847
R00032,-0.5162
R00033,16.0273
R00034,10.1347
R00037,8.1073
R00038,4.7067
R00039,7.9211
R00040,13.2234
R00042,13.3075
R00043,11.3813
R00045,-6.0487
R00047,7.4249
R00048,1.4875
R00051,12.255
R00052,10.4914
R00053,1.9299
R00056,8.3436
R00057,-2.2226
R00058,2.8338
R00059,-0.9427
R00061,2.7019
R00062,5.1147
R00063,14.0084
R00064,14.3848
R00066,-7.095
R00070,1.8272
R00071,13.8051
R00072,3.5476
R00076,1.3822
R00078,11.1407
R00079,20.622
R00080,14.9879
R00084,5.4537
R00086,1.0171
R00087,8.0157
R00089,9.274
R00092,5.531
R00095,6.0256
R00097,13.14
R00100,4.8969
R00102,2.9886
R00103,6.0555
R00107,7.6083
R00108,-2.1124
R00111,16.325
R00115,4.2739
R00117,7.1156
R00118,-2.6522
R00119,10.8806
R00121,1.6257
R00124,2.094
R00126,2.6667
R00127,6.5704
R00128,10.5188
R00129,6.8716
R00131,9.8459
R00133,7.7996
R00134,3.691
R00136,2.3811
R00137,3.1444
R00138,1.3718
R00139,8.5731
R00141,6.6234
R00143,-3.3679
R00144,13.5657
R00147,4.7182
R00148,13.445
R00150,10.7911
R00153,12.1774
R00155,13.7058
R00156,19.8914
R00157,12.2433
R00159,0.7236
R00160,8.8304
R00161,9.5283
R00162,8.7318
R00163,4.2405
R00165,24.4308
R00166,4.3838
R00167,3.8983
R00168,13.6297
R00170,11.758
R00171,1.6992
R00173,15.8468
R00174,10.1879
R00176,15.8084
R00178,4.4057
R00184,10.6295
R00185,14.5711
R00186,11.434
R00187,8.2393
R00188,15.7151
R00192,4.5358
R00193,9.8022
R00194,-3.9256
R00196,7.3074
R00197,10.8489
R00198,8.9796
R00199,15.7771
R00200,13.8363
R00204,6.3147
R00205,13.602
R00206,3.0239
R00207,4.4459
R00209,8.9035
R00211,-3.1867
R00212,-6.6083
R00213,1.6418
R00214,5.1041
R00215,10.4261
R00216,1.4157
R00218,5.742
R00220,17.773
R00221,5.9288
R00223,8.7527
R00225,5.2959
R00226,1.8713
R00229,6.2976
R00232,14.6063
R00233,13.2118
R00234,13.762
R00235,-1.6745
R00236,3.8844
R00237,15.1025
R00238,11.6106
R00239,7.0602
R00240,1.9552
R00241,7.8208
R00243,6.5819
R00248,-0.4024
R00250,0.3364
R00252,12.924
R00253,5.7309
R00254,14.125
R00255,9.9173
R00256,11.7348
R00257,9.0776
R00258,8.0656
R00260,15.6276
R00261,7.5628
R00262,5.3339
R00263,3.4118
R00264,11.535
R00265,9.5326
R00267,19.2525
R00268,17.9146
R00269,6.7768
R00271,2.0094
R00275,12.6302
R00277,3.254
R00279,6.5981
R00281,8.6983
R00283,12.185
R00285,10.9093
R00286,13.1853
R00287,14.3605
R00290,3.3334
R00291,6.8368
R00292,9.2631
R00295,13.1074
R00298,-0.8191
R00300,10.3247
R00301,7.1925
R00304,-3.9614
R00306,12.019
R00309,2.5051
R00310,11.0431
R00313,13.6939
R00314,-8.3939
R00316,4.329
R00317,17.9623
R00319,6.4904
