ah_account_id,ah_event_time,health_score
A0000,1767383011000,53.75
A0000,1773902604000,91.38
A0001,1767393708000,44.49
A0001,1773953346000,12.23
A0002,1767334471000,49.52
A0002,1773526387000,94.52
A0003,1767315735000,48.71
A0003,1773328978000,7.66
A0004,1767385119000,45.25
A0004,1772802316000,90.6
A0005,1767304865000,43.52
A0005,1773307795000,13.4
A0006,1767343702000,45.79
A0006,1772540766000,90.51
A0007,1767297096000,47.98
A0007,1773140201000,91.09
A0008,1767346074000,52.74
A0008,1773429625000,11.27
A0009,1767336632000,57.3
A0009,1773242068000,86.55
A0010,1767302330000,53.61
A0010,1772681401000,13.68
A0011,1767312987000,43.96
A0011,1773257342000,9.05
A0012,1767242633000,46.68
A0012,1773960833000,6.68
A0013,1767315423000,49.81
A0013,1773810025000,89.44
A0014,1767310390000,49.39
A0014,1773427258000,12.12
A0015,1767343333000,48.74
A0015,1773296837000,94.91
A0016,1767283765000,38.68
A0016,1773980363000,12.19
A0017,1767341230000,45.86
A0017,1773025850000,10.08
A0018,1767363558000,48.96
A0018,1774175784000,6.18
A0019,1767358052000,44.91
A0019,1773145359000,11.54
A0020,1767236102000,55.26
A0020,1774181993000,10.82
A0021,1767360455000,48.98
A0021,1773094932000,86.63
A0022,1767397847000,58.28
A0022,1772988208000,9.59
A0023,1767374742000,45.45
A0023,1772854363000,89.8
A0024,1767255852000,52.97
A0024,1774124482000,85.5
A0025,1767386722000,50.59
A0025,1773098106000,86.32
A0026,1767278665000,53.4
A0026,1772734968000,10.42
A0027,1767332437000,52.11
A0027,1772982394000,9.56
A0028,1767329291000,49.46
A0028,1773872856000,7.76
A0029,1767308359000,49.16
A0029,1773911249000,10.64
A0030,1767300694000,62.29
A0030,1773354969000,9.49
A0031,1767332890000,50.98
A0031,1774471250000,89.48
A0032,1767279833000,41.65
A0032,1772496694000,8.28
A0033,1767247586000,52.31
A0033,1774261753000,94.75
A0034,1767267566000,46.54
A0034,1773127715000,92.1
A0035,1767338453000,44.26
A0035,1774430897000,88.7
A0036,1767262257000,50.39
A0036,1773991179000,89.28
A0037,1767226597000,45.94
A0037,1772992429000,90.41
A0038,1767295374000,55.86
A0038,1773438666000,93.93
A0039,1767287953000,51.44
A0039,1773391661000,86.34
A0040,1767326823000,44.24
A0040,1772412405000,93.2
A0041,1767300911000,48.86
A0041,1774356361000,85.57
A0042,1767343044000,51.02
A0042,1773624118000,11.06
A0043,1767270978000,47.51
A0043,1773762001000,86.75
A0044,1767334521000,51.4
A0044,1773493151000,11.33
A0045,1767363080000,52.24
A0045,1772523009000,94.26
A0046,1767295943000,49.97
A0046,1773122334000,11.03
A0047,1767296131000,55.03
A0047,1773175430000,5.09
A0048,1767291543000,56.26
A0048,1772546612000,7.57
A0049,1767390085000,51.6
A0049,1773324927000,89.49
A0050,1767267927000,42.26
A0050,1772717358000,5.0
A0051,1767246459000,55.6
A0051,1773467054000,87.69
A0052,1767237359000,50.24
A0052,1773946515000,86.46
A0053,1767388261000,56.97
A0053,1772858152000,89.1
A0054,1767345327000,44.49
A0054,1773367322000,5.67
A0055,1767231650000,55.63
A0055,1773013663000,93.9
A0056,1767330849000,48.62
A0056,1772633111000,90.26
A0057,1767315000000,43.84
A0057,1774563890000,5.58
A0058,1767245027000,60.7
A0058,1773987896000,13.25
A0059,1767258951000,46.44
A0059,1772928586000,8.67
A0060,1767361611000,55.11
A0060,1772923866000,88.9
A0061,1767319463000,50.66
A0061,1773282785000,94.57
A0062,1767300107000,55.56
A0062,1773159690000,8.14
A0063,1767352694000,49.53
A0063,1773466433000,5.74
A0064,1767357626000,49.23
A0064,1774133179000,12.42
A0065,1767268092000,55.54
A0065,1773705008000,6.73
A0066,1767284711000,51.91
A0066,1773519212000,7.78
A0067,1767369227000,50.43
A0067,1772891733000,88.98
A0068,1767364440000,47.12
A0068,1773519517000,85.71
A0069,1767329711000,45.28
A0069,1774261237000,7.2
A0070,1767364378000,45.07
A0070,1773095584000,11.28
A0071,1767260128000,50.23
A0071,1773396732000,10.66
A0072,1767364276000,56.5
A0072,1774107412000,13.23
A0073,1767292370000,52.7
A0073,1773139734000,87.81
A0074,1767316944000,51.61
A0074,1773201676000,12.89
A0075,1767328423000,51.05
A0075,1772373605000,90.24
