account_id,event_time,amount,balance
A0004,1769500104000,15.89,6038.28
A0005,1768874596000,38.16,4067.04
A0006,1773056184000,27.99,6828.62
A0008,1768072035000,18.94,4252.5
A0011,1770543369000,20.1,4744.12
A0012,1769334844000,18.58,7703.53
A0013,1768116091000,38.36,8116.86
A0014,1768169623000,37.05,9521.36
A0015,1770847908000,16.69,5375.67
A0021,1768576640000,112.27,1683.27
A0025,1771383750000,66.7,8855.68
A0026,1771669783000,73.34,6868.76
A0027,1767752581000,77.62,8306.97
A0027,1770413430000,29.13,9779.65
A0029,1771774061000,7.57,6085.01
A0031,1769637378000,6.35,4765.08
A0031,1772559822000,27.27,5263.81
A0034,1767281905000,34.25,6386.83
A0036,1770555459000,63.63,6253.8
A0036,1770709216000,14.2,6102.45
A0037,1767254611000,16.08,5659.82
A0038,1767240899000,17.54,6379.23
A0038,1770177700000,71.05,5644.86
A0040,1767239335000,39.84,5971.38
A0040,1771421981000,9.78,5226.21
A0040,1771568279000,24.18,5075.04
A0041,1771501326000,63.99,5659.05
A0043,1767301182000,31.28,3104.77
A0043,1769899390000,84.48,2580.26
A0046,1767305590000,27.77,2360.36
A0046,1772054808000,13.59,1921.3
A0052,1767241714000,81.09,5206.9
A0054,1772672426000,4.38,3989.83
A0057,1770156729000,193.23,2596.91
A0058,1771596785000,4.74,2893.04
A0059,1769088953000,3.48,5077.03
A0059,1769477309000,24.25,5327.0
A0062,1768054784000,34.36,3265.92
A0065,1767720587000,176.76,4731.92
A0066,1767304780000,5.61,4302.47
A0067,1770125016000,19.79,7046.92
A0068,1771774474000,33.3,7777.31
A0072,1767275478000,15.44,1285.98
A0072,1767927720000,13.1,1842.08
A0072,1769559266000,47.55,1116.71
A0073,1769244920000,17.38,4473.55
A0073,1772407314000,37.97,5078.72
A0073,1772604822000,29.94,5050.91
A0074,1773138530000,31.92,3544.29
A0075,1771129451000,46.89,3645.47
A0075,1771242436000,11.93,3633.15
A0075,1771994878000,55.4,3426.01
A0076,1770176820000,68.51,4999.81
A0076,1771854476000,35.61,5021.36
A0081,1767285513000,20.03,2074.88
A0082,1772539218000,63.84,764.59
A0083,1767301772000,18.33,6810.75
A0083,1768814746000,79.5,6877.1
A0085,1771362765000,4.96,8553.92
A0086,1768873765000,107.36,4223.78
A0087,1771972339000,13.62,5488.61
A0091,1769248922000,45.16,4942.23
A0095,1771583965000,817.34,3047.06
A0095,1771972771000,27.66,3560.14
A0096,1772224103000,36.13,4468.64
A0097,1767250867000,75.84,6288.92
A0097,1767907106000,5.36,6439.99
A0097,1769971088000,20.64,7057.94
