item_id,embedding,label
I0000,"[-9.258642, 4.488945, -0.952887, 0.968932, 4.969959, 4.180746, 0.602948, 4.202366, -4.6138, -0.86294, 1.773831, -3.247142, -3.481548, -0.105339, 2.476227, -0.605044]",c0
I0001,"[-3.975133, -1.782788, 1.555223, 2.015519, 1.52715, 5.970099, -2.209116, -4.489676, 5.266114, 0.823499, -0.588489, 0.151944, -1.818811, 1.565171, 3.660221, -2.527325]",c2
I0002,"[-2.316865, -3.733699, -0.299381, 0.324924, 2.978793, 1.197862, 4.454741, -2.303427, 0.540158, -0.651473, -3.777642, 1.232175, 3.652977, 0.476315, -0.266064, 4.164892]",c3
I0003,"[-4.5835, -0.843509, 2.026056, 2.273667, 1.020781, 4.747758, -2.966364, -4.292536, 4.331247, -0.484301, -0.194516, 1.439777, -0.470098, 2.026031, 2.389548, -2.90596]",c2
I0004,"[-6.297447, 2.385663, -4.070927, -5.060493, -1.645466, -1.405432, -2.432589, -1.925901, 1.13238, -1.726574, -8.711961, 8.349944, 3.615287, -3.033577, 5.392231, -6.142824]",c1
I0005,"[-4.907436, -1.707941, 2.191221, 1.289109, 0.621211, 5.055021, -1.800655, -3.935899, 4.63849, -0.001326, 0.055725, 0.758603, -1.985266, 1.161749, 3.830926, -3.405397]",c2
I0006,"[-6.391959, 2.428273, -4.452671, -6.327043, -1.55281, -0.498084, -2.366206, -2.152489, 0.522325, -2.008667, -8.601502, 7.936886, 3.619451, -2.925419, 6.166452, -6.936103]",c1
I0007,"[-8.099575, 4.867375, -0.638579, 0.27119, 3.761467, 4.132705, 0.401298, 4.355542, -3.646967, -1.588533, 1.397661, -3.639626, -4.97621, -0.602507, 2.631353, -1.205813]",c0
I0008,"[3.654603, -3.82836, 3.164266, 0.314682, -2.013183, 2.889492, -3.011956, 0.779587, -2.138382, -1.060237, 3.461463, -0.97477, -1.15537, -0.461498, -1.462609, -1.457524]",c4
I0009,"[0.770622, -0.448123, 0.050969, -2.946371, 0.352182, 0.137136, -2.512397, -0.99122, 5.151672, -1.667399, 5.149413, -0.915648, 3.939767, -2.261742, 5.870347, -2.825735]",c5
I0010,"[-7.363803, 2.902551, -2.893585, -6.471682, -2.183241, -0.831263, -1.973288, -2.706434, 1.214149, -1.959226, -7.96296, 7.707587, 3.423562, -2.39332, 5.275543, -6.092883]",c1
I0011,"[3.867908, -3.105481, 2.002674, 1.488573, -1.661401, 3.162576, -2.738167, 0.510706, -0.307458, -0.979106, 3.846388, -0.857411, -1.05254, -0.7673, -2.146109, 0.420596]",c4
I0012,"[-9.574177, 5.439866, -0.69005, 1.501305, 3.463723, 3.588195, 1.412602, 5.216883, -3.676072, -0.648617, 2.449862, -2.815306, -4.332262, -1.380314, 1.958038, 0.168684]",c0
I0013,"[-6.052781, 2.528904, -4.663242, -6.797222, -1.671545, -1.972225, -1.21964, -1.676171, 0.848465, -1.597839, -8.406971, 8.019011, 2.902165, -2.966736, 5.447971, -5.719883]",c1
I0014,"[3.049713, -3.562432, 2.202457, 0.779484, -2.039435, 2.49232, -3.017539, 1.561827, -0.809726, -1.229342, 4.702766, -1.416022, -0.667463, -0.569534, -1.744688, 0.348766]",c4
I0015,"[0.276283, -0.487222, -1.35784, -2.167318, 1.481014, -0.197902, -1.728699, -0.570331, 3.596316, -1.090029, 4.34882, -2.060747, 3.503658, -3.863709, 6.818962, -1.502707]",c5
I0016,"[-2.115666, -4.398738, -0.649806, -0.275787, 1.924271, 0.773744, 2.322823, -1.561643, 0.341398, -0.634706, -3.781128, 1.133412, 3.300129, 0.634308, -0.04157, 3.367395]",c3
I0017,"[3.688395, -3.24631, 1.043335, 0.781482, -1.911721, 4.70474, -3.250889, 1.168664, -1.308237, -0.332969, 4.117961, -1.460635, -2.07238, -0.004591, -1.892673, -0.190111]",c4
I0018,"[0.735166, -0.108354, -0.325746, -3.848448, 1.225077, 0.155955, -1.215919, -1.096502, 4.621306, -1.529565, 5.377201, -0.999175, 4.38693, -1.651127, 5.220419, -2.142005]",c5
I0019,"[4.521291, -1.776804, 1.621348, -0.003067, -2.824582, 3.027545, -3.782445, 1.263107, -0.0593, -0.810541, 3.457165, -0.800684, -1.122852, -0.488344, -1.751039, 0.032562]",c4
I0020,"[-1.270403, -3.492785, -0.474868, 0.406485, 2.322758, 0.183403, 3.317731, -1.722274, 0.634728, -0.399708, -3.955752, 2.085942, 2.685204, -0.03349, 1.06081, 3.90426]",c3
I0021,"[4.274101, -2.969793, 2.555811, 1.287136, -2.513646, 4.414242, -3.903781, 0.269034, -1.346352, -2.077498, 4.179358, -2.014405, -0.750717, 0.314127, -1.489378, -0.179666]",c4
I0022,"[-8.684799, 5.688609, -1.746443, 1.274849, 5.56425, 3.567359, 0.722457, 4.548862, -3.695555, -2.070298, 3.065609, -3.983035, -4.691025, -0.453746, 2.371918, -0.656089]",c0
I0023,"[0.548749, 1.026882, -1.039339, -2.081801, 0.698992, -0.168394, -2.878285, -0.579049, 4.021696, -1.639232, 4.620849, -1.262582, 3.387196, -3.882795, 5.565348, -1.704111]",c5
I0024,"[-4.334197, -1.262816, 2.087475, 2.402024, 0.651117, 4.670146, -2.481963, -3.282566, 4.426725, -1.146626, 0.004991, 2.454045, -1.832395, 2.730646, 3.772505, -0.873827]",c2
I0025,"[-1.227996, -3.748438, -1.817388, -0.066788, 2.863916, 0.127186, 3.137135, -1.94248, 0.423632, 0.130405, -4.066003, 2.20005, 3.299886, -0.173517, 0.724536, 3.667559]",c3
I0026,"[-0.129372, 0.092677, -0.216921, -2.556104, -0.642353, 0.492451, -1.345905, -0.851151, 3.126234, -1.648726, 5.596749, -1.359311, 3.315879, -2.991852, 6.229742, -2.70426]",c5
I0027,"[-9.27281, 4.83433, -0.900121, 1.163609, 4.11325, 3.260385, -0.645293, 4.201784, -3.55283, -1.766572, 2.137343, -1.93927, -5.389007, 0.487246, 2.360904, 0.268111]",c0
I0028,"[-4.89459, -1.194029, 1.029905, 2.595281, 0.209111, 5.438169, -1.8631, -3.892707, 5.128503, -0.743358, 1.016942, 0.79889, -0.955811, 2.532753, 3.202825, -2.078356]",c2
I0029,"[3.533996, -3.683412, 1.592988, 0.628392, -1.511868, 3.166347, -2.785646, 1.867307, -0.199616, -0.8402, 3.76958, -0.569128, -1.653707, -0.501992, -2.502851, -1.17493]",c4
I0030,"[1.471185, 0.839904, -0.38861, -2.473738, 0.86039, 0.2154, -3.028169, -1.028813, 3.294818, -2.047159, 4.966769, -1.004669, 3.33428, -2.221016, 5.572618, -1.651109]",c5
I0031,"[-7.408969, 5.375234, -1.881321, -0.349082, 4.549843, 3.650645, 0.973142, 3.532663, -2.78675, -2.539951, 2.02043, -3.279049, -4.613851, -0.352377, 2.732855, -1.131667]",c0
I0032,"[-4.874103, -1.071486, 1.181276, 1.835104, 0.226538, 4.483455, -3.395159, -4.569064, 5.232374, -0.391194, 0.59635, 1.559008, 0.044739, 2.542016, 3.213393, -2.944823]",c2
I0033,"[-3.795105, -1.628966, 2.819618, 2.71221, 1.516425, 5.133575, -1.733301, -3.758593, 4.114384, 0.671527, 0.019976, 1.881591, -0.935593, 2.754412, 3.273201, -2.821834]",c2
I0034,"[-2.112003, -4.095981, -0.054208, 0.828607, 2.996291, 1.191365, 3.577161, -2.767134, 1.977726, -0.661505, -3.776275, 1.237854, 4.469302, -0.460137, 0.878705, 2.922494]",c3
I0035,"[-1.407281, -4.579236, -0.905961, 1.370183, 2.686221, 0.583792, 3.35711, -2.524736, 0.672287, -1.194645, -2.754795, 0.748566, 3.902326, -0.212311, 0.963175, 2.408689]",c3
I0036,"[-7.234674, 2.586838, -4.774028, -6.959441, -3.329541, -0.92375, -2.517662, -2.324354, 0.494134, -1.369964, -8.811079, 8.483209, 1.518485, -1.791095, 6.965859, -5.947528]",c1
I0037,"[4.33083, -2.744567, 1.501017, 1.297109, -1.813334, 3.193475, -3.789444, 1.948746, -0.031074, -1.263633, 3.76368, -0.01549, -2.323604, -1.326467, -2.421793, -0.005245]",c4
I0038,"[-8.467555, 6.123134, -1.352928, 0.860926, 3.767582, 3.312411, 1.216001, 3.868953, -3.097126, -1.185319, 1.120094, -3.828498, -3.871039, -0.156482, 2.580906, -0.084161]",c0
I0039,"[-8.496467, 6.127384, -1.387625, 1.11551, 4.065809, 4.185194, 1.79607, 3.824572, -2.83425, -2.156745, 2.893198, -2.138869, -5.200711, 0.379124, 2.190541, -0.580457]",c0
I0040,"[-7.258173, 2.976428, -5.414885, -7.057164, -2.217778, -1.412208, -2.008938, -2.423193, 1.54856, -3.139401, -9.189114, 8.75802, 2.726432, -4.376634, 5.639727, -6.577945]",c1
I0041,"[0.993313, -0.02424, -0.024679, -2.649741, 1.006065, 0.656375, -2.362839, -1.358243, 4.262579, -1.08458, 5.415578, -0.626949, 2.914118, -3.158226, 5.498443, -2.67666]",c5
I0042,"[-1.032515, -0.941838, -0.709955, -3.048059, 1.315288, 1.109739, -2.102453, -1.252975, 3.084106, -1.352248, 5.700483, -1.693738, 4.745779, -3.885487, 4.992769, -2.400454]",c5
I0043,"[-7.784659, 2.278565, -4.655035, -5.779205, -1.179161, -2.244207, -2.788159, -2.725925, 1.236277, -2.993059, -8.895513, 8.522483, 3.026079, -3.64004, 6.81012, -6.644122]",c1
I0044,"[-8.4151, 5.925656, -1.898375, -0.655694, 4.136193, 4.812937, 1.143704, 4.190789, -3.264666, -2.435603, 2.251257, -3.4861, -3.036341, -0.598544, 2.005609, -0.083193]",c0
I0045,"[-0.659625, -1.289603, -0.314644, -3.195998, 1.008344, 0.046417, -3.322281, -1.086179, 3.369452, -1.393794, 4.439569, -0.421934, 4.021864, -3.192469, 6.39941, -1.187541]",c5
I0046,"[-1.350774, -3.740165, 0.383872, 0.591339, 2.085789, 1.659943, 4.09554, -2.277671, 1.739796, -0.941739, -3.892552, 1.808569, 3.997985, -0.821523, 0.442963, 2.273907]",c3
I0047,"[2.999263, -4.001533, 2.295371, 1.777268, -1.627605, 3.74507, -3.982662, 0.508073, -0.783469, -0.58274, 4.440441, -1.312543, -1.314641, 0.007736, -0.908667, -0.679814]",c4
I0048,"[-4.736729, -1.302842, 2.981235, 2.232278, 0.728634, 4.158981, -2.795982, -4.31296, 5.544121, -0.304189, 1.174325, 0.737906, -1.654691, 1.522122, 3.270392, -2.812529]",c2
I0049,"[-4.616723, -1.8692, 2.30246, 2.859743, 0.459388, 5.307701, -2.874123, -5.093895, 4.817424, -0.111831, 0.190757, 0.425887, -0.218212, 2.67727, 4.043024, -3.187793]",c2
I0050,"[4.482734, -2.628028, 1.511843, 0.187839, -0.440015, 3.729509, -3.523421, 0.551226, -0.06307, -1.16221, 3.500716, -1.184668, -1.409279, 0.305233, -1.526296, -1.071709]",c4
I0051,"[3.331574, -1.624732, 0.993679, 0.507064, -2.559014, 3.842853, -3.287586, 1.691064, -0.559178, -0.205682, 3.110177, -0.288218, -1.668583, -1.211799, -2.897238, -0.419739]",c4
I0052,"[-0.480019, -4.935248, -0.089834, 0.406208, 2.390905, 0.101736, 4.049451, -2.003744, -0.361466, -0.767529, -3.691426, 0.542877, 4.424978, -0.052776, -0.671516, 4.184101]",c3
I0053,"[-7.153034, 3.278671, -4.269086, -6.484704, -1.773613, -2.374215, -1.612255, -3.109323, -0.084705, -1.963722, -9.795729, 8.907216, 2.99844, -3.914297, 4.787608, -5.6226]",c1
I0054,"[-0.207599, -0.768225, -0.536614, -2.500816, 1.065532, 0.417269, -2.778887, -0.43791, 4.660349, -1.456454, 5.017604, -0.870101, 4.572913, -4.132619, 6.50315, -2.178039]",c5
I0055,"[0.596355, 0.257305, -0.825672, -3.160612, 0.637751, -0.796434, -3.01206, -2.122511, 3.102218, -1.391979, 5.318658, -0.230925, 4.412927, -3.860009, 5.052013, -0.829723]",c5
I0056,"[-4.535025, -1.671654, 2.868287, 2.669749, 0.29694, 3.686581, -3.37777, -4.194508, 4.566375, -0.00611, 1.377057, -0.673299, -0.65858, 3.178072, 3.298035, -2.570108]",c2
I0057,"[-5.628077, -1.628546, 1.83517, 1.66737, 1.020965, 4.540818, -2.726026, -4.006303, 4.998701, -0.234921, -0.041289, 0.594608, -1.016172, 2.164361, 2.4888, -3.772561]",c2
I0058,"[-7.051532, 3.525936, -4.701482, -5.378609, -2.076265, -1.354762, -1.78953, -2.280229, -0.072637, -1.533628, -9.65194, 8.767826, 3.203433, -4.327753, 6.160185, -6.508217]",c1
I0059,"[4.016307, -2.684136, 3.168444, 0.128856, -2.315373, 4.114293, -3.334472, 1.493334, -0.419669, -0.627964, 4.330305, -0.957764, -0.866501, 0.892499, -1.747062, -1.454947]",c4
I0060,"[-8.15026, 6.446255, -2.072235, -0.652505, 4.074637, 4.342048, 0.8308, 4.422215, -4.616264, -2.508347, 2.361251, -1.403769, -4.404257, 0.318109, 1.0818, -0.630658]",c0
I0061,"[-4.843377, -1.516279, 1.632229, 2.220856, -0.372121, 4.22029, -2.673871, -5.165164, 5.090053, -1.081837, -0.054817, 0.872391, -0.997897, 2.176271, 4.185024, -3.374886]",c2
I0062,"[-7.222057, 2.730683, -4.663574, -6.496243, -0.987378, -2.244328, -2.111097, -2.321631, 0.500242, -2.893178, -8.368158, 8.143908, 2.475288, -2.705312, 5.414302, -6.441963]",c1
I0063,"[0.82914, -0.297999, 1.129161, -2.244546, 1.399789, 0.898788, -2.334005, -0.592723, 3.48779, -3.428309, 5.152333, -0.935512, 4.097654, -2.12902, 5.67611, -1.763858]",c5
I0064,"[4.364614, -3.260932, 2.097769, 0.227756, -1.221694, 3.551543, -3.186399, 1.691829, -0.209363, -0.174019, 3.759325, -1.59298, -2.236493, -0.170321, -2.75018, -0.329715]",c4
I0065,"[-9.081277, 5.369117, -2.155465, 1.213462, 4.455391, 4.942337, 1.012594, 4.531678, -3.404964, -2.587765, 3.206905, -2.593559, -4.845795, 0.045851, 3.286208, -0.781387]",c0
I0066,"[4.895955, -2.365644, 2.147482, 0.612164, -1.557782, 4.027307, -4.620173, 1.276446, -1.749249, -0.671343, 4.622972, -0.392322, -1.006866, -0.629035, -2.498399, -1.345118]",c4
I0067,"[4.409825, -3.549926, 1.91352, 0.056871, -2.419801, 4.523389, -3.506907, 0.73308, -0.036836, -0.495797, 3.305196, -1.527159, -1.253454, -1.202086, -3.529109, -0.609812]",c4
I0068,"[-1.914229, -5.01125, 0.883193, 0.234717, 3.600336, 0.778457, 5.070853, -1.491598, 0.783869, -0.179394, -3.871982, 1.8027, 3.877849, -0.609684, 0.672368, 3.549255]",c3
I0069,"[-1.743476, -4.333359, -1.034372, -0.16767, 2.844695, 0.783995, 4.391519, -2.393307, 0.887309, -0.846326, -3.785966, 0.220525, 3.813788, -0.520209, -0.620421, 4.202874]",c3
I0070,"[-0.845951, -3.595681, 0.627439, 0.14952, 1.797781, 0.966524, 3.85283, -0.995749, 0.655623, -0.839218, -2.788797, 0.664519, 2.190789, -0.438527, 1.476345, 3.067862]",c3
I0071,"[5.061997, -2.556838, 2.489984, 0.49967, -2.471373, 3.434817, -3.690711, 1.712494, -0.886678, -0.284854, 4.825101, -1.334048, -1.341611, -0.754084, -1.705139, -0.104777]",c4
I0072,"[-0.208891, -0.4267, -0.719183, -1.432675, 1.040298, 0.661237, -2.845685, -0.46182, 4.865639, -2.898401, 4.94002, -0.220475, 4.017035, -2.617834, 5.881912, -1.266351]",c5
I0073,"[0.349818, -0.455183, 0.459929, -1.586432, 0.10017, 0.337157, -2.437797, -1.07506, 4.0713, -1.487708, 4.486426, -1.589257, 4.406493, -3.41113, 5.81416, -2.030989]",c5
I0074,"[-1.381999, -4.420463, 0.499131, 0.589552, 2.519606, 1.176766, 3.448023, -2.590776, 1.387911, -1.438378, -3.87117, 1.810037, 3.428658, -1.313756, 0.289742, 4.727268]",c3
I0075,"[0.589266, -1.147371, -0.296932, -2.743963, 0.230015, 0.42473, -3.920045, 0.105798, 2.523585, -1.01798, 5.010238, -0.91892, 2.916185, -2.287356, 6.082622, -0.380137]",c5
I0076,"[-5.510977, -1.586653, 1.570778, 2.249468, 0.430607, 5.150732, -2.226476, -4.853302, 4.07641, -0.380407, 0.626299, 0.979589, -0.254736, 2.823129, 2.875641, -3.681194]",c2
I0077,"[-5.331806, -1.516881, 0.600862, 2.206752, 1.768909, 4.135661, -4.529373, -4.316097, 5.915632, -1.219707, 1.183159, 0.778709, -0.690486, 1.096586, 2.336952, -2.544552]",c2
I0078,"[-4.315377, -2.281516, 2.389044, 2.881518, 1.1831, 4.544676, -2.8609, -3.568304, 5.601515, -0.270735, -0.52036, 1.090992, -0.362928, 2.675395, 3.06329, -2.880976]",c2
