row_id,account_id,event_time,amount,category
R00522,A0000,1771726500000,8.18,rent
R00368,A0109,1770179100000,6.87,rent
R00567,A0066,1772085960000,2.16,travel
R00349,A0064,1770001800000,4.66,salary
R00572,A0005,1772143980000,26.14,rent
R00408,A0016,1770614040000,20.52,salary
R00435,A0066,1770865320000,8.98,travel
R00378,A0061,1770318720000,36.82,other
R00379,A0039,1770349560000,9.45,other
R00446,A0010,1770986280000,30.77,rent
R00418,A0028,1770709200000,7.79,other
R00433,A0064,1770847500000,82.04,salary
R00440,A0019,1770912300000,87.29,rent
R00401,A0046,1770534000000,12.77,travel
R00497,A0041,1771502700000,21.36,rent
R00358,A0042,1770077040000,7.1,salary
R00524,A0078,1771731060000,24.99,salary
R00393,A0051,1770472680000,2.57,travel
R00354,A0100,1770046680000,7.2,other
R00360,A0111,1770107700000,114.18,grocery
R00398,A0088,1770522000000,30.09,other
R00449,A0085,1771029000000,1.54,salary
R00545,A0074,1771900140000,5.28,travel
R00465,A0104,1771169100000,175.1,other
R00486,A0081,1771405320000,29.56,salary
R00549,A0014,1771920960000,8.27,other
R00574,A0102,1772179080000,101.08,grocery
R00462,A0045,1771155780000,59.82,other
R00400,A0050,1770527700000,2.19,rent
R00372,A0100,1770259380000,12.59,rent
R00493,A0021,1771475400000,231.6,salary
R00580,A0038,1772240460000,47.92,salary
R00562,A0028,1772063640000,26.47,other
R00541,A0059,1771866060000,7.14,grocery
R00409,A0076,1770618900000,13.62,other
R00353,A0112,1770038880000,4.38,grocery
R00395,A0025,1770487080000,4.02,travel
R00598,A0041,1772383800000,9.18,other
R00403,A0034,1770541920000,27.36,salary
R00563,A0078,1772071800000,44.93,salary
R00417,A0049,1770709140000,151.76,other
R00376,A0116,1770292560000,12.84,grocery
R00487,A0039,1771428120000,55.09,other
R00460,A0047,1771128900000,56.76,rent
R00569,A0102,1772139300000,447.92,rent
R00590,A0096,1772330880000,15.91,salary
R00369,A0031,1770180420000,63.33,travel
R00595,A0034,1772363340000,7.29,travel
R00535,A0087,1771835040000,40.94,grocery
R00375,A0101,1770278340000,23.41,travel
R00373,A0044,1770270900000,9.09,travel
R00513,A0006,1771645320000,12.56,salary
R00463,A0072,1771157460000,5.06,other
