row_id,f1,f2,f3,f4,f5,f6,label
R00000,-0.699619,2.313821,0.278612,0.869979,2.483201,-0.027448,1
R00001,0.969685,2.62361,-0.178183,0.537966,2.537565,-0.001557,1
R00002,-0.174153,0.125141,0.139863,0.611471,2.434986,0.162591,1
R00003,-0.685875,0.360124,0.150513,-0.464501,2.331081,0.358067,1
R00004,-0.56728,1.57628,0.66125,-0.498723,-0.121865,-0.587416,0
R00005,-0.997308,1.631665,-1.190688,-0.110992,-0.079511,-0.265628,0
R00006,-1.237471,-0.332565,-0.270714,0.457614,-0.149994,1.031017,0
R00007,0.0877,1.527868,-0.799553,0.304965,-0.248143,0.120286,0
R00008,1.296755,0.130298,1.099306,-1.934669,-0.012734,-0.63455,0
R00009,1.506901,0.398145,0.518462,1.641498,0.051349,0.813578,0
R00010,1.259114,-1.139099,-0.30305,0.128939,-0.004569,0.34467,0
R00011,0.123098,0.892569,0.398029,0.94875,-0.071625,1.027389,0
R00012,-0.848799,-0.389394,0.657374,-1.879527,2.589275,1.280637,1
R00013,1.191533,1.61369,-0.390726,-0.845479,2.3501,4.624368,1
R00014,2.092447,-0.403252,-0.075696,-0.529243,-0.032773,-0.720052,0
R00015,0.650473,-1.360337,0.722442,0.152047,-0.262936,-0.751724,0
R00016,0.478213,-1.499082,-1.070488,1.750617,0.020102,-0.725907,0
R00017,0.855079,0.209101,0.244453,0.3469,2.197136,1.050465,1
R00018,-1.080325,2.534354,2.063709,-0.368861,2.343178,-0.761548,1
R00019,-0.701118,0.024766,0.031136,0.938439,0.091263,-0.603916,0
R00020,-1.359349,-1.087128,-0.20896,-0.855995,0.064615,0.771493,0
R00021,0.667279,0.447764,0.014456,-2.113099,0.115609,1.528772,0
R00022,-0.340316,0.551982,-0.803081,-0.294048,0.078605,0.212738,0
R00023,0.150253,-0.09902,-1.501658,-0.200261,2.381926,-0.174341,1
R00024,-0.413597,-1.712107,1.547853,-1.186442,-0.136316,1.577187,0
R00025,-0.368864,1.716699,-1.336572,0.357442,2.610471,-0.129726,1
R00026,1.164618,-0.772071,-0.930137,0.866547,-0.166845,-0.428212,0
R00027,1.705017,0.98127,1.262447,-0.87857,-0.269345,-0.144029,0
R00028,-0.346063,-0.872895,-0.471215,1.005201,0.02883,0.269424,0
R00029,-0.911334,0.631813,0.673805,0.563612,2.430589,-0.208459,1
R00030,1.494692,-0.88278,1.0933,0.461222,0.012099,-0.874465,0
R00031,-0.590758,-0.506349,0.20483,-0.12242,0.04298,-0.240346,0
R00032,0.155635,0.645524,-0.78454,-0.978536,2.361204,2.630245,1
R00033,0.823165,0.934702,2.013276,-0.874686,2.51291,-0.837324,1
R00034,-0.900994,0.501744,-0.214513,0.194699,-0.246692,1.002066,0
R00035,0.062525,0.109035,-0.421557,-0.101355,2.410568,0.620723,1
R00036,-0.146207,2.576561,1.124353,0.556015,0.008352,1.059061,0
R00037,-1.381808,0.347221,-0.206738,0.069572,0.104095,-0.097567,0
R00038,-1.641987,0.820071,0.33471,0.722349,-0.125667,-1.230132,0
R00039,0.923542,-0.94155,-0.682792,-0.530198,0.086668,1.566345,0
R00040,-1.665995,-0.386966,-0.376421,0.333734,2.379119,0.497742,1
R00041,1.374311,0.249668,0.452609,-1.703107,-0.114514,-1.252311,0
R00042,-0.074905,0.643056,0.899426,0.575378,0.027722,-1.115844,0
R00043,-1.561572,0.764802,-0.117508,-0.000566,-0.199696,-0.684576,0
R00044,1.780226,-0.818935,1.512859,0.087771,0.017279,0.553056,0
R00045,0.984298,0.349848,-0.23176,0.18484,2.188179,0.390617,1
R00046,-1.615966,-1.183931,-0.358433,-1.13222,0.004281,-0.038591,0
R00047,-0.586776,0.829841,1.01803,-0.91344,-0.042398,0.52633,0
R00048,-0.049709,1.270298,-0.440071,1.480012,-0.124053,-0.108202,0
R00049,0.67377,1.553219,-0.978477,1.281225,0.158324,-0.746515,0
