account_id,label_time,churned,transactions_account_id,transactions_event_time,transactions_amount,transactions_balance,profiles_account_id,profiles_event_time,profiles_credit_score,profiles_tier,activity_account_id,activity_event_time,activity_sessions_7d,account_health_account_id,account_health_event_time,account_health_health_score
A0000,1772877674000,1,A0000,1772762890000,12.3,2135.69,A0000,1767255706000,515,gold,A0000,1772768750000,27,A0000,1767284065000,49.16
A0001,1772870423000,0,A0001,1772419437000,35.62,6422.33,A0001,1767236907000,748,gold,A0001,1772684934000,32,A0001,1767340329000,55.64
A0002,1772548688000,0,A0002,1771775416000,20.87,2173.89,A0002,1767229237000,799,bronze,A0002,1772098656000,35,A0002,1767385585000,51.36
A0003,1772594256000,1,A0003,1771876358000,168.74,8771.01,A0003,1767300635000,775,silver,A0003,1772107840000,33,A0003,1767352423000,55.38
A0004,1772976596000,1,A0004,1772427317000,171.75,4320.2,A0004,1768069767000,440,silver,A0004,1772745086000,13,A0004,1767317967000,50.67
A0005,1772512860000,1,A0005,1770417158000,22.24,7927.15,A0005,1767283162000,611,silver,A0005,1772204604000,11,A0005,1767226508000,55.79
A0006,1772938468000,1,A0006,1771518184000,214.19,3514.92,A0006,1769373434000,656,bronze,A0006,1772800532000,8,A0006,1767365108000,44.79
A0007,1772013210000,1,A0007,1771667850000,134.03,3202.92,A0007,1767246363000,412,gold,A0007,1771624195000,20,A0007,1767252016000,43.53
A0008,1773611043000,1,A0008,1773391027000,94.75,3569.36,A0008,1769683638000,491,silver,A0008,1773352399000,21,A0008,1767324704000,46.48
A0009,1772841952000,0,A0009,1772537688000,31.63,6551.73,A0009,1769994059000,747,gold,A0009,1772735521000,25,A0009,1767393655000,52.87
A0010,1773149792000,1,A0010,1771027349000,44.87,8326.76,A0010,1768485037000,783,gold,A0010,1772745116000,14,A0010,1767362592000,54.16
A0011,1773562131000,1,A0011,1772936357000,196.39,2049.96,A0011,1767291667000,448,bronze,A0011,1773368798000,36,A0011,1767281606000,45.66
A0012,1772298120000,0,A0012,1771006578000,38.4,3376.51,A0012,1767289300000,679,silver,A0012,1772074014000,14,A0012,1767391418000,55.57
A0013,1772079870000,1,A0013,1770102095000,45.9,4509.28,A0013,1771021070000,434,gold,A0013,1771570672000,15,A0013,1767351112000,55.89
A0014,1773083164000,0,A0014,1772872269000,30.82,4909.85,A0014,1767300515000,541,gold,A0014,1772766024000,32,A0014,1767264644000,50.67
A0015,1772567627000,1,A0015,1771467176000,98.84,2498.56,A0015,1767254595000,771,bronze,A0015,1772114969000,37,A0015,1767247724000,50.68
A0016,1772530303000,1,A0016,1772071127000,31.16,5396.61,A0016,1767290313000,716,gold,A0016,1772176632000,3,A0016,1767291639000,61.86
A0017,1773219967000,1,A0017,1771177740000,129.89,5993.5,A0017,1767231531000,585,gold,A0017,1772767723000,19,A0017,1767274479000,54.02
