row_id,f1,f2,f3,f4,f5,f6,label
R00000,-0.836495,0.420373,-0.043997,-0.114057,0.272422,-1.424906,0
R00001,0.678564,0.852539,2.397268,1.96473,1.145235,1.355535,1
R00002,0.90826,2.26634,2.39869,-1.634711,-1.188947,-1.267676,1
R00003,1.189959,-1.009743,2.64595,0.965876,0.869764,2.91319,1
R00004,-0.778371,0.735276,0.072559,1.180914,0.452531,2.141019,0
R00005,1.638359,-0.569761,2.446009,1.306336,0.156778,-0.349536,1
R00006,0.087651,-0.903476,0.152,-0.556221,-0.514862,-1.529121,0
R00007,0.124632,0.117686,-0.029778,0.952858,1.75825,0.092178,0
R00008,0.278346,-0.40077,2.074306,0.598361,0.635867,0.177862,1
R00009,0.355619,-1.181034,-0.09369,-1.188715,-0.083077,0.492569,0
R00010,-1.453241,2.111009,-0.003555,-0.38962,1.284187,-1.500897,0
R00011,-0.761478,-0.340264,0.230028,-2.194636,2.467385,1.741833,0
R00012,-0.426967,0.899586,0.062428,-0.270801,-0.520799,-1.362048,0
R00013,0.468797,0.692249,2.67433,-1.251086,-0.261692,-0.884687,1
R00014,0.944053,-1.628443,2.442041,-0.172258,0.769804,0.22104,1
R00015,-1.198513,-0.326915,2.269546,-0.119499,0.277942,-0.107171,1
R00016,-0.734952,0.569485,-0.010452,1.030971,1.375403,-0.110872,0
R00017,-0.746159,-0.865457,0.039752,0.364363,0.341199,0.902713,0
R00018,1.022802,0.713026,2.50968,1.454188,0.65174,1.114919,1
R00019,-0.4019,0.309461,-0.04831,0.462049,-0.656778,0.333007,0
R00020,-0.39955,-0.412742,2.856236,1.557324,1.016325,-0.244731,1
R00021,-0.726279,1.710171,-0.262569,0.28507,0.557462,0.748072,0
R00022,-0.171972,0.232467,2.46156,0.488404,0.067648,-0.604961,1
R00023,0.289107,-0.444428,-0.10103,-1.103418,-1.153613,1.138538,0
R00024,1.041771,0.564761,2.575404,0.570632,0.194414,-1.053796,1
R00025,0.401863,-0.14655,-0.086712,-0.431049,1.967343,0.817257,0
R00026,0.405767,-1.535893,0.054888,1.469192,-0.021244,1.590279,0
R00027,0.56288,0.592507,2.389423,-0.136316,0.093982,0.819646,1
R00028,0.029356,-1.877791,-0.095367,0.699115,0.519585,0.313616,0
R00029,-0.316282,0.566661,-0.257725,-0.468013,0.135522,1.238927,0
R00030,-1.736555,-0.006064,0.073818,1.559364,0.216556,1.478929,0
R00031,0.225719,-0.055778,0.128911,-1.030016,-0.869291,0.652729,0
R00032,-0.010509,-1.373632,-0.273486,1.619863,0.663793,-0.792009,0
R00033,0.77901,0.133411,-0.153619,1.388121,0.279429,-1.838774,0
R00034,0.138796,0.513432,-0.096787,-2.111655,1.056675,1.937422,0
R00035,0.655909,-0.458431,2.883956,3.024634,0.430283,-0.200175,1
R00036,2.141995,-1.438403,2.538115,-2.242294,-0.129043,-0.715803,1
R00037,-1.322754,-1.965886,-0.049892,-1.595784,-0.67626,-1.415789,0
R00038,1.757212,-0.263246,2.431688,-0.214944,-0.44964,0.8253,1
R00039,1.817656,0.534499,-0.159397,0.899464,-1.230984,0.563348,0
R00040,1.708982,0.272925,2.3492,0.449423,1.084415,-1.092357,1
R00041,-0.885571,0.457941,0.272369,-0.357707,0.716714,0.229052,0
R00042,-2.505045,0.854262,0.194402,-0.110206,-0.534062,0.678828,0
R00043,-0.859237,-0.592145,2.272743,-1.385179,0.145698,1.10597,1
R00044,0.192147,-1.425982,2.61496,0.030733,-0.266328,-0.153842,1
R00045,0.914414,0.860177,-0.006153,-0.316921,0.198107,-0.670228,0
R00046,-0.415625,-1.450366,-0.084904,1.657065,0.4618,0.758211,0
R00047,1.967155,-0.473503,2.593608,-0.491635,1.489113,0.451997,1
R00048,-0.666355,0.738687,2.547513,1.042316,-1.042649,0.422514,1
R00049,0.349078,0.622156,2.431996,0.275835,-0.940974,0.602815,1
R00050,-0.122531,-2.073575,2.697763,0.821392,0.274574,0.412991,1
R00051,0.094254,1.083068,2.777237,-0.346113,0.00452,0.60002,1
R00052,-0.998033,0.112228,0.026971,-0.226992,-0.32441,0.59253,0
R00053,0.420551,-1.043592,2.473517,1.100663,0.28902,0.148766,1
R00054,1.654687,0.592356,0.209216,-1.379155,0.230317,1.050885,0
R00055,0.183281,0.92748,2.433133,1.152606,0.330755,-0.891395,1
