account_id,event_time,amount,balance
A0000,1767291420000,8.47,5841.04
A0001,1767268441000,120.78,1404.47
A0002,1768438710000,32.74,6868.0
A0004,1771875439000,186.23,3618.28
A0005,1768947109000,8.68,4500.04
A0007,1767271313000,6.73,-488.08
A0007,1767525151000,33.37,-419.72
A0009,1771902417000,4.6,7763.83
A0012,1771227761000,8.4,7396.72
A0015,1772132840000,23.89,5198.67
A0016,1769406805000,7.18,905.07
A0019,1769590572000,19.61,4467.9
A0021,1767305627000,57.48,3696.44
A0021,1772327191000,29.86,3405.85
A0022,1769085801000,101.02,2421.32
A0022,1772848769000,41.17,2693.99
A0025,1770642327000,39.04,8087.34
A0026,1770202032000,17.96,3991.64
A0027,1773287049000,20.37,2002.3
A0029,1772466894000,270.34,3362.3
A0030,1767234750000,51.86,3985.14
A0030,1767480416000,54.89,3949.6
A0030,1772224790000,9.79,3689.21
A0031,1773015081000,31.48,4617.18
A0032,1770295514000,112.48,5024.56
A0033,1771902052000,15.12,7660.24
A0036,1770489452000,131.86,3565.1
A0036,1771687814000,39.34,3623.07
A0041,1771027061000,21.39,6478.72
A0043,1769081359000,23.54,5501.48
A0044,1767299389000,50.48,2529.38
A0046,1772275897000,16.87,4049.51
A0049,1767817895000,16.4,4369.35
A0050,1767262036000,34.33,3331.7
A0050,1771011216000,7.2,4747.08
A0052,1769011029000,66.23,2239.81
A0054,1767589205000,86.38,1252.0
A0054,1768462364000,60.48,1630.84
A0055,1771973966000,91.55,3985.97
A0059,1772003120000,309.24,5196.02
A0062,1769374374000,32.33,3011.58
A0062,1770414953000,20.42,3106.17
A0063,1769142041000,21.08,3539.86
A0063,1772757654000,142.24,3905.94
A0065,1770596397000,40.96,8281.19
A0065,1771866866000,12.26,9127.41
A0066,1767272526000,32.58,7828.25
A0068,1771199379000,5.79,4778.54
A0068,1772065880000,36.44,5026.32
A0070,1769997834000,14.26,5943.29
A0074,1770625696000,26.05,5820.92
A0074,1771245605000,23.9,6861.18
A0082,1769617385000,27.39,4313.31
A0082,1772460085000,5.94,3975.6
A0085,1772508805000,24.17,5923.41
A0086,1770740370000,9.0,4558.42
A0087,1768203967000,75.64,4698.57
A0089,1768630501000,90.34,4295.17
A0089,1768672917000,9.87,4223.54
A0089,1769146051000,5.31,4077.72
A0090,1769154775000,17.75,8024.37
A0092,1770109224000,150.45,6591.22
A0094,1772110168000,34.76,5918.29
A0095,1768189441000,131.81,2055.75
A0095,1768683834000,23.08,2918.61
A0097,1771761353000,14.33,5257.25
A0098,1772548615000,36.73,5284.43
A0099,1772795555000,9.09,7706.64
