ACCOUNT_ID  SCORE   
----------  --------
A0000       0.148406
A0001       0.236011
A0002       0.988814
A0003       0.554103
A0004       0.88632 
A0005       0.00689 
A0006       0.106177
A0007       0.775175
A0008       0.361036
A0009       0.031826
A0010       0.183931
A0011       0.99841 
A0012       0.21407 
A0013       0.287919
A0014       0.671173
A0015       0.90353 
A0016       0.701671
A0017       0.858254
A0018       0.998265
A0019       0.048504
A0020       0.957698
A0021       0.812639
A0022       0.217426
A0023       0.109903
A0024       0.008462
A0025       0.03681 
A0026       0.997875
A0027       0.941371
A0028       0.944932
A0029       0.952081
A0030       0.628285
A0031       0.124956
A0032       0.999743
A0033       0.04594 
A0034       0.899775
A0035       0.130993
A0036       0.43565 
A0037       0.708614
A0038       0.171225
A0039       0.036759
A0040       0.858457
A0041       0.036505
A0042       0.200659
A0043       0.964418
A0044       0.439268
A0045       0.972741
A0046       0.934796
A0047       0.228406
A0048       0.659978
A0049       0.897119
A0050       0.029318
A0051       0.994234
A0052       0.763137
A0053       0.536477
A0054       0.299531
A0055       0.260575
A0056       0.987471
A0057       0.103662
A0058       0.047171
A0059       0.208597
A0060       0.976439
A0061       0.125422
A0062       0.862462
A0063       0.918427
A0064       0.496479
A0065       0.970181
A0066       0.984857
A0067       0.438779
A0068       0.02343 
A0069       0.252916
A0070       0.9974  
A0071       0.751431
A0072       0.610681
A0073       0.172716
A0074       0.503081
A0075       0.122451
A0076       0.942754
A0077       0.190684
A0078       0.034692
A0079       0.673099
