query_id,embedding
Q000,"[-1.822812, 1.570066, -0.768734, -0.152503, 0.531798, -2.083146, 2.633058, -3.153261, -0.37874, 2.148797, 0.194169, -4.461293, -3.735613, 1.467315, -1.950261, 4.663137]"
Q001,"[-4.595065, 2.608559, 0.708894, -0.456685, 1.126384, 2.808691, 0.803242, 1.346294, -0.314408, 2.905728, -0.196307, -5.705764, -1.711726, 2.133383, -1.300809, -1.323838]"
Q002,"[-2.874171, 1.360783, -0.423648, -0.768655, 1.381304, -1.42181, 2.498909, -2.990624, 1.142409, 0.376196, 2.058134, -2.754652, -3.178654, 2.610125, -0.478318, 3.88954]"
Q003,"[-3.018656, 7.917801, -3.227902, -2.695426, 2.233198, -1.79094, 3.129928, -1.441798, -6.456809, -3.228548, 5.88697, 2.423135, 0.655044, 2.086971, -2.991857, 1.103887]"
Q004,"[1.327693, -3.37081, 1.236009, 0.385782, -3.313835, 1.707387, 3.257304, 5.024054, -0.057129, 3.099604, -1.308557, -1.657887, 2.016457, -1.427081, -0.661447, -3.126797]"
Q005,"[3.879855, 0.265423, -3.366332, -1.243342, -0.480002, 1.074071, -1.194338, -4.566953, 2.744054, 2.918202, -3.151052, -0.989535, -2.500331, 3.174092, 0.311324, -0.481267]"
Q006,"[-5.000437, 1.251651, 0.898091, -1.504073, 1.512363, 3.881071, 0.561612, 1.8608, -2.316771, 1.93112, -0.988543, -6.253155, -0.849333, 0.757777, -3.422181, 0.050718]"
Q007,"[0.210743, -3.193819, 0.208537, 3.815216, -1.761356, 2.273434, 4.52673, 1.582818, 0.707921, -1.066932, -1.044959, -3.954419, -0.243533, 5.149776, 1.378053, 0.277998]"
Q008,"[2.873354, -3.132226, 1.440601, -0.138012, -4.294936, 1.765646, 3.993833, 5.624913, -1.114746, 2.892388, -0.764615, -2.714537, 3.343272, -1.6667, -0.212938, -4.241676]"
Q009,"[-2.91566, 7.259442, -3.832634, -2.718231, 2.057822, -2.346321, 4.236341, -1.246083, -5.289697, -3.122254, 6.095353, 2.550308, 0.118558, 2.081381, -1.977544, 0.909581]"
Q010,"[-2.303574, 2.755944, 0.260115, -0.809971, 1.106135, -2.232279, 2.55691, -2.190491, 0.80741, 0.717589, 0.855498, -2.609054, -3.414593, 2.066773, -1.770745, 2.920362]"
Q011,"[0.39832, -3.844722, -0.007945, 4.7636, -2.270677, 2.792569, 3.883129, 1.895309, 0.419118, -1.361332, -1.567682, -3.23493, -0.239101, 3.356399, 2.276194, -0.355752]"
Q012,"[5.467287, -1.372096, -3.946706, -0.389031, -1.185575, 1.467905, -0.891588, -4.454557, 3.895172, 3.904486, -3.116742, -2.889932, -3.260107, 4.314655, -1.163193, 1.03346]"
Q013,"[3.641804, -3.647913, 2.150922, -0.146755, -2.89419, 1.863918, 2.522378, 5.434964, -0.562087, 3.891122, -1.689794, -2.759308, 2.454985, -1.355863, 0.104021, -3.844243]"
Q014,"[-3.099765, 2.754851, 0.158743, -1.327832, 1.330395, 3.591416, 0.385021, 0.85488, -1.035329, 3.152689, -0.85557, -6.445782, -1.492199, 1.229953, -2.216411, -1.469923]"
Q015,"[-3.396609, 2.625865, 0.415252, -1.218201, 1.537897, 2.782885, -0.998129, 1.293072, -1.522357, 3.287677, -0.015846, -5.083746, -0.741513, 1.888412, -2.460365, -0.88559]"
Q016,"[-3.408627, 7.878165, -2.816065, -2.108938, 2.135851, -2.78982, 3.721756, -1.259029, -6.978387, -3.823931, 6.162986, 2.817525, 0.621334, 1.536545, -2.279554, 0.890353]"
Q017,"[-4.554872, 2.73098, 0.476711, -1.699157, 1.025017, 3.117814, 0.597883, 1.360852, -2.275571, 2.974722, 0.476536, -5.237457, -2.139224, 2.290961, -3.128229, -0.076322]"
Q018,"[4.835419, -0.193641, -2.643676, -0.310495, -1.243178, 1.144029, 0.234345, -4.892813, 3.825848, 3.695677, -3.571965, -3.283148, -2.599908, 3.651958, -1.099313, 0.035548]"
Q019,"[-2.612382, 1.241883, -0.014852, -0.334928, 1.608238, -1.562105, 3.06047, -2.606463, 0.32286, -0.367637, 1.170559, -2.489085, -4.491005, 2.110633, -0.83574, 3.896552]"
Q020,"[4.968471, 0.516279, -3.321497, -0.395754, -0.910672, 1.596064, -0.293246, -4.14589, 3.679287, 3.781969, -3.785169, -1.374185, -1.888354, 3.117275, -0.705135, 0.949346]"
Q021,"[-0.250505, -2.299831, 0.934421, 3.754044, -2.056804, 2.708839, 3.032147, 2.163693, 2.112781, -1.034523, -0.792632, -3.570988, -0.921837, 4.16164, 1.506643, -1.068856]"
Q022,"[5.032736, -1.533539, -3.416368, -0.217915, -1.192008, 2.05809, -0.760041, -4.477163, 3.803176, 3.090425, -2.836237, -2.496756, -2.554478, 4.094486, -0.496483, 1.137473]"
Q023,"[-2.010115, 3.05799, -1.318334, -1.737562, 0.619856, -2.693482, 3.08038, -2.830871, 0.235048, 0.22249, 0.687921, -3.25473, -3.919911, 1.443582, -1.783952, 4.21576]"
Q024,"[4.434489, -0.979409, -3.446354, -1.538105, -1.606008, 1.365889, 0.484417, -3.736896, 4.352116, 3.36681, -3.703629, -2.762669, -1.618609, 3.79867, 0.090783, 0.409073]"
