query_id,embedding
Q000,"[-5.065495, -6.961106, -0.721478, 5.164474, -4.614465, 2.84699, -0.722546, -0.945349, -0.376151, -0.097052, -3.679632, -1.791242, -0.040032, -1.596485, 2.173131, -0.614075]"
Q001,"[2.221953, -3.843577, -2.284997, 3.0951, 0.493748, 5.053929, -1.154161, -1.041752, 0.218115, 1.337224, -2.358744, -0.015647, -0.315253, -0.354787, 5.605112, -0.51475]"
Q002,"[-4.0084, 0.757135, -3.547722, -0.750681, 3.918049, 2.833373, 0.896072, 1.274112, -1.772355, 3.653448, 0.87047, -2.511649, -2.141023, 1.189898, -4.625282, 5.591867]"
Q003,"[-3.817691, 0.258266, 0.963505, 1.86688, 2.072045, -2.528338, 0.556329, 1.434665, -3.260751, 1.739537, 2.886102, -3.290873, -2.259481, 2.670185, 1.822591, -1.82946]"
Q004,"[1.644223, -6.786148, -4.540819, -0.455329, -0.673733, 1.759829, -2.038721, 0.840842, -0.999598, -2.688062, -0.638692, 0.271001, 4.942333, 0.6842, 1.805285, -2.55052]"
Q005,"[-5.01205, -7.790832, -0.763236, 4.6449, -4.70855, 2.343628, -0.396651, -2.109689, 0.265087, 0.181584, -2.649147, -1.65099, -0.288421, -1.852222, 1.909191, -0.504623]"
Q006,"[0.595904, -3.276948, -0.566208, -2.595232, -0.662301, 2.457325, 3.606406, -2.807425, -3.894885, 1.366378, -0.553865, -1.367206, -3.584939, 1.019657, -0.399328, 2.722398]"
Q007,"[-3.970473, -0.613619, 1.041349, 1.866018, 1.751856, -1.582828, 1.249479, 0.34529, -2.491489, 2.283014, 1.947283, -2.316776, -1.844, 2.89074, 2.328676, -2.038517]"
Q008,"[-5.200967, -7.074639, -0.858795, 4.701098, -4.868971, 2.455033, -0.282275, -1.789259, -1.568478, 1.113482, -3.436079, -1.436292, -0.946062, -3.468504, 2.824305, 0.049046]"
Q009,"[1.047044, -4.453186, -1.776486, 3.022783, -0.277509, 4.485631, 0.125364, -1.214421, 0.39697, 1.909647, -2.698992, -0.053027, 0.15351, -1.393933, 4.922468, -0.026693]"
Q010,"[1.728099, -2.999488, -1.573007, 3.322029, 0.078204, 5.685681, -0.010154, -0.759084, 0.162149, 0.595626, -2.15181, -0.010652, -0.223073, -0.465576, 4.941591, -0.512637]"
Q011,"[1.154808, -4.033897, -2.343535, 2.929189, -0.312541, 4.885294, -0.722188, -1.317433, -0.94121, 1.206509, -2.528358, 0.582594, 0.179963, 0.178659, 5.119924, 0.072391]"
Q012,"[1.480381, -3.088451, -1.928776, 2.382602, -0.552883, 4.616082, -0.239771, -0.790081, 0.09629, 1.806427, -4.030521, 0.182538, 0.369128, -0.209629, 3.865348, -0.477075]"
Q013,"[0.674141, -4.42794, -0.669944, 3.647243, 0.358554, 4.512219, -0.804168, -1.672364, -0.571106, 1.731459, -0.448396, -0.78596, 0.568547, -0.847728, 5.415933, 0.350909]"
Q014,"[-4.085016, 0.950055, -3.411507, 0.308863, 3.698905, 3.570919, 0.698431, 1.459917, -1.500105, 1.939204, 1.07318, -2.665936, -1.190114, 2.534831, -5.099319, 5.839138]"
Q015,"[0.896864, -4.184001, -0.373827, -2.259895, -1.614583, 3.143979, 4.606272, -4.060153, -2.918871, 3.004864, -0.791239, -0.736097, -4.162338, 1.388114, -1.177068, 2.689176]"
Q016,"[-3.66815, 0.405815, 1.609457, 2.376143, 1.472942, -2.115442, 0.818597, 0.335649, -3.549875, 2.055028, 2.833389, -2.805316, -2.501076, 2.29453, 1.608474, -2.348503]"
Q017,"[2.828581, -6.899774, -2.418167, -0.104093, -0.963702, 2.280286, -2.155423, 1.130197, -1.274739, -2.720255, -1.311179, 0.046302, 5.412289, 0.48503, 1.585383, -2.606647]"
Q018,"[1.04033, -4.230896, -2.583974, -2.095018, -0.311862, 2.026758, 2.796172, -2.30192, -2.963376, 2.834165, 0.135599, -1.413846, -3.898186, 0.941386, -0.663817, 2.142654]"
Q019,"[0.148407, -4.387915, -0.742895, -2.155726, -0.780799, 1.75089, 4.440503, -2.531862, -3.533415, 2.650128, 0.298915, -1.496946, -3.726836, 1.018358, -0.753991, 3.514122]"
Q020,"[-6.001989, -7.083284, -0.866937, 4.687881, -4.122448, 1.420131, -0.614379, -1.719505, 0.139588, 0.315513, -2.90471, -1.921077, 0.288184, -3.238275, 3.134346, -0.647902]"
Q021,"[-3.335661, -0.93738, 0.343981, 1.472602, 1.81371, -2.829884, 0.658469, -0.242631, -3.06415, 1.785417, 2.759981, -1.790596, -2.669115, 2.525456, 1.932692, -1.296963]"
Q022,"[-4.190499, -0.63267, 0.341927, 1.489531, 1.177395, -2.397985, 0.897476, 0.253788, -3.483895, 2.445776, 1.930086, -1.774084, -3.121352, 2.471553, 2.054824, -2.8398]"
Q023,"[-2.952974, 1.866607, -3.007187, -0.109808, 3.608314, 2.792084, 0.033053, 1.123658, -1.621281, 2.594133, 0.826657, -3.105902, -2.17081, 1.037649, -4.939415, 4.197907]"
Q024,"[-3.839405, 0.726681, -3.685951, -0.005645, 4.159719, 3.169791, -0.069294, -0.209494, -1.921518, 1.672467, -0.016285, -2.697637, -2.153531, 1.523889, -4.630797, 4.186896]"
