account_id,score
A0000,0.738098
A0001,0.984376
A0002,0.622392
A0003,0.975009
A0004,0.907339
A0005,0.912121
A0006,0.394096
A0007,0.568519
A0008,0.948449
A0009,0.497113
A0010,0.697726
A0011,0.104131
A0012,0.777701
A0013,0.63875
A0014,0.883811
A0015,0.842657
A0016,0.662003
A0017,0.418138
A0018,0.085244
A0019,0.639898
A0020,0.70704
A0021,0.301068
A0022,0.489762
A0023,0.761212
A0024,0.179304
A0025,0.342819
A0026,0.896265
A0027,0.293074
A0028,0.618322
A0029,0.920817
A0030,0.084406
A0031,0.4502
A0032,0.827557
A0033,0.311847
A0034,0.869644
A0035,0.897692
A0036,0.329263
A0037,0.824563
A0038,0.87272
A0039,0.322975
A0040,0.948637
A0041,0.584166
A0042,0.860446
A0043,0.12218
A0044,0.864713
A0045,0.867828
A0046,0.121652
A0047,0.154337
A0048,0.861188
A0049,0.792959
A0050,0.444042
A0051,0.280757
A0052,0.271279
A0053,0.715402
A0054,0.992731
A0055,0.478688
A0056,0.529345
A0057,0.898555
A0058,0.094821
A0059,0.220018
A0060,0.473912
A0061,0.937681
A0062,0.834386
A0063,0.848066
A0064,0.944471
A0065,0.27024
A0066,0.777051
A0067,0.603583
A0068,0.470881
A0069,0.672196
A0070,0.694313
A0071,0.585742
A0072,0.155195
A0073,0.766246
A0074,0.76281
A0075,0.534867
A0076,0.290744
A0077,0.779032
A0078,0.941717
A0079,0.772797
