item_id,e1,e2,e3,e4,e5,e6,e7,e8
I0000,-0.275,0.4659,0.4098,-0.6245,-0.6403,0.342,0.3751,0.8584
I0001,-0.805,-1.2426,2.228,-0.6104,0.1642,1.3319,-0.1913,-2.3718
I0002,-0.5167,0.6992,-0.6353,0.0841,1.0382,1.8535,0.1484,-0.3424
I0003,0.2042,0.6758,0.0382,0.0725,0.6735,0.1766,0.5078,-0.6962
I0004,-0.7396,-0.0794,0.9251,0.9181,0.1972,-0.0606,-0.1393,-0.845
I0005,-0.4822,-1.4372,0.152,0.5027,1.1566,-0.6228,-1.508,-0.3191
I0006,-0.6455,0.0175,-1.0527,1.9204,-1.1085,-0.2967,-0.3797,-1.2089
I0007,0.2948,0.0555,0.322,-0.5233,1.2262,1.597,1.32,0.1712
I0008,0.661,-1.1812,-0.2729,1.4814,1.1125,-0.4199,-1.1475,-1.3339
I0009,1.2352,1.5533,1.3023,1.1069,-0.1452,1.028,0.5176,-1.4577
I0010,1.3142,-0.3232,-1.1597,-0.0884,0.6632,-0.1836,2.1618,-1.1976
I0011,0.1886,0.6417,-1.7726,-1.0359,-0.4613,-0.5415,-0.9392,-0.8206
I0012,-0.7768,-0.8799,0.5233,1.6475,0.3688,2.3219,-2.2782,0.0321
I0013,1.0934,0.593,-0.9527,1.5377,-0.218,1.114,0.5406,0.3022
I0014,-1.2642,1.0403,-0.7211,0.4636,-0.9086,0.5249,-0.7567,0.0173
I0015,0.471,2.4153,0.0083,-0.9419,-0.8897,1.0237,0.9027,-1.2935
I0016,0.0253,-0.7636,-0.2983,-1.7244,-1.1499,-1.4242,-1.861,0.382
I0017,-1.4952,-1.6023,-1.5224,0.1716,0.2728,-0.0007,2.0827,2.2027
I0018,1.351,-1.9285,0.8426,-0.919,-0.7743,1.7668,0.7182,0.3157
I0019,0.5065,0.4772,0.3441,-0.1346,-0.876,0.2997,0.6034,-1.8888
I0020,-0.6516,-1.1906,-1.5559,0.5987,0.2426,-0.7702,-1.3937,-0.3014
I0021,-2.027,-1.3113,1.9803,1.0681,-0.144,0.2815,-0.6269,1.8841
I0022,-0.0902,-0.2788,1.3424,0.7717,0.5093,0.5005,1.9918,1.2339
I0023,-1.9624,0.1104,-1.3486,0.0492,0.5756,0.2448,-1.0754,1.671
I0024,0.1772,0.3293,0.5829,-1.5822,0.2264,0.6158,0.2718,-2.3156
I0025,-0.1959,-1.2425,0.5406,1.0518,0.1268,0.601,-0.9892,-0.7324
I0026,1.1746,-0.8566,-0.2505,-0.4272,-0.0646,0.6988,-0.3318,-0.3688
I0027,-1.9075,-0.3395,-0.5947,-0.8918,0.8836,-1.1963,0.7319,-0.1581
I0028,1.7242,-0.4379,-0.3933,0.068,1.1445,1.4154,0.2386,0.4688
I0029,-0.7244,0.1789,-0.1158,-0.3939,0.927,-1.0332,0.2116,0.5913
I0030,0.6936,-1.4409,-1.2881,0.5141,0.847,-1.288,1.8086,-2.4172
I0031,-0.4222,0.0202,0.5007,0.4013,-0.7184,0.0602,-0.2184,0.7572
I0032,-0.1579,0.6983,0.7558,-0.1791,-0.1655,1.5726,0.0855,-0.6582
I0033,0.7168,-0.2053,0.8379,0.9628,-1.6908,0.5319,-0.0245,-1.2733
I0034,-1.5286,0.1116,0.8778,-1.0185,0.1795,0.125,-1.366,-0.9575
I0035,1.4839,-1.9488,-0.2465,1.2416,-0.21,-1.5235,1.0975,-0.3313
I0036,0.758,-2.7709,0.5992,0.488,-0.2841,-0.6903,-0.6252,-0.0382
I0037,-0.7244,0.1789,-0.1158,-0.3939,0.927,-1.0332,0.2116,0.5913
I0038,0.3555,-1.0428,1.2191,1.206,-0.1527,1.9826,0.2206,0.0765
I0039,-0.3689,-1.9406,-0.6458,0.1071,0.6881,0.1172,-0.5824,0.6588
I0040,-0.2067,-0.4018,0.7131,-1.8673,-1.443,-0.0086,1.076,-0.5497
I0041,-0.7396,-0.0794,0.9251,0.9181,0.1972,-0.0606,-0.1393,-0.845
I0042,1.2352,1.5533,1.3023,1.1069,-0.1452,1.028,0.5176,-1.4577
I0043,0.1617,-0.5147,-0.0906,-0.6415,0.9646,-1.7429,-1.3539,0.844
