row_id,account_id,event_time,amount_usd,amount_7d,is_weekend
R00006,A0001,1772365320000,21.2223000000,19.4700000000,1    
R00060,A0016,1772648400000,4.0000000000,4.0000000000,0      
R00037,A0017,1772517480000,29.5275000000,23.2500000000,0    
R00012,A0006,1772420160000,32.6900000000,32.6900000000,0    
R00067,A0001,1772693820000,91.6300000000,111.1000000000,0   
R00074,A0016,1772723520000,18.5300000000,21.0000000000,0    
R00046,A0017,1772567580000,11.0417000000,33.3800000000,0    
R00018,A0006,1772446020000,8.3300000000,41.0200000000,0     
R00078,A0001,1772731500000,38.1000000000,141.1000000000,0   
R00096,A0016,1772857260000,108.1800000000,129.1800000000,1  
R00093,A0017,1772827140000,5.9508000000,96.0200000000,0     
R00027,A0006,1772488620000,50.3200000000,91.3400000000,0    
R00179,A0001,1773352920000,89.1075000000,81.7500000000,0    
R00143,A0016,1773152040000,5.9514000000,134.6400000000,0    
R00103,A0017,1772901240000,84.7598000000,162.7600000000,1   
R00038,A0006,1772529840000,5.8187500000,152.5900000000,0    
R00184,A0001,1773372840000,0.6954000000,89.0700000000,0     
R00236,A0016,1773617460000,2.2672000000,7.5400000000,1      
R00105,A0017,1772921520000,143.7767000000,275.9700000000,1  
R00137,A0006,1773111660000,18.5400000000,79.7900000000,0    
R00196,A0001,1773426780000,1.5447000000,105.3300000000,0    
R00244,A0016,1773671700000,14.9800000000,22.5200000000,0    
R00162,A0017,1773234540000,1.1010500000,254.1800000000,0    
R00166,A0006,1773248700000,0.8322000000,27.3000000000,0     
R00406,A0001,1774705320000,6.7100000000,6.7100000000,1      
R00310,A0016,1774102560000,55.0200000000,72.0800000000,1    
R00192,A0017,1773403440000,7.5438000000,260.1200000000,0    
R00181,A0006,1773356580000,20.3835000000,43.3500000000,0    
R00477,A0001,1775130060000,13.4976000000,148.7900000000,0   
R00342,A0016,1774275420000,52.9000000000,122.9000000000,0   
R00226,A0017,1773544320000,12.6113000000,29.1000000000,1    
R00194,A0006,1773420300000,126.5936000000,143.0300000000,0  
R00582,A0001,1775613840000,4.7034500000,191.5900000000,0    
R00364,A0016,1774395240000,4.9486000000,112.4600000000,0    
R00232,A0017,1773571440000,54.4019000000,79.0100000000,1    
R00234,A0006,1773601920000,62.2608000000,200.1500000000,1   
R00625,A0001,1775799480000,23.0100000000,72.5200000000,0    
