R00278,closed,4.0602E2,1770547860000
R00234,active,8.62521E3,1769960160000
R00320,dormant,8.10094E3,1770330840000
R00329,closed,4.91243E3,1769961360000
R00028,active,1.88328E3,1770457560000
R00223,closed,6.63511E3,1770412320000
R00249,dormant,4.70744E3,1770167820000
R00145,closed,2.47909E3,1770340980000
R00242,closed,4.28057E3,1770046860000
R00323,closed,6.38056E3,1770061140000
R00260,active,4.16419E3,1770478860000
R00078,active,4.97538E3,1770197820000
R00281,active,4.15806E3,1770119760000
R00127,closed,4.14015E3,1770458700000
R00090,closed,7.40829E3,1770206340000
R00353,active,6.18823E3,1769967900000
R00019,dormant,3.25811E3,1770453900000
R00340,dormant,1.8953E3,1770270480000
R00369,active,4.38024E3,1770147900000
R00032,closed,2.65299E3,1770060420000
R00349,active,3.07947E3,1769981340000
R00306,active,6.416E3,1770503340000
R00154,dormant,2.29271E3,1770024480000
R00050,dormant,6.67928E3,1770403140000
R00330,active,6.43456E3,1770106080000
R00226,closed,6.53878E3,1770289800000
R00048,dormant,2.59669E3,1770081900000
R00035,active,4.70174E3,1770458340000
R00194,active,5.74653E3,1770155940000
R00262,active,5.32808E3,1770370860000
R00046,active,4.45448E3,1770503940000
R00143,dormant,5.23676E3,1770196500000
R00005,dormant,3.62183E3,1770033600000
R00267,closed,5.47279E3,1770364680000
R00021,dormant,3.67721E3,1770146640000
R00217,closed,4.79972E3,1770098880000
R00284,dormant,8.1623E3,1770306720000
R00091,closed,9.8655E3,1769930220000
R00229,dormant,6.09141E3,1770459780000
R00059,active,5.25221E3,1769986320000
R00236,dormant,2.83341E3,1770155880000
R00391,closed,4.8855E3,1769957760000
R00108,active,1.81042E3,1770041820000
R00213,closed,4.95691E3,1770024240000
R00298,closed,4.62239E3,1770345960000
R00055,dormant,8.09649E3,1770045060000
R00071,closed,4.80399E3,1770127680000
R00202,dormant,8.38153E3,1769979840000
R00147,closed,5.49883E3,1769955000000
R00025,dormant,3.74937E3,1770067260000
R00076,closed,8.32549E3,1769972100000
R00024,dormant,3.95733E3,1769966040000
R00304,closed,3.92661E3,1770766920000
R00192,closed,9.34406E3,1770294240000
R00203,dormant,5.15041E3,1770301800000
R00352,dormant,5.92634E3,1770302280000
R00195,active,9.96735E3,1770032940000
R00301,active,6.0979E3,1770264180000
R00322,active,3.27437E3,1770527820000
R00084,active,2.43282E3,1770307860000
R00029,active,4.97958E3,1770274200000
R00054,dormant,5.83123E3,1770410880000
R00138,closed,4.2752E3,1770407220000
R00221,dormant,6.76109E3,1770060360000
